year,month,hou,air2m
2000,1,1,18.8804920196533
2000,1,2,20.0420017242432
2000,1,3,19.5355014801025
2000,1,4,10.1429995059967
2000,1,5,15.393001127243
2000,1,6,7.38083178798358
2000,2,1,12.5574985027313
2000,2,2,13.3549976348877
2000,2,3,18.140002822876
2000,2,4,18.4255039215088
2000,2,5,14.2985033988953
2000,2,6,8.90249997377396
2000,3,1,16.6549961090088
2000,3,2,19.5064914703369
2000,3,3,19.8899982452393
2000,3,4,21.2375019073486
2000,3,5,20.8990009307861
2000,3,6,22.9666639963786
2000,4,1,20.7239963531494
2000,4,2,21.8104999542236
2000,4,3,21.1410037994385
2000,4,4,23.6524967193604
2000,4,5,24.8284976959229
2000,4,6,23.9024967193604
2000,5,1,23.7690021514893
2000,5,2,24.3074954986572
2000,5,3,23.914497756958
2000,5,4,22.6894947052002
2000,5,5,24.4075046539307
2000,5,6,25.8416652679443
2000,6,1,25.3894962310791
2000,6,2,26.2529956817627
2000,6,3,22.9749988555908
2000,6,4,25.6419971466064
2000,6,5,25.4334964752197
2000,6,6,25.6164936065674
2000,7,1,26.0884952545166
2000,7,2,26.3519962310791
2000,7,3,25.4049991607666
2000,7,4,25.856001663208
2000,7,5,25.4905048370361
2000,7,6,26.5054111480713
2000,8,1,25.8375034332275
2000,8,2,25.4039966583252
2000,8,3,26.5219989776611
2000,8,4,25.9034992218018
2000,8,5,26.046496963501
2000,8,6,25.5616652170817
2000,9,1,25.7304920196533
2000,9,2,23.0454944610596
2000,9,3,21.7254947662354
2000,9,4,23.22600440979
2000,9,5,23.9819980621338
2000,9,6,24.1019992828369
2000,10,1,24.1014987945557
2000,10,2,23.7639972686768
2000,10,3,19.1994968414307
2000,10,4,20.2359973907471
2000,10,5,23.8660007476807
2000,10,6,18.5979150136312
2000,11,1,14.5809955596924
2000,11,2,19.3424991607666
2000,11,3,14.2759967327118
2000,11,4,14.1559940338135
2000,11,5,15.9004978179932
2000,11,6,21.2714984893799
2000,12,1,14.7514987945557
2000,12,2,18.0665042877197
2000,12,3,11.9425005674362
2000,12,4,17.1349963665009
2000,12,5,11.7114963054657
2000,12,6,15.9841645558675
2001,1,1,16.5024967193604
2001,1,2,15.5385012626648
2001,1,3,12.0255008220673
2001,1,4,17.0889987945557
2001,1,5,20.6424976348877
2001,1,6,10.1608242988586
2001,2,1,13.0519930839539
2001,2,2,13.4414966106415
2001,2,3,13.5035021781921
2001,2,4,18.2724979400635
2001,2,5,19.0129962444305
2001,2,6,15.8924986521403
2001,3,1,17.5309986114502
2001,3,2,16.8584964752197
2001,3,3,18.233996963501
2001,3,4,22.4725025177002
2001,3,5,23.0890033721924
2001,3,6,19.9116636912028
2001,4,1,23.0785022735596
2001,4,2,24.2689975738525
2001,4,3,18.3169986724854
2001,4,4,25.8784992218018
2001,4,5,21.9969974517822
2001,4,6,24.3640018463135
2001,5,1,23.7355014801025
2001,5,2,23.6994983673096
2001,5,3,24.8654941558838
2001,5,4,24.9669956207275
2001,5,5,25.4460010528564
2001,5,6,24.2312552134196
2001,6,1,25.0200031280518
2001,6,2,25.640002822876
2001,6,3,25.1710041046143
2001,6,4,26.0104923248291
2001,6,5,25.9139987945557
2001,6,6,25.2625003814697
2001,7,1,25.608996963501
2001,7,2,25.7549945831299
2001,7,3,26.4285022735596
2001,7,4,25.4489963531494
2001,7,5,25.5119953155518
2001,7,6,25.8841698964437
2001,8,1,25.5254993438721
2001,8,2,26.2210025787354
2001,8,3,25.2134983062744
2001,8,4,25.9580020904541
2001,8,5,26.9399997711182
2001,8,6,25.2483336130778
2001,9,1,24.7614978790283
2001,9,2,24.6955020904541
2001,9,3,24.6414981842041
2001,9,4,24.9899997711182
2001,9,5,23.6264957427979
2001,9,6,23.2084995269775
2001,10,1,23.1584949493408
2001,10,2,22.531001663208
2001,10,3,23.8720020294189
2001,10,4,21.8959980010986
2001,10,5,23.8489978790283
2001,10,6,21.6900005340576
2001,11,1,22.6560001373291
2001,11,2,16.3104984283447
2001,11,3,14.7749973297119
2001,11,4,14.3699954986572
2001,11,5,14.5995029449463
2001,11,6,18.8640033721924
2001,12,1,20.8184970855713
2001,12,2,14.7649997234344
2001,12,3,11.6929995298386
2001,12,4,13.3859957933426
2001,12,5,8.54149954319
2001,12,6,11.8174952864647
2002,1,1,13.1554950714111
2002,1,2,15.9459980010986
2002,1,3,19.4399982452393
2002,1,4,16.6905002117157
2002,1,5,11.8164981365204
2002,1,6,10.8687469561895
2002,2,1,11.8774981975555
2002,2,2,17.6900012969971
2002,2,3,17.1349948883057
2002,2,4,19.7279987335205
2002,2,5,19.9229999542236
2002,2,6,22.101661046346
2002,3,1,20.4455005645752
2002,3,2,16.8154956817627
2002,3,3,21.9604969024658
2002,3,4,20.7029972076416
2002,3,5,21.907498550415
2002,3,6,23.2199980417887
2002,4,1,26.9584980010986
2002,4,2,24.1275012969971
2002,4,3,22.2070011138916
2002,4,4,24.8014942169189
2002,4,5,25.9279987335205
2002,4,6,24.0689975738525
2002,5,1,24.9209980010986
2002,5,2,24.07200050354
2002,5,3,24.3419971466064
2002,5,4,24.9715000152588
2002,5,5,23.8610004425049
2002,5,6,25.0579179128011
2002,6,1,25.2524982452393
2002,6,2,25.9134952545166
2002,6,3,25.7930011749268
2002,6,4,25.9345020294189
2002,6,5,25.9394992828369
2002,6,6,26.2974964141846
2002,7,1,26.0440006256104
2002,7,2,25.7564990997314
2002,7,3,27.0719959259033
2002,7,4,26.3640003204346
2002,7,5,25.7784992218018
2002,7,6,25.3308327992757
2002,8,1,26.6114963531494
2002,8,2,25.628999710083
2002,8,3,25.5224948883057
2002,8,4,24.6045001983643
2002,8,5,25.6024997711182
2002,8,6,25.2329158782959
2002,9,1,24.7899997711182
2002,9,2,23.8004962921143
2002,9,3,23.7924991607666
2002,9,4,23.346496963501
2002,9,5,22.4729984283447
2002,9,6,23.4909976959229
2002,10,1,23.4604984283447
2002,10,2,18.1819980621338
2002,10,3,22.4509937286377
2002,10,4,23.9725025177002
2002,10,5,17.9754947662354
2002,10,6,20.546662012736
2002,11,1,15.8685001373291
2002,11,2,19.181001663208
2002,11,3,22.7475009918213
2002,11,4,16.2774997711182
2002,11,5,14.4724994659424
2002,11,6,16.5689960479736
2002,12,1,22.0049976348877
2002,12,2,13.260995721817
2002,12,3,13.2694994926453
2002,12,4,18.3629993438721
2002,12,5,12.9429996013641
2002,12,6,5.98374337951342
2003,1,1,9.82649557590485
2003,1,2,6.37200019210577
2003,1,3,12.3485003709793
2003,1,4,16.2895008087158
2003,1,5,19.0094974517822
2003,1,6,14.6891612211863
2003,2,1,11.4170001029968
2003,2,2,18.4989994049072
2003,2,3,17.3979984283447
2003,2,4,19.3970020294189
2003,2,5,21.657498550415
2003,2,6,21.5458291371663
2003,3,1,23.5719974517822
2003,3,2,13.6769946813583
2003,3,3,20.2884983062744
2003,3,4,18.769998550415
2003,3,5,17.682498550415
2003,3,6,22.5004138946533
2003,4,1,23.9714954376221
2003,4,2,23.3080020904541
2003,4,3,23.7564975738525
2003,4,4,25.0545017242432
2003,4,5,24.3415012359619
2003,4,6,23.4094974517822
2003,5,1,24.9034992218018
2003,5,2,25.3409961700439
2003,5,3,25.1344989776611
2003,5,4,24.7239978790283
2003,5,5,25.6384937286377
2003,5,6,25.1316674550374
2003,6,1,25.7789966583252
2003,6,2,26.0375003814697
2003,6,3,24.9905017852783
2003,6,4,25.9704990386963
2003,6,5,25.8524997711182
2003,6,6,25.6560001373291
2003,7,1,25.6609973907471
2003,7,2,25.9570011138916
2003,7,3,25.9699954986572
2003,7,4,26.8159961700439
2003,7,5,25.78899269104
2003,7,6,26.0991662343343
2003,8,1,27.0654941558838
2003,8,2,26.5489948272705
2003,8,3,26.5984897613525
2003,8,4,25.8109958648682
2003,8,5,25.3459964752197
2003,8,6,25.3033326466878
2003,9,1,25.0759983062744
2003,9,2,24.6439929962158
2003,9,3,24.7564945220947
2003,9,4,25.3659915924072
2003,9,5,22.4999912261963
2003,9,6,24.4379917144775
2003,10,1,22.5299961090088
2003,10,2,22.8479999542236
2003,10,3,20.1459934234619
2003,10,4,19.1539920806885
2003,10,5,20.5279972076416
2003,10,6,20.8091589609782
2003,11,1,22.3924991607666
2003,11,2,19.9144931793213
2003,11,3,16.0384922027588
2003,11,4,22.2364948272705
2003,11,5,17.4224918365479
2003,11,6,14.0099918365479
2003,12,1,16.2364948272705
2003,12,2,13.6099933624268
2003,12,3,10.5924929380417
2003,12,4,10.6084918022156
2003,12,5,12.5604953050613
2003,12,6,13.4695834716161
2004,1,1,17.4219944000244
2004,1,2,18.4689945220947
2004,1,3,14.577995634079
2004,1,4,9.25549336671829
2004,1,5,8.01149916648865
2004,1,6,13.9799988269806
2004,2,1,10.7939943432808
2004,2,2,8.33049483299255
2004,2,3,15.9409961700439
2004,2,4,19.7000003814697
2004,2,5,19.9759922027588
2004,2,6,21.7424964904785
2004,3,1,16.1724979400635
2004,3,2,17.9624897003174
2004,3,3,22.478999710083
2004,3,4,22.2474948883057
2004,3,5,19.9309909820557
2004,3,6,20.6891562143962
2004,4,1,20.6749942779541
2004,4,2,18.8199954986572
2004,4,3,22.2854923248291
2004,4,4,22.4739948272705
2004,4,5,26.5949954986572
2004,4,6,24.8004978179932
2004,5,1,22.7789936065674
2004,5,2,23.2364917755127
2004,5,3,25.0679935455322
2004,5,4,22.5674976348877
2004,5,5,24.3464984893799
2004,5,6,25.449992497762
2004,6,1,25.1304981231689
2004,6,2,24.179993057251
2004,6,3,24.8814990997314
2004,6,4,25.9574939727783
2004,6,5,26.5379962921143
2004,6,6,26.5369953155518
2004,7,1,27.3979969024658
2004,7,2,25.6984943389893
2004,7,3,25.0444934844971
2004,7,4,25.3579975128174
2004,7,5,24.5229907989502
2004,7,6,25.5295797983805
2004,8,1,25.9055027008057
2004,8,2,25.9254962921143
2004,8,3,26.4144962310791
2004,8,4,25.8174976348877
2004,8,5,25.7439990997314
2004,8,6,25.9941654205322
2004,9,1,25.6725009918213
2004,9,2,23.6844974517822
