year,month,hou,air2m
2000,1,1,15.9455005645752
2000,1,2,15.2609928131104
2000,1,3,12.8514956712723
2000,1,4,5.64399570822716
2000,1,5,10.4054949387908
2000,1,6,2.12707669412096
2000,2,1,7.44599314806983
2000,2,2,9.56049981117249
2000,2,3,13.8669971227646
2000,2,4,13.0275012254715
2000,2,5,9.08049333095551
2000,2,6,5.82061913609505
2000,3,1,14.023498916626
2000,3,2,13.7244968414307
2000,3,3,14.7894977092743
2000,3,4,16.10950050354
2000,3,5,16.50549659729
2000,3,6,18.2416655222575
2000,4,1,17.8905002593994
2000,4,2,18.0140003204346
2000,4,3,17.9200000762939
2000,4,4,19.8820056915283
2000,4,5,21.7695011138916
2000,4,6,20.901997756958
2000,5,1,21.463000869751
2000,5,2,21.8324970245361
2000,5,3,22.6525012969971
2000,5,4,21.1779987335205
2000,5,5,22.5115055084229
2000,5,6,24.2525005340576
2000,6,1,24.6234958648682
2000,6,2,24.6185031890869
2000,6,3,21.0354999542236
2000,6,4,23.9854969024658
2000,6,5,23.8634998321533
2000,6,6,25.0219959259033
2000,7,1,24.8369983673096
2000,7,2,24.421496963501
2000,7,3,24.4670017242432
2000,7,4,24.0889972686768
2000,7,5,24.5685031890869
2000,7,6,25.383747736613
2000,8,1,24.5459995269775
2000,8,2,24.4784976959229
2000,8,3,25.1334980010986
2000,8,4,24.689497756958
2000,8,5,24.4029987335205
2000,8,6,23.8833382924398
2000,9,1,24.6074924468994
2000,9,2,21.1029972076416
2000,9,3,19.2244983673096
2000,9,4,21.4720020294189
2000,9,5,22.6260013580322
2000,9,6,22.9885028839111
2000,10,1,22.5574970245361
2000,10,2,22.0860019683838
2000,10,3,17.6465000152588
2000,10,4,19.0479984283447
2000,10,5,22.5409931182861
2000,10,6,15.6108366648356
2000,11,1,13.1119998931885
2000,11,2,17.3330020904541
2000,11,3,11.5574984312057
2000,11,4,10.9259967088699
2000,11,5,13.4255022764206
2000,11,6,17.2449970245361
2000,12,1,11.1439974784851
2000,12,2,14.7764957427979
2000,12,3,7.79299481511116
2000,12,4,13.1564959764481
2000,12,5,8.78900167942047
2000,12,6,11.9583339293798
2001,1,1,12.0664920568466
2001,1,2,12.5499972105026
2001,1,3,8.54799973964691
2001,1,4,13.2415011882782
2001,1,5,14.6474993988872
2001,1,6,6.9020770676434
2001,2,1,9.82399613857269
2001,2,2,9.61699392795563
2001,2,3,9.2439927816391
2001,2,4,16.0619953155518
2001,2,5,15.3304980278015
2001,2,6,11.0491656462351
2001,3,1,13.2799976348877
2001,3,2,12.8894931316376
2001,3,3,15.9580020904541
2001,3,4,17.4445011138916
2001,3,5,19.1344974517822
2001,3,6,15.7333291371663
2001,4,1,18.87600440979
2001,4,2,19.7549991607666
2001,4,3,15.0014926671982
2001,4,4,21.20549659729
2001,4,5,17.7195041656494
2001,4,6,21.2379917144775
2001,5,1,21.7620029449463
2001,5,2,21.4664936065674
2001,5,3,21.890994644165
2001,5,4,23.3249973297119
2001,5,5,23.8530002593994
2001,5,6,22.6216640472412
2001,6,1,22.7405002593994
2001,6,2,23.8059970855713
2001,6,3,23.3819965362549
2001,6,4,24.4729969024658
2001,6,5,24.3744968414307
2001,6,6,24.1225009918213
2001,7,1,24.5214954376221
2001,7,2,24.8834934234619
2001,7,3,25.0614978790283
2001,7,4,24.1570011138916
2001,7,5,24.4975009918213
2001,7,6,25.0245850880941
2001,8,1,24.6864978790283
2001,8,2,25.2034915924072
2001,8,3,23.7319995880127
2001,8,4,24.6954944610596
2001,8,5,25.5814945220947
2001,8,6,23.9733308156331
2001,9,1,23.6744937896729
2001,9,2,22.9939990997314
2001,9,3,22.9385013580322
2001,9,4,23.5799991607666
2001,9,5,21.593501663208
2001,9,6,21.8185001373291
2001,10,1,21.0975009918213
2001,10,2,20.5914981842041
2001,10,3,21.3875019073486
2001,10,4,19.9950000762939
2001,10,5,22.3084964752197
2001,10,6,19.8608341217041
2001,11,1,19.7615009307861
2001,11,2,14.1754962921143
2001,11,3,12.2780032396317
2001,11,4,11.3459995269775
2001,11,5,11.957498550415
2001,11,6,16.9899997711182
2001,12,1,16.9639942169189
2001,12,2,11.6064990282059
2001,12,3,9.43350394964218
2001,12,4,9.02049732208252
2001,12,5,4.47999882251024
2001,12,6,7.50541472434998
2002,1,1,10.2230029344559
2002,1,2,12.9849979400635
2002,1,3,18.7589984893799
2002,1,4,9.85499592423439
2002,1,5,7.65899515151978
2002,1,6,7.17749949296315
2002,2,1,8.12049570083618
2002,2,2,12.6954944133759
2002,2,3,13.5669940710068
2002,2,4,16.1504993438721
2002,2,5,16.2185001373291
2002,2,6,18.9833316802979
2002,3,1,16.9059970378876
2002,3,2,14.0289996623993
2002,3,3,18.2039936065674
2002,3,4,17.42649269104
2002,3,5,17.1355014801025
2002,3,6,19.2462469736735
2002,4,1,22.2179950714111
2002,4,2,17.9509998321533
2002,4,3,18.3000019073486
2002,4,4,20.3964984893799
2002,4,5,21.8969989776611
2002,4,6,21.5844974517822
2002,5,1,22.5099948883057
2002,5,2,21.7999973297119
2002,5,3,22.2530002593994
2002,5,4,22.5520008087158
2002,5,5,21.3384967803955
2002,5,6,22.9874973297119
2002,6,1,23.6754962921143
2002,6,2,24.3864978790283
2002,6,3,24.3169971466064
2002,6,4,24.2925006866455
2002,6,5,24.8774921417236
2002,6,6,24.8569965362549
2002,7,1,24.8649951934814
2002,7,2,23.8719959259033
2002,7,3,26.1399936676025
2002,7,4,24.7974979400635
2002,7,5,24.3654956817627
2002,7,6,24.3345775604248
2002,8,1,24.8954990386963
2002,8,2,23.7574954986572
2002,8,3,24.2045001983643
2002,8,4,23.613000869751
2002,8,5,24.9264987945557
2002,8,6,23.82333056132
2002,9,1,23.6280002593994
2002,9,2,22.0050006866455
2002,9,3,22.7619968414307
2002,9,4,22.1444995880127
2002,9,5,20.079993057251
2002,9,6,21.0989963531494
2002,10,1,21.8099964141846
2002,10,2,15.8459964752197
2002,10,3,21.3019992828369
2002,10,4,21.2379978179932
2002,10,5,15.1540027618408
2002,10,6,17.5045820871989
2002,11,1,12.8839984893799
2002,11,2,16.9034961700439
2002,11,3,20.4529987335205
2002,11,4,13.2820026397705
2002,11,5,11.421496963501
2002,11,6,14.1129993438721
2002,12,1,19.137495803833
2002,12,2,8.40499736992642
2002,12,3,9.74999561309814
2002,12,4,14.5930026531219
2002,12,5,8.7279939994216
2002,12,6,3.45374834910035
2003,1,1,6.04399573653936
2003,1,2,3.53049927353859
2003,1,3,8.97849600315094
2003,1,4,12.6700000762939
2003,1,5,14.1164981842041
2003,1,6,9.66916192074617
2003,2,1,7.34599776268005
2003,2,2,15.0280017852783
2003,2,3,11.3965013861656
2003,2,4,14.7250003576279
2003,2,5,18.4334995269775
2003,2,6,19.1050001780192
2003,3,1,17.1119937896729
2003,3,2,8.05600143671036
2003,3,3,15.6939975738525
2003,3,4,13.5569948911667
2003,3,5,14.7574970245361
2003,3,6,19.60458056132
2003,4,1,17.5909992218018
2003,4,2,19.6364994049072
2003,4,3,19.1565006256104
2003,4,4,21.5080020904541
2003,4,5,21.1714954376221
2003,4,6,20.6869998931885
2003,5,1,21.7614963531494
2003,5,2,22.3549976348877
2003,5,3,23.2544986724854
2003,5,4,22.5389972686768
2003,5,5,23.4884998321533
2003,5,6,23.313330968221
2003,6,1,23.7885013580322
2003,6,2,23.6530002593994
2003,6,3,23.1274982452393
2003,6,4,24.2659961700439
2003,6,5,24.2205020904541
2003,6,6,24.0839984893799
2003,7,1,25.0154987335205
2003,7,2,24.7364978790283
2003,7,3,25.4240009307861
2003,7,4,25.9594974517822
2003,7,5,25.3264957427979
2003,7,6,26.1158313751221
2003,8,1,26.1214954376221
2003,8,2,25.4369937896729
2003,8,3,25.2804935455322
2003,8,4,24.5384998321533
2003,8,5,24.1199954986572
2003,8,6,24.4416573842367
2003,9,1,24.0064945220947
2003,9,2,23.6129962921143
2003,9,3,23.2824939727783
2003,9,4,24.1154972076416
2003,9,5,20.207498550415
2003,9,6,23.6744968414307
2003,10,1,20.5269962310791
2003,10,2,20.95149269104
2003,10,3,17.7394962310791
2003,10,4,16.6399967193604
2003,10,5,17.3599994659424
2003,10,6,19.1366621653239
2003,11,1,20.331995010376
2003,11,2,16.1809954881668
2003,11,3,12.8709994316101
2003,11,4,20.0404956817627
2003,11,5,14.2220004796982
2003,11,6,10.1869906425476
2003,12,1,11.7354922771454
2003,12,2,10.1584932804108
2003,12,3,5.92999730110168
2003,12,4,5.8549896940589
2003,12,5,9.38499629497528
2003,12,6,8.29916042586168
2004,1,1,13.2414936065674
2004,1,2,13.8829929351807
2004,1,3,9.87899343967438
2004,1,4,4.20999454855919
2004,1,5,3.3449889883399
2004,1,6,9.58749688168367
2004,2,1,6.57149970382452
2004,2,2,5.57599336355925
2004,2,3,12.7989963531494
2004,2,4,17.6714939117432
2004,2,5,15.4359958648682
2004,2,6,17.8606204986572
2004,3,1,9.86550009250641
2004,3,2,13.3704959630966
2004,3,3,17.6300022125244
2004,3,4,17.7999988555908
2004,3,5,13.61399269104
2004,3,6,16.9258289337158
2004,4,1,17.2039936065674
2004,4,2,16.7689975738525
2004,4,3,20.1079959869385
2004,4,4,20.121496963501
2004,4,5,22.6794940948486
2004,4,6,21.9869953155518
2004,5,1,19.6339954376221
2004,5,2,21.2759967803955
2004,5,3,23.2019916534424
2004,5,4,20.9854953765869
2004,5,5,22.556995010376
2004,5,6,23.7324962615967
2004,6,1,23.4794910430908
2004,6,2,22.0914981842041
2004,6,3,23.6749927520752
2004,6,4,24.4419925689697
2004,6,5,24.7424915313721
2004,6,6,25.6734928131104
2004,7,1,25.6729923248291
2004,7,2,24.1759937286377
2004,7,3,23.7954959869385
2004,7,4,23.6189929962158
2004,7,5,24.2719974517822
2004,7,6,24.2279122670492
2004,8,1,25.033996963501
2004,8,2,25.1379978179932
2004,8,3,24.9119998931885
2004,8,4,24.5645008087158
2004,8,5,24.3269962310791
2004,8,6,24.7429129282633
2004,9,1,25.1079975128174
2004,9,2,22.240002822876
2004,9,3,20.9204944610596
2004,9,4,23.5825000762939
2004,9,5,20.8135013580322
2004,9,6,22.618501663208
2004,10,1,14.7784961700439
2004,10,2,18.1319965362549
2004,10,3,19.2519947052002
2004,10,4,18.1075016021729
2004,10,5,18.3854969024658
2004,10,6,18.3074970245361
2004,11,1,18.2999973297119
2004,11,2,18.8454990386963
2004,11,3,17.2690006256104
2004,11,4,11.6054950714111
2004,11,5,15.5269962310791
2004,11,6,11.4329989433289
2004,12,1,13.5614993572235
2004,12,2,8.53850119113922
2004,12,3,11.2655001878738
2004,12,4,14.1559970855713
2004,12,5,11.6829988956451
2004,12,6,2.70624948789676
2005,1,1,5.31899725198746
2005,1,2,7.73450029492378
2005,1,3,3.7784973025322
2005,1,4,7.7144944190979
2005,1,5,14.4844958782196
2005,1,6,10.7049972315629
2005,2,1,13.4404986143112
2005,2,2,14.6574985027313
2005,2,3,14.1039981126785
2005,2,4,5.86999974399805
2005,2,5,12.7824969351292
2005,2,6,8.32749851544698
2005,3,1,6.83849794864655
2005,3,2,15.2330005407333
2005,3,3,9.89149648547173
2005,3,4,16.1939990997314
2005,3,5,14.785998916626
2005,3,6,17.6829166412354
2005,4,1,17.2514987945557
2005,4,2,20.0700000762939
2005,4,3,16.3454944610596
2005,4,4,20.2704975128174
2005,4,5,21.7969928741455
2005,4,6,21.9659931182861
2005,5,1,22.8394962310791
2005,5,2,21.0964908599854
2005,5,3,24.0864948272705
2005,5,4,23.5614978790283
2005,5,5,23.3324970245361
2005,5,6,23.4799963633219
2005,6,1,23.9860019683838
2005,6,2,23.6254962921143
2005,6,3,25.0489948272705
2005,6,4,24.5299915313721
2005,6,5,24.4144947052002
2005,6,6,24.2669925689697
2005,7,1,24.649995803833
2005,7,2,24.8914936065674
2005,7,3,25.0549976348877
2005,7,4,25.0884952545166
2005,7,5,24.7089954376221
2005,7,6,25.0366636912028
2005,8,1,24.8939945220947
2005,8,2,24.6084934234619
2005,8,3,24.5774951934814
2005,8,4,23.7244983673096
2005,8,5,23.4729984283447
2005,8,6,24.3104101816813
2005,9,1,23.713000869751
2005,9,2,22.740491104126
2005,9,3,24.0864978790283
2005,9,4,24.0364948272705
2005,9,5,22.9584980010986
2005,9,6,23.562495803833
2005,10,1,21.5499927520752
2005,10,2,19.9489933013916
2005,10,3,21.6069995880127
2005,10,4,20.0304996490479
2005,10,5,16.2879962921143
2005,10,6,17.616662979126
2005,11,1,22.0015003204346
2005,11,2,22.553494644165
2005,11,3,17.9499942779541
2005,11,4,11.4464954376221
2005,11,5,11.5189990997314
2005,11,6,15.4844959259033
2005,12,1,10.6969988450408
2005,12,2,7.44649522900581
2005,12,3,5.12899321317673
2005,12,4,5.6074951030314
2005,12,5,8.27349264472723
2005,12,6,12.2070776422819
2006,1,1,11.9684939205647
2006,1,2,3.08299863636494
2006,1,3,14.3819934844971
2006,1,4,14.1969943106174
2006,1,5,4.65199432373047
2006,1,6,12.6795774300893
2006,2,1,12.6609942674637
2006,2,2,11.1339968919754
2006,2,3,17.7494922637939
2006,2,4,9.52549455165863
2006,2,5,13.4924900054932
2006,2,6,8.90499033033848
2006,3,1,9.8894960463047
2006,3,2,17.8949970245361
2006,3,3,10.0454942807555
2006,3,4,18.54299659729
2006,3,5,16.7344974517822
2006,3,6,16.9437402089437
2006,4,1,21.2644916534424
2006,4,2,20.3199970245361
2006,4,3,15.2754993438721
2006,4,4,19.3434970855713
2006,4,5,21.9554950714111
2006,4,6,20.5699924468994
2006,5,1,22.4299945831299
2006,5,2,23.4489917755127
2006,5,3,18.80549659729
2006,5,4,20.0029987335205
2006,5,5,22.95549659729
2006,5,6,22.3412456512451
2006,6,1,23.9089954376221
2006,6,2,23.9669986724854
2006,6,3,24.437495803833
2006,6,4,24.7324970245361
2006,6,5,24.7564945220947
2006,6,6,24.6444965362549
2006,7,1,25.0339984893799
2006,7,2,25.5529972076416
2006,7,3,25.9909931182861
2006,7,4,24.8519916534424
2006,7,5,25.8299976348877
2006,7,6,24.2249978383382
2006,8,1,24.1340000152588
2006,8,2,25.0025058746338
2006,8,3,25.1619922637939
2006,8,4,25.0164936065674
2006,8,5,23.8899936676025
2006,8,6,24.5870774586995
2006,9,1,25.4044956207275
2006,9,2,21.7924991607666
2006,9,3,20.5974964141846
2006,9,4,20.2874988555908
2006,9,5,22.0924976348877
2006,9,6,23.4574939727783
2006,10,1,21.3664951324463
2006,10,2,21.9509922027588
2006,10,3,22.9674961090088
2006,10,4,22.6199893951416
2006,10,5,21.4449954986572
2006,10,6,18.8495769500732
2006,11,1,15.7064975738525
2006,11,2,18.4939975738525
