year,month,hou,air2m
2000,1,1,21.9379962921143
2000,1,2,22.4140048980713
2000,1,3,22.7219944000244
2000,1,4,20.6179935455322
2000,1,5,21.9355030059814
2000,1,6,18.0308335622152
2000,2,1,19.3425022125244
2000,2,2,20.0824954986572
2000,2,3,21.0834949493408
2000,2,4,22.0520008087158
2000,2,5,20.9889972686768
2000,2,6,18.7231254577637
2000,3,1,21.1325000762939
2000,3,2,22.3044956207275
2000,3,3,23.0404987335205
2000,3,4,23.828494644165
2000,3,5,23.4494953155518
2000,3,6,23.2949975331624
2000,4,1,24.5285037994385
2000,4,2,24.9755023956299
2000,4,3,25.5524951934814
2000,4,4,25.7569965362549
2000,4,5,27.1394992828369
2000,4,6,27.2964984893799
2000,5,1,27.1875034332275
2000,5,2,27.5009983062744
2000,5,3,26.7064975738525
2000,5,4,26.8889987945557
2000,5,5,27.6314990997314
2000,5,6,28.4574960072835
2000,6,1,28.2200000762939
2000,6,2,28.9914966583252
2000,6,3,27.6439945220947
2000,6,4,27.5989948272705
2000,6,5,28.5539981842041
2000,6,6,28.4929981231689
2000,7,1,28.6680011749268
2000,7,2,28.9405017852783
2000,7,3,27.9909915924072
2000,7,4,28.9814975738525
2000,7,5,28.7980030059814
2000,7,6,29.0125001271566
2000,8,1,29.6204959869385
2000,8,2,28.4429996490479
2000,8,3,29.7710010528564
2000,8,4,29.4579959869385
2000,8,5,28.8829975128174
2000,8,6,28.9633337656657
2000,9,1,28.4094974517822
2000,9,2,27.8050006866455
2000,9,3,27.2854984283447
2000,9,4,26.7459980010986
2000,9,5,27.0544971466064
2000,9,6,27.2794971466064
2000,10,1,27.36350440979
2000,10,2,27.5959980010986
2000,10,3,26.9174961090088
2000,10,4,26.5184986114502
2000,10,5,26.1570011138916
2000,10,6,25.1599992116292
2000,11,1,23.6279972076416
2000,11,2,24.719998550415
2000,11,3,23.7844959259033
2000,11,4,23.3435001373291
2000,11,5,23.2515048980713
2000,11,6,24.4290012359619
2000,12,1,23.0859958648682
2000,12,2,24.0294956207275
2000,12,3,21.3844959259033
2000,12,4,23.1895038604736
2000,12,5,21.0815113067627
2000,12,6,22.2908331553141
2001,1,1,22.5399967193604
2001,1,2,21.98049659729
2001,1,3,21.6764972686768
2001,1,4,22.4729923248291
2001,1,5,23.063000869751
2001,1,6,20.8604132334391
2001,2,1,21.6019992828369
2001,2,2,21.6114963531494
2001,2,3,21.1344974517822
2001,2,4,21.719495010376
2001,2,5,22.2875003814697
2001,2,6,21.5999978383382
2001,3,1,21.8054996490479
2001,3,2,22.2894992828369
2001,3,3,22.523498916626
2001,3,4,23.7734973907471
2001,3,5,24.4705005645752
2001,3,6,24.3395811716716
2001,4,1,24.7299976348877
2001,4,2,26.0869953155518
2001,4,3,23.9309955596924
2001,4,4,26.5045017242432
2001,4,5,26.3645008087158
2001,4,6,26.9164981842041
2001,5,1,26.7479999542236
2001,5,2,27.7384967803955
2001,5,3,27.553494644165
2001,5,4,27.7114933013916
2001,5,5,28.2674961090088
2001,5,6,27.8454125722249
2001,6,1,28.7954990386963
2001,6,2,29.5745014190674
2001,6,3,29.158996963501
2001,6,4,29.5794956207275
2001,6,5,28.6420017242432
2001,6,6,28.5474979400635
2001,7,1,28.8029956817627
2001,7,2,28.3690006256104
2001,7,3,29.0600009918213
2001,7,4,29.2584980010986
2001,7,5,28.4439975738525
2001,7,6,29.2308279673258
2001,8,1,28.750500869751
2001,8,2,28.6524967193604
2001,8,3,28.1984973907471
2001,8,4,28.2420001983643
2001,8,5,29.4315021514893
2001,8,6,28.7345854441325
2001,9,1,28.2689975738525
2001,9,2,28.2334995269775
2001,9,3,27.4795017242432
2001,9,4,28.164497756958
2001,9,5,27.6004993438721
2001,9,6,27.9274967193604
2001,10,1,27.3789951324463
2001,10,2,27.426997756958
2001,10,3,27.6544986724854
2001,10,4,27.1574970245361
2001,10,5,27.4139987945557
2001,10,6,26.7595856984456
2001,11,1,26.9315036773682
2001,11,2,25.2559970855713
2001,11,3,23.4389972686768
2001,11,4,23.5059986114502
2001,11,5,23.2370059967041
2001,11,6,24.065994644165
2001,12,1,24.0684970855713
2001,12,2,23.7625003814697
2001,12,3,22.7715000152588
2001,12,4,22.7924976348877
2001,12,5,19.7669971466064
2001,12,6,20.479164759318
2002,1,1,20.9645008087158
2002,1,2,21.6390033721924
2002,1,3,21.9449924468994
2002,1,4,22.0524890899658
2002,1,5,21.2649982452393
2002,1,6,20.2358328501383
2002,2,1,20.7379993438721
2002,2,2,22.0739963531494
2002,2,3,21.5984973907471
2002,2,4,21.7274967193604
2002,2,5,21.8919940948486
2002,2,6,21.9608351389567
2002,3,1,22.2324954986572
2002,3,2,21.6320011138916
2002,3,3,23.1915012359619
2002,3,4,23.1180011749268
2002,3,5,23.9155002593994
