year,month,hou,air2m
2000,1,1,18.2794940948486
2000,1,2,19.1944995880127
2000,1,3,18.4054996490479
2000,1,4,10.3749956607819
2000,1,5,14.8024997234344
2000,1,6,7.20958111559351
2000,2,1,12.6674945354462
2000,2,2,13.6300006866455
2000,2,3,17.8240009307861
2000,2,4,18.0900043487549
2000,2,5,13.6779956102371
2000,2,6,8.77749612927437
2000,3,1,16.3234943389893
2000,3,2,18.7514911651611
2000,3,3,19.416499710083
2000,3,4,20.5234973907471
2000,3,5,20.7200000762939
2000,3,6,22.2179164886475
2000,4,1,20.4564960479736
2000,4,2,21.1275012969971
2000,4,3,20.5825046539307
2000,4,4,22.7585041046143
2000,4,5,24.1095050811768
2000,4,6,23.4214984893799
2000,5,1,23.5115009307861
2000,5,2,23.7219974517822
2000,5,3,23.4964984893799
2000,5,4,22.7614948272705
2000,5,5,23.9520053863525
2000,5,6,25.4170894622803
2000,6,1,25.2119983673096
2000,6,2,25.8099948883057
2000,6,3,23.0039966583252
2000,6,4,25.2624973297119
2000,6,5,24.8674945831299
2000,6,6,25.4494968414307
2000,7,1,25.5934940338135
2000,7,2,25.7069980621338
2000,7,3,25.0060031890869
2000,7,4,25.1004993438721
2000,7,5,25.2444980621338
2000,7,6,26.0899957021077
2000,8,1,25.4635028839111
2000,8,2,25.0799961090088
2000,8,3,25.9944995880127
2000,8,4,25.6315036773682
2000,8,5,25.610493850708
2000,8,6,25.1262493133545
2000,9,1,25.4129932403564
2000,9,2,22.9329959869385
2000,9,3,21.3424976348877
2000,9,4,22.8844974517822
2000,9,5,23.586502456665
2000,9,6,23.9024997711182
2000,10,1,23.7670017242432
2000,10,2,23.5029972076416
2000,10,3,19.813000869751
2000,10,4,20.9819995880127
2000,10,5,23.7679950714111
2000,10,6,18.1745827992757
2000,11,1,15.3329929351807
2000,11,2,19.6709980010986
2000,11,3,14.8294940471649
2000,11,4,14.6259998083115
2000,11,5,16.3310001134872
2000,11,6,20.8654972076416
2000,12,1,15.0700016021729
2000,12,2,17.8715000152588
2000,12,3,11.696493768692
2000,12,4,17.0169955730438
2000,12,5,12.0615008831024
2000,12,6,15.7025038401286
2001,1,1,16.0014942169189
2001,1,2,15.7699969530106
2001,1,3,12.3795032024384
2001,1,4,16.6974979400635
2001,1,5,19.6299976110458
2001,1,6,10.5529090563456
2001,2,1,13.4159960746765
2001,2,2,13.7189990520477
2001,2,3,13.4964953422546
2001,2,4,18.2454959869385
2001,2,5,19.2019961833954
2001,2,6,15.4999993642171
2001,3,1,17.1794971466064
2001,3,2,17.0099979400635
2001,3,3,18.4004978179932
2001,3,4,21.9365039825439
2001,3,5,22.3640018463135
2001,3,6,19.3920815785726
2001,4,1,22.4149997711182
2001,4,2,23.5964984893799
2001,4,3,17.9954944610596
2001,4,4,24.740994644165
2001,4,5,21.158996963501
2001,4,6,23.4084995269775
2001,5,1,23.4230014801025
2001,5,2,23.5704990386963
2001,5,3,24.356995010376
2001,5,4,24.760998916626
2001,5,5,24.9444965362549
2001,5,6,24.1320832570394
2001,6,1,24.6289981842041
2001,6,2,25.0530094146729
2001,6,3,24.853999710083
2001,6,4,25.5364963531494
2001,6,5,25.5835025787354
2001,6,6,24.7925022125244
2001,7,1,25.2964954376221
2001,7,2,25.3429950714111
2001,7,3,25.9055027008057
2001,7,4,25.0640003204346
2001,7,5,25.1204990386963
2001,7,6,25.6825008392334
2001,8,1,25.299995803833
2001,8,2,25.7575000762939
2001,8,3,24.8960010528564
2001,8,4,25.5905002593994
2001,8,5,26.5664951324463
2001,8,6,25.0599994659424
2001,9,1,24.7214939117432
2001,9,2,24.3914981842041
2001,9,3,24.2724948883057
2001,9,4,24.7489994049072
2001,9,5,23.3765018463135
2001,9,6,23.2319995880127
2001,10,1,22.883996963501
2001,10,2,22.6125034332275
2001,10,3,23.4330020904541
2001,10,4,22.0444980621338
2001,10,5,23.8700000762939
2001,10,6,22.1987489064534
2001,11,1,22.7994998931885
2001,11,2,17.1544971466064
2001,11,3,15.1590030670166
