year,month,hou,air2m
2000,1,1,9.91300075054169
2000,1,2,6.70000162571669
2000,1,3,5.04249726384878
2000,1,4,-0.108497635368258
2000,1,5,1.54199827760458
2000,1,6,-5.06374713778496
2000,2,1,0.411004593968391
2000,2,2,1.87399592995644
2000,2,3,4.92249908298254
2000,2,4,5.29999542236328
2000,2,5,3.31049491167068
2000,2,6,3.50437691062689
2000,3,1,9.27349729537964
2000,3,2,6.79349977970123
2000,3,3,8.42450275421143
2000,3,4,9.34099299907684
2000,3,5,10.4865008831024
2000,3,6,13.5087489485741
2000,4,1,12.3944965362549
2000,4,2,13.4930011034012
2000,4,3,13.8255023956299
2000,4,4,17.0055011749268
2000,4,5,17.3280002593994
2000,4,6,16.6419971466064
2000,5,1,19.6849979400635
2000,5,2,18.9215000152588
2000,5,3,20.7499942779541
2000,5,4,19.8379947662354
2000,5,5,23.3809940338135
2000,5,6,21.7450021107992
2000,6,1,23.0490009307861
2000,6,2,22.2604969024658
2000,6,3,20.5799976348877
2000,6,4,22.9135028839111
2000,6,5,24.4254993438721
2000,6,6,26.1339984893799
2000,7,1,24.4440006256104
2000,7,2,24.1494983673096
2000,7,3,26.3489948272705
2000,7,4,25.4445026397705
2000,7,5,26.2919956207275
2000,7,6,25.7304185231527
2000,8,1,24.8034976959229
2000,8,2,25.6119953155518
2000,8,3,25.3599979400635
2000,8,4,24.8574954986572
2000,8,5,24.3100009918213
2000,8,6,24.0995845794678
2000,9,1,24.7649982452393
2000,9,2,19.0204990386963
2000,9,3,18.9589984893799
2000,9,4,21.2005069732666
2000,9,5,22.1235004425049
2000,9,6,21.5114963531494
2000,10,1,20.0510013580322
2000,10,2,20.7059986114502
2000,10,3,15.2810001373291
2000,10,4,17.219998550415
2000,10,5,19.474995803833
2000,10,6,13.2224979400635
2000,11,1,11.4334979295731
2000,11,2,13.3045001506805
2000,11,3,9.80499290078878
2000,11,4,7.62850049734116
2000,11,5,10.0134965956211
2000,11,6,10.6019992113113
2000,12,1,7.39400038719177
2000,12,2,10.5669924974442
2000,12,3,3.71399991987273
2000,12,4,8.49000116465613
2000,12,5,5.33749843835831
2000,12,6,7.07583274443944
2001,1,1,8.01449902057648
2001,1,2,3.64049534648657
2001,1,3,0.122499018907547
2001,1,4,6.07399909263477
2001,1,5,6.67849737405777
2001,1,6,0.374167343523974
2001,2,1,5.55749513059854
2001,2,2,3.70749660469592
2001,2,3,3.79799190759659
2001,2,4,9.04300255775452
2001,2,5,8.16749894320965
2001,2,6,7.71749794483185
2001,3,1,8.4764924287796
2001,3,2,5.95199750959873
2001,3,3,10.8390017271042
2001,3,4,11.5744967222214
2001,3,5,14.0514957427979
2001,3,6,10.0154093702634
2001,4,1,12.9925006866455
2001,4,2,14.9594974517822
2001,4,3,11.8984927415848
2001,4,4,17.1794940948486
2001,4,5,12.0155002593994
2001,4,6,18.0780002593994
2001,5,1,19.0264972686768
2001,5,2,17.9494983673096
2001,5,3,20.3554981231689
2001,5,4,22.0814960479736
2001,5,5,21.9304950714111
2001,5,6,20.0329151153564
2001,6,1,20.2504978179932
2001,6,2,22.3730014801025
2001,6,3,21.3530002593994
2001,6,4,24.216499710083
2001,6,5,23.1549991607666
2001,6,6,25.4554996490479
2001,7,1,26.4300022125244
2001,7,2,26.2534992218018
2001,7,3,25.5094944000244
2001,7,4,24.8154956817627
2001,7,5,26.5819965362549
2001,7,6,26.4112466176351
2001,8,1,25.3199954986572
2001,8,2,25.0454975128174
2001,8,3,23.5319980621338
2001,8,4,24.6975040435791
2001,8,5,24.6174976348877
2001,8,6,22.7529163360596
2001,9,1,22.5474979400635
2001,9,2,21.5449939727783
2001,9,3,22.3345020294189
2001,9,4,22.9665012359619
2001,9,5,21.4129993438721
2001,9,6,21.0734958648682
2001,10,1,18.3395008087158
2001,10,2,17.9819980621338
2001,10,3,18.9374927520752
2001,10,4,16.5184986114502
2001,10,5,19.4009952545166
2001,10,6,16.1412487030029
2001,11,1,13.6899997472763
2001,11,2,10.7604922533035
2001,11,3,8.10449237823486
2001,11,4,6.22049403190613
2001,11,5,9.73499484062195
2001,11,6,11.7059939622879
2001,12,1,10.8405017137527
2001,12,2,8.02349715828896
2001,12,3,2.28200070112944
2001,12,4,5.25700069069862
2001,12,5,-2.7109985679388
2001,12,6,1.87166491399209
2002,1,1,3.96199335306883
2002,1,2,5.98849509209394
2002,1,3,15.5730014801025
2002,1,4,2.10399927832186
2002,1,5,1.38849941669032
2002,1,6,1.33124437586715
2002,2,1,4.00999901778996
2002,2,2,6.50399634838104
2002,2,3,6.49999694824219
2002,2,4,8.38149588108063
2002,2,5,8.3469957113266
2002,2,6,10.7508309284846
2002,3,1,7.63099682331085
2002,3,2,11.1909960746765
2002,3,3,14.5189945220947
2002,3,4,13.2364963531494
2002,3,5,10.4174975395203
2002,3,6,14.019998550415
2002,4,1,18.298498916626
2002,4,2,13.2084934234619
2002,4,3,17.5484973907471
2002,4,4,14.3774997711182
2002,4,5,15.2710010528564
2002,4,6,17.7810001373291
2002,5,1,19.7879962921143
2002,5,2,17.2634983062744
2002,5,3,19.2799961090088
2002,5,4,17.8369998931885
2002,5,5,18.7144992828369
2002,5,6,21.1749986012777
2002,6,1,22.6815021514893
2002,6,2,23.953999710083
2002,6,3,23.8809986114502
2002,6,4,23.8969974517822
2002,6,5,24.7139987945557
2002,6,6,23.2345020294189
