year,month,hou,air2m
2000,1,1,14.5600025177002
2000,1,2,11.3824954271317
2000,1,3,7.63999341130257
2000,1,4,2.79699852913618
2000,1,5,6.50299699753523
2000,1,6,-0.908336420853933
2000,2,1,2.71999813048169
2000,2,2,6.7904999256134
2000,2,3,11.0629977464676
2000,2,4,9.17899949550629
2000,2,5,6.35099637508392
2000,2,6,5.71874955296516
2000,3,1,12.3099964141846
2000,3,2,10.7890003204346
2000,3,3,11.9104937314987
2000,3,4,14.0659992218018
2000,3,5,13.9539981842041
2000,3,6,16.5579153696696
2000,4,1,16.232498550415
2000,4,2,16.3515003204346
2000,4,3,16.473498916626
2000,4,4,18.8709995269775
2000,4,5,20.2459995269775
2000,4,6,19.0919971466064
2000,5,1,20.5765003204346
2000,5,2,21.303999710083
2000,5,3,23.0165042877197
2000,5,4,20.7739994049072
2000,5,5,22.7910068511963
2000,5,6,24.0870787302653
2000,6,1,24.6244953155518
2000,6,2,24.2480030059814
2000,6,3,20.6565021514893
2000,6,4,23.9419986724854
2000,6,5,24.0939990997314
2000,6,6,25.456995010376
2000,7,1,25.4525043487549
2000,7,2,24.5979969024658
2000,7,3,25.3249988555908
2000,7,4,24.7864978790283
2000,7,5,24.9820026397705
2000,7,6,25.8512503306071
2000,8,1,25.0424915313721
2000,8,2,25.1544956207275
2000,8,3,25.7024982452393
2000,8,4,24.9149982452393
2000,8,5,24.5290012359619
2000,8,6,23.7670853932699
2000,9,1,24.8169986724854
2000,9,2,19.9469989776611
2000,9,3,19.0814960479736
2000,9,4,21.6474994659424
2000,9,5,22.9260013580322
2000,9,6,22.9090030670166
2000,10,1,22.1844959259033
2000,10,2,21.9465045928955
2000,10,3,15.788000869751
2000,10,4,17.4419956207275
2000,10,5,21.5634967803955
2000,10,6,14.11416943868
2000,11,1,11.567004776001
2000,11,2,14.8359973430634
2000,11,3,8.50449693202972
2000,11,4,8.07249617576599
2000,11,5,11.4515047073364
2000,11,6,13.8929950475693
2000,12,1,8.36750047206879
2000,12,2,12.9384967803955
2000,12,3,5.11750189065933
2000,12,4,9.73099536895752
2000,12,5,6.8969971716404
2000,12,6,9.50791601339976
