year,month,hou,air2m
2000,1,1,14.4594944000244
2000,1,2,10.9345019340515
2000,1,3,6.63699660152197
2000,1,4,1.46749871820211
2000,1,5,6.41199662536383
2000,1,6,-0.32958580257061
2000,2,1,2.04200133590027
2000,2,2,4.53099664449692
2000,2,3,9.77550067901611
2000,2,4,8.73599869012833
2000,2,5,5.29199369549751
2000,2,6,5.25875426083803
2000,3,1,10.7535022497177
2000,3,2,9.61649494171143
2000,3,3,11.08150203228
2000,3,4,13.6320025920868
2000,3,5,12.4870028495789
2000,3,6,16.5016613006592
2000,4,1,13.6039996862411
2000,4,2,15.0340045928955
2000,4,3,15.3470035552979
2000,4,4,18.3589984893799
2000,4,5,18.4944980621338
2000,4,6,17.0580051422119
2000,5,1,18.9274936676025
2000,5,2,20.2240009307861
2000,5,3,22.285493850708
2000,5,4,19.0749988555908
2000,5,5,21.8819980621338
2000,5,6,22.7512480417887
2000,6,1,23.135998916626
2000,6,2,22.931001663208
2000,6,3,18.9349979400635
2000,6,4,22.5074954986572
2000,6,5,22.8700016021729
2000,6,6,23.5840015411377
2000,7,1,24.2699970245361
2000,7,2,23.5280033111572
2000,7,3,23.8044940948486
2000,7,4,24.2399967193604
2000,7,5,23.3530002593994
2000,7,6,24.2774969736735
2000,8,1,23.6114994049072
2000,8,2,23.7039936065674
2000,8,3,24.6119953155518
2000,8,4,23.6540012359619
2000,8,5,23.1614994049072
2000,8,6,22.1295808156331
2000,9,1,23.1814975738525
2000,9,2,18.1200016021729
2000,9,3,18.4839984893799
2000,9,4,20.3675006866455
2000,9,5,21.4629993438721
2000,9,6,21.7575000762939
2000,10,1,20.5154972076416
2000,10,2,20.9430057525635
2000,10,3,14.0675037384033
2000,10,4,15.1829959869385
2000,10,5,19.6950000762939
2000,10,6,14.1249980926514
2000,11,1,10.6134982347488
2000,11,2,12.9609958171844
2000,11,3,7.08400123119354
2000,11,4,6.93550264835358
2000,11,5,10.4570039510727
2000,11,6,13.0424930095673
2000,12,1,7.25850077271461
2000,12,2,11.6955005168915
2000,12,3,4.39849855778739
2000,12,4,8.76099875420332
2000,12,5,5.93849795348942
2000,12,6,9.11124593019485
2001,1,1,8.76449756622315
2001,1,2,7.13900010921061
2001,1,3,4.21950218975544
2001,1,4,10.282496881485
2001,1,5,8.99850028604269
2001,1,6,4.15458449007322
2001,2,1,6.0669952750206
2001,2,2,5.47449641823769
2001,2,3,5.38499912023544
2001,2,4,13.4384998321533
2001,2,5,11.3774965286255
2001,2,6,6.74749914805094
2001,3,1,11.6604953289032
2001,3,2,9.45950036048889
2001,3,3,14.7524997472763
2001,3,4,11.9279986858368
2001,3,5,16.3585010290146
2001,3,6,13.4579143325488
2001,4,1,16.2284961700439
2001,4,2,16.3079928636551
2001,4,3,13.3874942064285
2001,4,4,19.2229984283447
2001,4,5,13.063997220993
2001,4,6,19.5719944000244
2001,5,1,19.6945041656494
2001,5,2,18.4349948883057
2001,5,3,20.5065036773682
2001,5,4,20.4404941558838
2001,5,5,22.4279987335205
2001,5,6,19.0783303578695
2001,6,1,20.058996963501
2001,6,2,22.9354969024658
2001,6,3,22.0744983673096
2001,6,4,23.2854969024658
2001,6,5,22.4819980621338
2001,6,6,23.5119937896729
2001,7,1,23.765002822876
2001,7,2,23.8809986114502
2001,7,3,24.3474964141846
2001,7,4,23.4520008087158
2001,7,5,23.9020008087158
2001,7,6,23.8854134877523
2001,8,1,23.2889942169189
2001,8,2,24.4710010528564
2001,8,3,22.0449954986572
2001,8,4,23.4504993438721
2001,8,5,23.5669956207275
2001,8,6,22.0991586049398
2001,9,1,21.632498550415
2001,9,2,21.8139942169189
2001,9,3,22.0884952545166
2001,9,4,22.0725025177002
2001,9,5,20.0264987945557
2001,9,6,19.4420001983643
2001,10,1,18.9744998931885
2001,10,2,17.8819995880127
2001,10,3,20.4404941558838
2001,10,4,17.1085010528564
2001,10,5,19.6690036773682
2001,10,6,16.6316649119059
2001,11,1,15.523500418663
2001,11,2,10.3864978551865
2001,11,3,10.6450015068054
2001,11,4,11.0709980010986
2001,11,5,10.6639972448349
2001,11,6,14.0965015411377
2001,12,1,12.779996073246
2001,12,2,6.18349767327309
2001,12,3,3.32999571748078
2001,12,4,4.39600522994995
2001,12,5,3.51000368446112
2001,12,6,4.80124559874336
2002,1,1,8.55649428367615
2002,1,2,10.6984958171844
2002,1,3,15.1789981842041
2002,1,4,4.19250037558377
2002,1,5,3.26599571704865
2002,1,6,3.7570802817742
2002,2,1,4.57549736499786
2002,2,2,9.48149740695953
2002,2,3,11.509996342659
2002,2,4,13.831995010376
2002,2,5,13.417497587204
2002,2,6,16.3150043487549
2002,3,1,12.6724962711334
2002,3,2,11.8764987230301
2002,3,3,15.9210025787354
2002,3,4,14.1664981603622
2002,3,5,12.5409960746765
2002,3,6,16.3199990590413
2002,4,1,21.0274997711182
2002,4,2,14.5125002622604
2002,4,3,17.2909961462021
2002,4,4,16.7694980621338
2002,4,5,18.6530002593994
2002,4,6,20.1980014801025
2002,5,1,20.6529972076416
2002,5,2,18.9504978179932
2002,5,3,20.2605014801025
2002,5,4,20.9809986114502
2002,5,5,18.4334995269775
2002,5,6,21.4224999745687
2002,6,1,22.7034992218018
2002,6,2,23.3839984893799
2002,6,3,23.2015018463135
2002,6,4,23.3709980010986
2002,6,5,23.7569995880127
2002,6,6,23.4785022735596
2002,7,1,23.1719959259033
2002,7,2,22.6879962921143
2002,7,3,25.3204990386963
2002,7,4,24.9655002593994
2002,7,5,23.2890018463135
2002,7,6,22.9699980417887
2002,8,1,24.2485004425049
2002,8,2,21.6885028839111
2002,8,3,21.9915012359619
2002,8,4,21.5014972686768
2002,8,5,23.8299961090088
2002,8,6,21.82333056132
2002,9,1,22.4119968414307
2002,9,2,20.4350009918213
2002,9,3,20.08450050354
2002,9,4,20.158996963501
2002,9,5,17.3594974517822
2002,9,6,18.8069965362549
2002,10,1,19.8944965362549
2002,10,2,15.6124988555908
2002,10,3,18.9134983062744
2002,10,4,18.2284976959229
2002,10,5,11.3205020189285
2002,10,6,13.147497177124
2002,11,1,11.0989994049072
2002,11,2,15.7215000152588
2002,11,3,16.8990023851395
2002,11,4,9.83199641704559
2002,11,5,7.79449942708015
2002,11,6,10.7440006017685
2002,12,1,16.1269992828369
2002,12,2,4.60049440860748
2002,12,3,7.71349803209305
2002,12,4,9.73949600458145
2002,12,5,3.52250204980373
2002,12,6,-0.100837510079145
2003,1,1,2.11149591393769
2003,1,2,0.430999724566936
2003,1,3,6.0914979159832
2003,1,4,11.5299991130829
2003,1,5,10.5299990415573
2003,1,6,6.27083237624417
2003,2,1,3.57649833895266
2003,2,2,12.7639971733093
2003,2,3,6.13849344849586
2003,2,4,12.8250018596649
2003,2,5,16.7724964141846
2003,2,6,15.5925006866455
2003,3,1,12.6289995957166
2003,3,2,6.08899847716093
2003,3,3,13.1869983196259
2003,3,4,8.47449955940247
2003,3,5,12.7964923381805
2003,3,6,18.4474989573161
2003,4,1,14.087498831749
2003,4,2,17.6134967803955
2003,4,3,15.7190005779266
2003,4,4,19.861502456665
2003,4,5,18.3580020904541
2003,4,6,18.7830005645752
2003,5,1,20.7434940338135
2003,5,2,19.4529987335205
2003,5,3,21.7369983673096
2003,5,4,19.5354999542236
2003,5,5,21.3400043487549
2003,5,6,21.5166645050049
2003,6,1,22.4590000152588
2003,6,2,21.8854923248291
2003,6,3,20.1939975738525
2003,6,4,22.9314960479736
2003,6,5,23.4800006866455
2003,6,6,23.001997756958
2003,7,1,23.6684970855713
2003,7,2,23.4659992218018
2003,7,3,23.8034976959229
2003,7,4,24.9809970855713
2003,7,5,24.3285007476807
2003,7,6,24.7883332570394
2003,8,1,25.8145008087158
2003,8,2,25.1500003814697
2003,8,3,23.8239963531494
2003,8,4,22.7994922637939
2003,8,5,23.8899936676025
2003,8,6,23.2470823923747
2003,9,1,22.7339984893799
2003,9,2,21.6944965362549
2003,9,3,21.7329959869385
2003,9,4,22.6205005645752
2003,9,5,17.8559925079346
2003,9,6,21.9834949493408
2003,10,1,17.8494922637939
2003,10,2,18.3474933624268
2003,10,3,15.4189945220947
2003,10,4,14.5329944610596
2003,10,5,15.2164981842041
2003,10,6,15.8987433115641
2003,11,1,18.1209964752197
2003,11,2,11.7680010080338
2003,11,3,9.94249439239502
2003,11,4,15.933996963501
2003,11,5,10.680998468399
2003,11,6,6.71049501895905
2003,12,1,10.1384967327118
2003,12,2,4.65249322503805
2003,12,3,4.63749533295631
2003,12,4,4.43499597758055
2003,12,5,6.0264938890934
2003,12,6,6.59791595612963
2004,1,1,9.28849964141846
2004,1,2,10.1505023002625
2004,1,3,6.00149390101433
2004,1,4,0.931492585595697
2004,1,5,2.08149715363979
2004,1,6,6.36499695976575
2004,2,1,2.81499328650534
2004,2,2,4.42399447411299
2004,2,3,10.8329959154129
2004,2,4,15.4894931793213
2004,2,5,10.7094943284988
2004,2,6,15.4599952697754
2004,3,1,6.52248992919922
2004,3,2,12.453996515274
2004,3,3,14.9419955968857
2004,3,4,14.9934925079346
2004,3,5,9.58449578285217
2004,3,6,14.7833296457926
2004,4,1,15.8509952545166
2004,4,2,14.1714892864227
2004,4,3,17.02649269104
2004,4,4,18.6174976348877
2004,4,5,21.1774906158447
2004,4,6,20.0984958648682
2004,5,1,16.1339923858643
2004,5,2,19.7739933013916
2004,5,3,20.760998916626
2004,5,4,18.1114963531494
2004,5,5,21.9934940338135
2004,5,6,21.8195756276449
2004,6,1,21.4804996490479
2004,6,2,20.0219989776611
2004,6,3,22.4189960479736
2004,6,4,22.6049961090088
2004,6,5,23.9384937286377
2004,6,6,24.8384967803955
2004,7,1,24.3004917144775
2004,7,2,23.038489151001
2004,7,3,22.3504947662354
2004,7,4,22.9564960479736
2004,7,5,23.1529926300049
2004,7,6,23.9533290863037
2004,8,1,23.8864948272705
2004,8,2,24.1494983673096
2004,8,3,23.8999988555908
2004,8,4,22.8384922027588
2004,8,5,23.2864994049072
2004,8,6,23.3712457021077
2004,9,1,23.9799991607666
2004,9,2,19.5419940948486
2004,9,3,19.0469944000244
2004,9,4,22.4844959259033
2004,9,5,19.4804996490479
