year,month,hou,air2m
2000,1,1,13.9840015411377
2000,1,2,13.453494644165
2000,1,3,12.6484988689423
2000,1,4,6.51799937337637
2000,1,5,9.88700283169746
2000,1,6,3.87332815552751
2000,2,1,9.30950029343367
2000,2,2,8.34500291347504
2000,2,3,10.6624957084656
2000,2,4,10.8834994316101
2000,2,5,7.73899856209755
2000,2,6,6.98874635249376
2000,3,1,13.7835010290146
2000,3,2,11.411496257782
2000,3,3,13.3965000152588
2000,3,4,13.1599948883057
2000,3,5,14.744998550415
2000,3,6,15.9395834604899
2000,4,1,16.9354969024658
2000,4,2,16.4174976348877
2000,4,3,16.7909961700439
2000,4,4,18.1294971466064
2000,4,5,18.9934955596924
2000,4,6,18.3349994659424
2000,5,1,18.9274967193604
2000,5,2,20.0425006866455
2000,5,3,21.8915027618408
2000,5,4,20.3345020294189
2000,5,5,21.5309986114502
2000,5,6,23.1970844268799
2000,6,1,24.2129962921143
2000,6,2,23.5369968414307
2000,6,3,20.3489994049072
2000,6,4,23.3079975128174
2000,6,5,24.0520053863525
2000,6,6,25.6954959869385
2000,7,1,24.1764987945557
2000,7,2,24.099995803833
2000,7,3,25.1229984283447
2000,7,4,24.2354984283447
2000,7,5,25.3779972076416
2000,7,6,25.6820824940999
2000,8,1,24.0300022125244
2000,8,2,24.7550037384033
2000,8,3,24.8504947662354
2000,8,4,24.7759998321533
2000,8,5,24.2750034332275
2000,8,6,24.2670841217041
2000,9,1,24.5435001373291
2000,9,2,21.5279972076416
2000,9,3,19.9560001373291
2000,9,4,21.396496963501
2000,9,5,22.8104969024658
2000,9,6,22.7339939117432
2000,10,1,22.5695026397705
2000,10,2,21.5789966583252
2000,10,3,19.1415012359619
2000,10,4,20.0549961090088
2000,10,5,22.2860019683838
2000,10,6,16.8208293914795
2000,11,1,15.239500784874
2000,11,2,17.6079944610596
2000,11,3,15.9405048131943
2000,11,4,13.3915011882782
2000,11,5,14.6689975500107
2000,11,6,16.2209964752197
2000,12,1,13.3639987468719
2000,12,2,15.2099994659424
2000,12,3,10.8314974784851
2000,12,4,14.9364948034286
2000,12,5,10.2175005722791
2000,12,6,12.0429159601529
2001,1,1,12.0124973058701
2001,1,2,11.7834918022156
2001,1,3,7.74899612665176
2001,1,4,11.7424960613251
2001,1,5,13.4874973058701
2001,1,6,8.45208146919807
2001,2,1,11.0640033006668
2001,2,2,10.5159990787506
2001,2,3,9.42249930948019
2001,2,4,13.7444964885712
2001,2,5,13.816997051239
2001,2,6,12.5491656859716
2001,3,1,12.4369998455048
2001,3,2,11.2239947319031
2001,3,3,14.5114994049072
2001,3,4,16.2495029449463
2001,3,5,17.8655002593994
2001,3,6,14.1979134877523
2001,4,1,15.9694965362549
2001,4,2,17.3530002593994
2001,4,3,14.4289935827255
2001,4,4,19.2834949493408
2001,4,5,16.3360004425049
2001,4,6,20.3644947052002
2001,5,1,20.3509998321533
2001,5,2,19.9694919586182
2001,5,3,20.2654956817627
2001,5,4,22.2384983062744
2001,5,5,22.9599994659424
2001,5,6,21.6204140981038
2001,6,1,21.7384998321533
2001,6,2,23.5369953155518
2001,6,3,22.9544910430908
2001,6,4,24.3135013580322
2001,6,5,24.4380039215088
2001,6,6,25.0189990997314
2001,7,1,24.9479969024658
2001,7,2,25.5179996490479
2001,7,3,25.0689960479736
2001,7,4,24.6170032501221
2001,7,5,25.1334980010986
2001,7,6,25.2354195912679
2001,8,1,24.9834964752197
2001,8,2,25.5350009918213
2001,8,3,24.30149269104
2001,8,4,24.5909961700439
2001,8,5,25.576997756958
2001,8,6,24.1966648101807
2001,9,1,23.6080005645752
2001,9,2,22.3919986724854
2001,9,3,22.8599979400635
2001,9,4,23.3000019073486
2001,9,5,22.2354953765869
2001,9,6,22.5494953155518
2001,10,1,20.6364978790283
2001,10,2,20.1629978179932
2001,10,3,19.87200050354
2001,10,4,18.8245029449463
2001,10,5,20.7500003814697
2001,10,6,19.5829168955485
2001,11,1,18.3944965362549
2001,11,2,15.0720035552979
2001,11,3,12.8189975261688
2001,11,4,11.2290011167526
2001,11,5,13.5940006017685
2001,11,6,16.0429950714111
2001,12,1,16.5474994659424
2001,12,2,14.8294940710068
2001,12,3,9.96450217701495
2001,12,4,11.5209963798523
2001,12,5,4.31949623227119
2001,12,6,6.99374553957023
2002,1,1,8.08999345898628
2002,1,2,11.1110003709793
2002,1,3,17.7779972076416
2002,1,4,9.84849264621735
2002,1,5,7.30799420773983
2002,1,6,6.74458727240562
2002,2,1,8.04299789071083
2002,2,2,11.0109973430634
2002,2,3,10.9710025072098
2002,2,4,12.4819903850555
2002,2,5,13.8334964752197
2002,2,6,17.1066659291585
2002,3,1,14.6809985876083
2002,3,2,13.1169986248016
2002,3,3,16.7924961090088
2002,3,4,15.3544956207275
2002,3,5,15.1969974517822
2002,3,6,17.542501449585
2002,4,1,19.5059986114502
2002,4,2,17.3070026397705
2002,4,3,17.6785022735596
2002,4,4,18.8834995269775
2002,4,5,19.4030002593994
2002,4,6,20.0229999542236
2002,5,1,22.1125019073486
2002,5,2,21.5484973907471
2002,5,3,21.469998550415
2002,5,4,21.0809986114502
2002,5,5,20.7849964141846
2002,5,6,22.137913386027
2002,6,1,22.2819980621338
2002,6,2,23.3784992218018
2002,6,3,23.9539951324463
2002,6,4,23.9439945220947
2002,6,5,25.5309955596924
2002,6,6,24.7329959869385
2002,7,1,24.5734943389893
2002,7,2,24.2694995880127
2002,7,3,25.9239948272705
2002,7,4,24.7340030670166
2002,7,5,25.4969944000244
2002,7,6,24.9174950917562
2002,8,1,24.2969959259033
2002,8,2,24.3765018463135
2002,8,3,24.3079959869385
2002,8,4,24.5284976959229
2002,8,5,25.8069980621338
2002,8,6,24.3049958546956
2002,9,1,23.7644962310791
2002,9,2,23.381001663208
2002,9,3,23.676997756958
2002,9,4,22.5234958648682
2002,9,5,19.9410007476807
2002,9,6,20.5119998931885
2002,10,1,21.7214984893799
2002,10,2,17.7719928741455
2002,10,3,21.1594974517822
2002,10,4,20.1054996490479
2002,10,5,16.1739978790283
2002,10,6,17.5674978892008
2002,11,1,13.3590030431747
2002,11,2,16.6550006866455
2002,11,3,18.9829990386963
2002,11,4,14.2069980382919
2002,11,5,12.557001042366
2002,11,6,13.7219974279404
2002,12,1,17.6340000152588
2002,12,2,9.30549944639206
2002,12,3,10.7669955015182
2002,12,4,15.6420017242432
2002,12,5,10.6855013906956
2002,12,6,6.23166565100352
2003,1,1,6.21499948501587
2003,1,2,6.73349925726652
2003,1,3,7.88099685758352
2003,1,4,11.484996342659
2003,1,5,11.1949984788895
2003,1,6,8.22458441058795
2003,2,1,7.16799786090851
2003,2,2,13.8900012731552
2003,2,3,10.6609972536564
2003,2,4,11.8239993572235
2003,2,5,15.7409961700439
2003,2,6,16.5833276112874
2003,3,1,13.7459979057312
2003,3,2,8.41049971580505
2003,3,3,14.6189990997314
2003,3,4,12.4435015678406
2003,3,5,13.5305011749268
2003,3,6,17.3516635894775
2003,4,1,16.5624988555908
2003,4,2,16.1605014801025
2003,4,3,17.1640003204346
2003,4,4,20.4894947052002
2003,4,5,19.928999710083
2003,4,6,19.4414966583252
2003,5,1,20.5609958648682
2003,5,2,20.4309986114502
2003,5,3,21.6024951934814
2003,5,4,20.3879962921143
2003,5,5,21.0119968414307
2003,5,6,20.7358264923096
2003,6,1,21.5134983062744
2003,6,2,21.5379962921143
2003,6,3,22.4029987335205
2003,6,4,23.0140003204346
2003,6,5,24.072993850708
2003,6,6,24.4750019073486
2003,7,1,25.6634952545166
