year,month,hou,air2m
2000,1,1,5.886003123
2000,1,2,2.260496482
2000,1,3,0.311001584
2000,1,4,-1.155006416
2000,1,5,-2.901003984
2000,1,6,-6.883749281
2000,2,1,-2.269998197
2000,2,2,0.939497304
2000,2,3,5.263497894
2000,2,4,4.899494897
2000,2,5,4.187997347
2000,2,6,5.44874531
2000,3,1,9.540495586
2000,3,2,8.151988363
2000,3,3,8.759495759
2000,3,4,11.98449743
2000,3,5,11.23049653
2000,3,6,16.10332934
2000,4,1,14.57250252
2000,4,2,16.11749611
2000,4,3,14.68749728
2000,4,4,19.00449867
2000,4,5,19.67649879
2000,4,6,19.32550087
2000,5,1,23.29199715
2000,5,2,19.90649605
2000,5,3,22.28999977
2000,5,4,22.2989994
2000,5,5,25.76300087
2000,5,6,22.20333036
2000,6,1,23.69750404
2000,6,2,25.15700264
2000,6,3,24.16099739
2000,6,4,25.30400429
2000,6,5,24.508498
2000,6,6,26.27949867
2000,7,1,25.7739994
2000,7,2,25.51399879
2000,7,3,26.75300026
2000,7,4,26.81199837
2000,7,5,27.16649513
2000,7,6,26.18166924
2000,8,1,25.57099953
2000,8,2,26.71649666
2000,8,3,26.14349709
2000,8,4,25.045998
2000,8,5,24.75550117
2000,8,6,23.4954141
2000,9,1,24.48100166
2000,9,2,18.47450142
2000,9,3,19.62550087
2000,9,4,22.1575016
2000,9,5,22.04049873
2000,9,6,19.26200294
2000,10,1,19.41499977
2000,10,2,21.27649879
2000,10,3,11.92249641
2000,10,4,15.67699471
2000,10,5,16.34050024
2000,10,6,10.206246
2000,11,1,11.28549681
2000,11,2,8.908497822
2000,11,3,4.942996246
2000,11,4,4.838497889
2000,11,5,8.447006392
2000,11,6,7.782495284
2000,12,1,5.581002766
2000,12,2,7.808499347
2000,12,3,3.018998677
2000,12,4,4.918501286
2000,12,5,5.298001027
2000,12,6,4.460415073
2001,1,1,5.421498054
2001,1,2,-0.587500018
2001,1,3,-2.817001322
2001,1,4,2.748503102
2001,1,5,2.018998662
2001,1,6,-1.750006094
2001,2,1,1.558499099
2001,2,2,2.970498642
2001,2,3,3.84600213
2001,2,4,7.999501204
2001,2,5,6.159497199
2001,2,6,6.680830797
2001,3,1,9.322499275
2001,3,2,6.067001523
2001,3,3,12.15899992
2001,3,4,11.12749815
2001,3,5,15.1249958
2001,3,6,11.35500133
2001,4,1,15.84599953
2001,4,2,15.16950104
2001,4,3,14.33800087
2001,4,4,18.61700172
2001,4,5,14.46749763
2001,4,6,18.67950172
2001,5,1,21.24800301
2001,5,2,21.10799294
2001,5,3,23.93899727
2001,5,4,23.93249855
2001,5,5,25.84299965
2001,5,6,22.74708239
2001,6,1,22.7950016
2001,6,2,25.44350166
2001,6,3,23.76749611
2001,6,4,25.04649849
2001,6,5,24.16549721
2001,6,6,26.44700508
2001,7,1,27.53650093
2001,7,2,27.70949898
2001,7,3,26.07449989
2001,7,4,26.47199745
2001,7,5,27.4409977
