year,month,hou,air2m
2000,1,1,11.2334994792938
2000,1,2,9.09999716281891
2000,1,3,8.20750138759613
2000,1,4,3.8165008187294
2000,1,5,4.9999939545989
2000,1,6,0.249584396680196
2000,2,1,3.2349975168705
2000,2,2,3.89149165153503
2000,2,3,5.46150208562613
2000,2,4,6.06699832677841
2000,2,5,4.53749991059303
2000,2,6,4.74749899655581
2000,3,1,8.99050014019013
2000,3,2,7.28550117015839
2000,3,3,9.18800072669983
2000,3,4,9.5534930229187
2000,3,5,10.4454974889755
2000,3,6,13.001666367054
2000,4,1,12.1000003814697
2000,4,2,12.7435031414032
2000,4,3,13.5355014801025
2000,4,4,15.7125019073486
2000,4,5,16.3154972076416
2000,4,6,15.8474994659424
2000,5,1,17.923498916626
2000,5,2,18.2050006866455
2000,5,3,19.6109897613525
2000,5,4,19.1349948883057
2000,5,5,22.1929996490479
2000,5,6,21.4566669464111
2000,6,1,22.3229953765869
2000,6,2,21.999995803833
2000,6,3,20.9965000152588
2000,6,4,22.5835025787354
2000,6,5,24.6350009918213
2000,6,6,25.9764942169189
2000,7,1,24.8814975738525
2000,7,2,25.0465030670166
2000,7,3,26.7464923858643
2000,7,4,26.4805042266846
2000,7,5,27.2785007476807
2000,7,6,26.5933322906494
2000,8,1,26.0644962310791
2000,8,2,26.7654987335205
2000,8,3,26.697993850708
2000,8,4,26.1144947052002
2000,8,5,25.7820011138916
2000,8,6,25.688330968221
2000,9,1,25.6924991607666
2000,9,2,22.007498550415
2000,9,3,21.6889987945557
2000,9,4,22.7780017852783
2000,9,5,22.8949970245361
2000,9,6,23.0139987945557
2000,10,1,21.6239994049072
2000,10,2,21.9210025787354
2000,10,3,18.1639942169189
2000,10,4,19.2344989776611
2000,10,5,20.9479969024658
2000,10,6,16.3395849863688
2000,11,1,14.9049991607666
2000,11,2,15.9625019073486
2000,11,3,14.2084948778152
2000,11,4,11.7595004081726
2000,11,5,13.0039965629578
2000,11,6,13.0664966344833
2000,12,1,10.9940051078796
2000,12,2,12.9779941320419
2000,12,3,8.13450489519164
2000,12,4,11.2570025920868
2000,12,5,8.7340028822422
2000,12,6,9.73541565736135
2001,1,1,9.92849912643433
2001,1,2,7.3254975900054
2001,1,3,3.99099888205528
2001,1,4,8.18000050671399
2001,1,5,9.14749779701233
2001,1,6,4.53958410179863
2001,2,1,7.41099410504103
2001,2,2,5.7134933874011
2001,2,3,5.86499182581902
2001,2,4,9.29500148296356
2001,2,5,8.82349718660116
2001,2,6,9.13833542664846
2001,3,1,9.6210009098053
2001,3,2,7.01799940317869
2001,3,3,10.0484956979752
2001,3,4,11.3319964885712
2001,3,5,12.791499710083
2001,3,6,10.2620791395505
2001,4,1,12.2565006256104
2001,4,2,14.2049961090088
2001,4,3,12.4349963903427
2001,4,4,15.8654941558838
2001,4,5,12.4490055084229
2001,4,6,16.8289981842041
2001,5,1,17.3979984283447
2001,5,2,16.9095050811768
2001,5,3,19.0329959869385
2001,5,4,20.7774951934814
2001,5,5,20.6614994049072
2001,5,6,19.7950000762939
2001,6,1,20.3685001373291
2001,6,2,21.5915012359619
2001,6,3,21.3560001373291
2001,6,4,23.6699954986572
2001,6,5,23.3584995269775
2001,6,6,25.7954990386963
2001,7,1,26.6155002593994
2001,7,2,26.5034976959229
2001,7,3,26.2299961090088
2001,7,4,25.9139957427979
2001,7,5,27.3899982452393
2001,7,6,27.4249960581462
2001,8,1,26.9144962310791
2001,8,2,26.4714954376221
2001,8,3,25.2459964752197
2001,8,4,26.0000019073486
2001,8,5,26.0149982452393
2001,8,6,24.7499955495199
2001,9,1,24.1434970855713
2001,9,2,23.4684970855713
2001,9,3,23.8784976959229
2001,9,4,23.9624973297119
2001,9,5,22.9409992218018
2001,9,6,22.7989963531494
2001,10,1,20.1800006866455
2001,10,2,20.2634952545166
2001,10,3,20.237495803833
2001,10,4,18.5520023345947
2001,10,5,19.9694934844971
2001,10,6,18.0966701507568
2001,11,1,16.1664966583252
2001,11,2,13.872993850708
2001,11,3,11.7334948539734
2001,11,4,10.7410005569458
2001,11,5,12.6424945831299
2001,11,6,13.4309940099716
2001,12,1,13.3390018224716
2001,12,2,11.0419986009598
2001,12,3,6.68600169867277
2001,12,4,8.07149827480316
2001,12,5,2.05049891918898
2001,12,6,5.43958315749963
2002,1,1,6.61899725794792
2002,1,2,7.48099843710661
2002,1,3,14.3524997711182
2002,1,4,5.01849817037582
2002,1,5,4.22999876318499
2002,1,6,3.73249326770504
2002,2,1,6.15699924230576
2002,2,2,7.42449960708618
2002,2,3,7.15999302864075
2002,2,4,8.36599447727203
2002,2,5,8.74399585723877
2002,2,6,10.5183327595393
2002,3,1,8.68249835968018
2002,3,2,11.3999927043915
2002,3,3,13.1934970855713
2002,3,4,12.9030002593994
2002,3,5,10.7975009679794
2002,3,6,13.5320822397868
2002,4,1,16.8480014801025
2002,4,2,13.4644962310791
2002,4,3,17.2084980010986
2002,4,4,14.9149997711182
2002,4,5,15.651997756958
2002,4,6,17.6434986114502
2002,5,1,18.8889972686768
2002,5,2,17.3790012359619
2002,5,3,19.0839954376221
2002,5,4,17.7894962310791
2002,5,5,18.5155002593994
2002,5,6,20.5616614023844
2002,6,1,21.5270008087158
2002,6,2,23.2974948883057
2002,6,3,23.9160037994385
2002,6,4,24.2429981231689
2002,6,5,24.9239994049072
2002,6,6,23.8590030670166
2002,7,1,24.0679981231689
2002,7,2,23.960998916626
2002,7,3,26.3039981842041
2002,7,4,26.2094974517822
2002,7,5,26.7644992828369
2002,7,6,26.8670813242594
2002,8,1,26.5384998321533
2002,8,2,25.0144992828369
