year,month,hou,air2m
2000,1,1,7.89250195026398
2000,1,2,4.13149871528149
2000,1,3,2.47649989761412
2000,1,4,-1.31350096836686
2000,1,5,-0.806498748064041
2000,1,6,-5.74166588981946
2000,2,1,-1.25349429994822
2000,2,2,0.325497396662831
2000,2,3,3.08600000590086
2000,2,4,3.9894942805171
2000,2,5,3.25699453949928
2000,2,6,3.21062805317342
2000,3,1,8.25349752902985
2000,3,2,6.20900266170502
2000,3,3,7.6430025100708
2000,3,4,9.28899869918823
2000,3,5,9.60099818706512
2000,3,6,13.5437487959862
2000,4,1,11.8479984045029
2000,4,2,13.2545001268387
2000,4,3,13.7785022497177
2000,4,4,17.308996963501
2000,4,5,17.8675052642822
2000,4,6,17.8559955596924
2000,5,1,21.2555011749268
2000,5,2,18.1965015411377
2000,5,3,19.2459934234619
2000,5,4,20.2274967193604
2000,5,5,25.1064914703369
2000,5,6,21.0550022125244
2000,6,1,22.1715000152588
2000,6,2,23.0749973297119
2000,6,3,22.5444995880127
2000,6,4,23.6799991607666
2000,6,5,24.5599948883057
2000,6,6,25.9669971466064
2000,7,1,24.9000003814697
2000,7,2,25.2194995880127
2000,7,3,26.6004947662354
2000,7,4,26.3309986114502
2000,7,5,26.8759967803955
2000,7,6,26.1487522125244
2000,8,1,25.674995803833
2000,8,2,26.2969959259033
2000,8,3,26.0279941558838
2000,8,4,25.0904972076416
2000,8,5,24.7194980621338
2000,8,6,24.2808361053467
2000,9,1,24.6724903106689
2000,9,2,19.0364994049072
2000,9,3,19.9444980621338
2000,9,4,21.8460056304932
2000,9,5,21.8784961700439
2000,9,6,20.9109928131104
2000,10,1,19.3980030059814
2000,10,2,21.2584964752197
2000,10,3,14.095503616333
2000,10,4,16.8754947662354
2000,10,5,18.15549659729
2000,10,6,12.8049983978271
2000,11,1,11.735498380661
2000,11,2,11.900499278307
2000,11,3,7.80549335330725
2000,11,4,6.70549934981391
2000,11,5,9.43249835968018
2000,11,6,8.76749594211578
2000,12,1,6.64450538754463
2000,12,2,9.01049371212721
2000,12,3,3.10650021759793
2000,12,4,6.8574998232536
2000,12,5,4.98999624252319
2000,12,6,5.68791478375594
2001,1,1,6.15199582576752
2001,1,2,1.42399444431067
2001,1,3,-2.19499818235636
2001,1,4,3.77599945208058
2001,1,5,4.3754973590374
2001,1,6,-1.2637479302939
2001,2,1,3.87549739181995
2001,2,2,2.37700036615133
2001,2,3,3.04399255365133
2001,2,4,6.74700175523758
2001,2,5,5.68649759590626
2001,2,6,6.91082918643951
2001,3,1,7.45649271011353
2001,3,2,4.55650028735399
2001,3,3,9.56800096035004
2001,3,4,10.9094896316528
2001,3,5,12.831995010376
2001,3,6,8.83166801929474
2001,4,1,12.4535007238388
2001,4,2,14.2794986724854
2001,4,3,12.7519977331162
2001,4,4,17.1239948272705
2001,4,5,12.2659992218018
2001,4,6,17.1449954986572
2001,5,1,19.1564960479736
2001,5,2,18.8549976348877
2001,5,3,21.573498916626
2001,5,4,23.4179981231689
2001,5,5,22.2484973907471
2001,5,6,21.5079161326091
2001,6,1,21.6639972686768
2001,6,2,22.6974994659424
2001,6,3,21.6570011138916
2001,6,4,24.3049976348877
2001,6,5,22.9455005645752
2001,6,6,25.7769992828369
2001,7,1,27.007498550415
2001,7,2,26.454993057251
2001,7,3,25.5684970855713
2001,7,4,25.5750003814697
2001,7,5,27.3700016021729
2001,7,6,27.0349992116292
2001,8,1,25.8709934234619
2001,8,2,24.7674961090088
2001,8,3,23.9750003814697
2001,8,4,25.2540012359619
2001,8,5,24.9215000152588
2001,8,6,22.7250029246012
2001,9,1,23.0884983062744
2001,9,2,21.8534961700439
2001,9,3,22.6350025177002
2001,9,4,22.6600040435791
2001,9,5,21.2499988555908
2001,9,6,20.6849964141846
2001,10,1,17.712495803833
2001,10,2,18.1019947052002
2001,10,3,18.7584888458252
2001,10,4,15.994998550415
2001,10,5,18.6494968414307
2001,10,6,15.1362488865852
2001,11,1,12.9744983196259
2001,11,2,10.1174945116043
2001,11,3,7.70549486279488
2001,11,4,5.97599482536316
2001,11,5,9.7859988451004
2001,11,6,9.55249813199043
2001,12,1,8.6894960641861
2001,12,2,5.72999576330185
2001,12,3,1.0174941405654
2001,12,4,3.87649683952332
2001,12,5,-3.64399719983339
2001,12,6,0.809996499369542
2002,1,1,3.01049647061154
2002,1,2,4.41149911135435
2002,1,3,12.9904956817627
2002,1,4,1.02799833782017
2002,1,5,0.1470015976578
2002,1,6,0.651249165957173
2002,2,1,3.95799706578255
2002,2,2,5.21649632304907
2002,2,3,5.81949918270111
2002,2,4,7.21149919629097
2002,2,5,6.57899483442307
2002,2,6,8.20583260059357
2002,3,1,5.40099635124207
2002,3,2,10.4084978580475
2002,3,3,13.8389987945557
2002,3,4,13.0499988555908
2002,3,5,10.1529986143112
2002,3,6,13.5008296966553
2002,4,1,17.8120014190674
2002,4,2,12.8979999542236
2002,4,3,18.4124988555908
2002,4,4,13.858996963501
2002,4,5,14.7294986724854
2002,4,6,16.6924991607666
2002,5,1,17.9944965362549
2002,5,2,15.9039981842041
2002,5,3,18.5509983062744
2002,5,4,17.6159976959229
2002,5,5,18.8299991607666
2002,5,6,21.7091643015544
2002,6,1,23.9210010528564
2002,6,2,25.0194995880127
2002,6,3,24.7140003204346
2002,6,4,24.8325016021729
2002,6,5,23.8229999542236
2002,6,6,22.9090000152588
2002,7,1,24.4829990386963
2002,7,2,25.5740039825439
2002,7,3,29.0005007743835
2002,7,4,26.5524966239929
2002,7,5,25.9094974517822
2002,7,6,26.5024954477946
2002,8,1,26.5189990997314
2002,8,2,22.8239948272705
2002,8,3,23.3804996490479
2002,8,4,24.5659931182861
2002,8,5,26.8214984893799
2002,8,6,24.3187478383382
2002,9,1,25.75549659729
2002,9,2,24.4270008087158
2002,9,3,21.4289966583252
2002,9,4,20.5619953155518
2002,9,5,19.4215000152588
2002,9,6,19.8704975128174
2002,10,1,22.0654972076416
2002,10,2,15.831995010376
2002,10,3,20.4665012359619
2002,10,4,17.4039981842041
2002,10,5,11.9840000152588
2002,10,6,12.4770793318748
2002,11,1,8.66400165557861
2002,11,2,12.2009997606277
2002,11,3,12.5545031785965
2002,11,4,8.50450003147125
2002,11,5,7.66299755573273
2002,11,6,7.77400081008673
2002,12,1,11.4019946575165
2002,12,2,0.199499490857124
2002,12,3,5.27599799633026
2002,12,4,6.17299649715424
2002,12,5,1.48149413913488
2002,12,6,-2.92916717876991
2003,1,1,-4.52399896681309
2003,1,2,-2.63750304877758
2003,1,3,2.65399623988196
2003,1,4,3.72550195753574
2003,1,5,4.05099943131208
2003,1,6,0.0745864227258911
2003,2,1,-0.23250124277547
2003,2,2,5.92499552965164
2003,2,3,0.959997491538525
2003,2,4,5.85699915885925
2003,2,5,7.65099655240774
2003,2,6,6.52083484331767
2003,3,1,4.64249883659184
2003,3,2,4.11699821352959
2003,3,3,7.26949932575226
2003,3,4,6.11549835205078
2003,3,5,10.5674959897995
2003,3,6,14.5866679350535
2003,4,1,11.5129993438721
2003,4,2,12.7819934844971
2003,4,3,15.1865009307861
2003,4,4,15.8524997234344
2003,4,5,13.8905002593994
2003,4,6,17.8985019683838
2003,5,1,19.7774997711182
2003,5,2,16.4380023956299
2003,5,3,19.0554996490479
2003,5,4,19.7140003204346
2003,5,5,19.4454959869385
2003,5,6,21.3295828501383
2003,6,1,23.2514987945557
2003,6,2,22.7809925079346
2003,6,3,21.3404987335205
2003,6,4,23.5294986724854
2003,6,5,25.2044986724854
2003,6,6,24.8990009307861
2003,7,1,25.5085025787354
2003,7,2,24.7825000762939
2003,7,3,25.8914920806885
2003,7,4,25.5609973907471
2003,7,5,27.5975040435791
2003,7,6,28.0554141998291
2003,8,1,28.0289966583252
2003,8,2,26.6034976959229
2003,8,3,23.8184986114502
2003,8,4,25.0159976959229
2003,8,5,26.6419971466064
2003,8,6,24.2954146067301
2003,9,1,25.5829944610596
2003,9,2,23.3644947052002
2003,9,3,22.8174976348877
2003,9,4,22.5399936676025
2003,9,5,19.2364948272705
2003,9,6,21.2024936676025
2003,10,1,17.3794971466064
2003,10,2,20.0549961090088
2003,10,3,14.2419940948486
2003,10,4,14.0854953765869
2003,10,5,12.2294956207275
2003,10,6,15.9008312225342
2003,11,1,16.4045001983643
2003,11,2,10.8324922323227
2003,11,3,7.93549672961235
2003,11,4,11.920994925499
2003,11,5,8.05599687546492
2003,11,6,3.59199064671993
2003,12,1,7.09649822711945
2003,12,2,2.84799339771271
2003,12,3,-1.26499791108072
2003,12,4,-1.30800628960133
2003,12,5,2.64449613541365
2003,12,6,1.35416052738825
2004,1,1,4.91099241375923
2004,1,2,4.1184981495142
2004,1,3,0.923493901547044
2004,1,4,-1.10650181444362
2004,1,5,-5.80350036621094
2004,1,6,0.787913199514151
2004,2,1,-0.15100407525897
2004,2,2,1.49349666712806
2004,2,3,7.12149052619934
2004,2,4,11.5429919958115
2004,2,5,7.24149032831192
2004,2,6,7.96750051528215
2004,3,1,3.70649712458253
2004,3,2,7.6089952621609
2004,3,3,9.92999897003174
2004,3,4,7.42399750947952
2004,3,5,7.39899458885193
2004,3,6,12.1708291371663
2004,4,1,10.6739962100983
2004,4,2,12.7609957695007
2004,4,3,15.676997756958
2004,4,4,19.0669971466064
2004,4,5,16.1369968414307
2004,4,6,16.1265018463135
2004,5,1,16.1349964141846
2004,5,2,19.6554950714111
2004,5,3,19.2649951934814
2004,5,4,21.2854984283447
2004,5,5,21.4444904327393
2004,5,6,21.9816595713298
2004,6,1,20.4864917755127
2004,6,2,21.3249942779541
2004,6,3,24.4224964141846
2004,6,4,23.4789951324463
2004,6,5,25.1029956817627
2004,6,6,26.6574954986572
2004,7,1,26.6054981231689
2004,7,2,24.6189975738525
2004,7,3,24.6384937286377
2004,7,4,26.2239933013916
2004,7,5,27.6959934234619
2004,7,6,27.3079102834066
2004,8,1,26.4730014801025
2004,8,2,27.3760013580322
2004,8,3,25.8895008087158
2004,8,4,23.8814945220947
2004,8,5,23.9509967803955
2004,8,6,24.8062483469645
2004,9,1,24.4079990386963
2004,9,2,21.4584949493408
2004,9,3,21.9489978790283
2004,9,4,22.6514957427979
2004,9,5,18.306995010376
2004,9,6,20.7615039825439
2004,10,1,13.5394962310791
2004,10,2,17.3224979400635
2004,10,3,16.4019962310791
2004,10,4,16.5534961700439
2004,10,5,16.2029926300049
2004,10,6,14.7499980727832
2004,11,1,13.589497756958
2004,11,2,17.3999988555908
2004,11,3,10.6459933280945
2004,11,4,8.14799971580505
2004,11,5,10.9230028867722
2004,11,6,4.71349794864655
2004,12,1,9.39749775528908
2004,12,2,5.49799803495407
2004,12,3,8.52450122833252
2004,12,4,7.61300058960915
2004,12,5,0.902000446915622
2004,12,6,-2.89416987448931
2005,1,1,-2.56949920468032
2005,1,2,-1.58750003919006
2005,1,3,-2.96799778491259
2005,1,4,-1.05450137555599
2005,1,5,1.8504989016056
2005,1,6,0.331250714759032
2005,2,1,0.497996455430984
2005,2,2,0.881997643411159
2005,2,3,3.62399745881557
2005,2,4,-1.92000428669155
2005,2,5,3.78599547147751
2005,2,6,0.781668588984758
2005,3,1,1.64249567240477
2005,3,2,11.0174959659576
2005,3,3,2.63850255683064
2005,3,4,8.15999467372894
2005,3,5,7.04749924987555
2005,3,6,9.65999658902486
2005,4,1,14.1565005779266
2005,4,2,16.0569965362549
2005,4,3,12.72200050354
2005,4,4,18.2414966583252
2005,4,5,17.0599979400635
2005,4,6,23.2084903717041
2005,5,1,17.612495803833
2005,5,2,17.0134922027588
2005,5,3,19.4034976959229
2005,5,4,18.8995014190674
2005,5,5,20.3619968414307
2005,5,6,22.0716635386149
2005,6,1,23.4369983673096
2005,6,2,23.0544956207275
2005,6,3,24.011990737915
2005,6,4,25.6804935455322
2005,6,5,26.0954959869385
2005,6,6,26.1209995269775
2005,7,1,26.9139942169189
2005,7,2,26.3329975128174
2005,7,3,25.1954944610596
2005,7,4,25.6584980010986
2005,7,5,26.4254947662354
2005,7,6,26.6779130299886
2005,8,1,26.2009952545166
2005,8,2,25.6614902496338
2005,8,3,26.6744892120361
2005,8,4,24.0574924468994
2005,8,5,22.4604953765869
2005,8,6,24.0770740509033
2005,9,1,22.5489963531494
2005,9,2,21.8374942779541
2005,9,3,24.1119953155518
2005,9,4,25.3759967803955
2005,9,5,19.3454990386963
2005,9,6,23.1529880523682
2005,10,1,17.3474933624268
2005,10,2,16.8939929962158
2005,10,3,16.5174976348877
2005,10,4,16.5364917755127
2005,10,5,12.0194949865341
2005,10,6,12.7316608031591
2005,11,1,18.4484958648682
2005,11,2,15.244495010376
2005,11,3,12.325995182991
2005,11,4,7.99949963092804
2005,11,5,6.99749755859375
2005,11,6,7.87799544334412
2005,12,1,2.23499305844307
2005,12,2,0.449498017132282
2005,12,3,-4.66999964863062
2005,12,4,-2.72800140921026
2005,12,5,1.04399715363979
2005,12,6,5.42999542752902
2006,1,1,0.470498626306653
2006,1,2,-3.58300016522408
2006,1,3,6.03299870491028
2006,1,4,3.35549462139606
2006,1,5,-0.953004465326671
2006,1,6,4.38790924133112
2006,2,1,-0.48050389289856
2006,2,2,-2.55550537966192
2006,2,3,7.43099223226309
2006,2,4,2.30749508291483
2006,2,5,5.40799714773893
2006,2,6,0.721663405497869
2006,3,1,6.91649638414383
2006,3,2,11.9204974889755
2006,3,3,4.51149753220379
2006,3,4,10.084494304657
