year,month,hou,air2m
2000,1,1,8.79449787735939
2000,1,2,3.72449947446585
2000,1,3,1.77449795305729
2000,1,4,1.1269958384335
2000,1,5,-0.805996765196323
2000,1,6,-4.12041702990731
2000,2,1,-1.08450168035924
2000,2,2,3.60149986147881
2000,2,3,7.42649851441383
2000,2,4,5.33149875253439
2000,2,5,4.30949698537588
2000,2,6,6.45875507593155
2000,3,1,9.76250030994415
2000,3,2,9.10199761390686
2000,3,3,8.88849809169769
2000,3,4,12.344495010376
2000,3,5,11.2839953660965
2000,3,6,16.5795828501383
2000,4,1,14.9650043487549
2000,4,2,15.606995010376
2000,4,3,14.4254993200302
2000,4,4,18.4689990997314
2000,4,5,18.9844944000244
2000,4,6,18.2225009918213
2000,5,1,21.9709980010986
2000,5,2,20.924002456665
2000,5,3,23.439497756958
2000,5,4,21.7989948272705
2000,5,5,24.2554935455322
2000,5,6,22.462500890096
2000,6,1,24.2190006256104
2000,6,2,23.7015079498291
2000,6,3,22.6294986724854
2000,6,4,24.1390018463135
2000,6,5,24.6629962921143
2000,6,6,26.4904972076416
2000,7,1,26.0994968414307
2000,7,2,25.0649982452393
2000,7,3,26.7770008087158
2000,7,4,26.4164981842041
2000,7,5,26.7935047149658
2000,7,6,26.4608351389567
2000,8,1,25.8259967803955
2000,8,2,26.494495010376
2000,8,3,26.3100025177002
2000,8,4,25.1539981842041
2000,8,5,24.8300037384033
2000,8,6,23.5862458546956
2000,9,1,24.8579975128174
2000,9,2,18.6149982452393
2000,9,3,19.6469989776611
2000,9,4,22.2299991607666
2000,9,5,23.0259952545166
2000,9,6,20.5610004425049
2000,10,1,20.2649951934814
2000,10,2,21.972993850708
2000,10,3,12.2539966106415
2000,10,4,15.6884998321533
2000,10,5,17.346498465538
2000,10,6,10.9625008503596
2000,11,1,11.4004962205887
2000,11,2,10.2109926700592
2000,11,3,5.69349826574326
2000,11,4,5.8599990606308
2000,11,5,9.41999683380127
2000,11,6,8.47799243927002
2000,12,1,6.33549499511719
2000,12,2,9.20950343608856
2000,12,3,2.84299617297947
2000,12,4,5.21649174690247
2000,12,5,6.84849553108215
2000,12,6,6.04208141565323
2001,1,1,7.25799872875214
2001,1,2,1.51100002266467
2001,1,3,1.45999904498458
2001,1,4,6.29050146341324
2001,1,5,2.45350034125149
2001,1,6,2.34041111444433
2001,2,1,4.28200067132711
2001,2,2,3.90549774616957
2001,2,3,4.77249755114317
2001,2,4,10.8490023612976
2001,2,5,8.15199906229973
2001,2,6,5.73833100001017
2001,3,1,10.37049741745
2001,3,2,7.88000047802925
2001,3,3,13.4175021648407
2001,3,4,10.0209963321686
2001,3,5,14.8904972076416
2001,3,6,13.1916751265526
2001,4,1,16.4654972076416
2001,4,2,15.3854998826981
2001,4,3,14.3994983434677
2001,4,4,18.4000003576279
2001,4,5,13.8090015411377
2001,4,6,18.98450050354
2001,5,1,20.3685047149658
2001,5,2,19.7944995880127
2001,5,3,22.5354999542236
2001,5,4,22.5999942779541
2001,5,5,24.8559940338135
2001,5,6,20.6945870717367
2001,6,1,21.4665012359619
2001,6,2,24.9485004425049
2001,6,3,23.3079959869385
2001,6,4,24.6655002593994
2001,6,5,23.4929996490479
2001,6,6,25.9854969024658
2001,7,1,26.9104984283447
2001,7,2,26.8929996490479
2001,7,3,25.6879962921143
2001,7,4,25.5509998321533
2001,7,5,26.985998916626
2001,7,6,26.3495845794678
2001,8,1,25.6374942779541
2001,8,2,25.3405033111572
2001,8,3,23.1975025177002
2001,8,4,25.1734943389893
2001,8,5,24.8425006866455
2001,8,6,22.5720780690511
2001,9,1,22.8044986724854
2001,9,2,22.3159961700439
2001,9,3,22.5999927520752
2001,9,4,23.3754978179932
2001,9,5,20.978999710083
2001,9,6,20.2390003204346
2001,10,1,18.9119983673096
2001,10,2,17.5525043487549
2001,10,3,18.7539966583252
2001,10,4,16.7164981842041
2001,10,5,19.8974948883057
2001,10,6,15.3237463633219
2001,11,1,12.6019977331161
2001,11,2,9.99949827194214
2001,11,3,9.00499746799469
2001,11,4,9.46850159168243
2001,11,5,10.3940021038055
2001,11,6,10.8270037412643
2001,12,1,6.31199657805264
2001,12,2,3.95699608325958
2001,12,3,1.69499811977148
2001,12,4,2.42550044208765
2001,12,5,-0.695001293718815
2001,12,6,3.55958076193929
2002,1,1,6.1794998049736
2002,1,2,8.48949751853943
2002,1,3,14.0115009307861
2002,1,4,1.54900204129517
2002,1,5,3.47149651050568
2002,1,6,3.28416333595912
2002,2,1,5.66349482536316
2002,2,2,7.78149273395538
2002,2,3,9.43749868869781
2002,2,4,9.99949975013733
2002,2,5,9.69349849224091
2002,2,6,8.41332670052846
2002,3,1,6.2689987808466
2002,3,2,13.5059970855713
2002,3,3,15.2034992218018
2002,3,4,14.4284976959229
2002,3,5,10.6679980516434
2002,3,6,15.5220788319906
2002,4,1,20.2584964752197
2002,4,2,12.5504977703094
2002,4,3,19.2430011749268
2002,4,4,14.0749942779541
2002,4,5,15.955499625206
2002,4,6,16.7390003204346
2002,5,1,19.9659992218018
2002,5,2,16.4849948883057
2002,5,3,20.2890018463135
2002,5,4,18.6920017242432
2002,5,5,18.9860019683838
2002,5,6,22.7424971262614
2002,6,1,24.5970035552979
2002,6,2,25.5529987335205
2002,6,3,25.0939990997314
2002,6,4,25.0959980010986
2002,6,5,25.5044940948486
2002,6,6,24.3739994049072
2002,7,1,24.6284976959229
2002,7,2,24.628494644165
2002,7,3,27.9994968414307
2002,7,4,27.4204975128174
2002,7,5,24.7674991607666
2002,7,6,25.3254159291585
2002,8,1,27.0180011749268
2002,8,2,22.283996963501
2002,8,3,22.5479984283447
2002,8,4,23.2959964752197
2002,8,5,26.4810001373291
2002,8,6,24.0879128774007
2002,9,1,24.4399997711182
2002,9,2,22.5049976348877
2002,9,3,20.1034976959229
2002,9,4,20.5515003204346
2002,9,5,18.88450050354
2002,9,6,20.2634998321533
2002,10,1,21.6080005645752
2002,10,2,15.7724948883057
2002,10,3,20.2694995880127
2002,10,4,16.6150012969971
2002,10,5,11.4640002965927
2002,10,6,13.4174976348877
2002,11,1,10.264000248909
2002,11,2,14.4389957427979
2002,11,3,12.8819948911667
2002,11,4,8.33399977684021
2002,11,5,7.6190018415451
2002,11,6,9.59849727153778
2002,12,1,10.829497051239
2002,12,2,1.32299802035093
2002,12,3,6.35949864387512
2002,12,4,5.99199372529984
2002,12,5,1.70399624705315
2002,12,6,-2.04749911030134
2003,1,1,-0.914999421481048
2003,1,2,0.0825011643767311
2003,1,3,4.90549154877663
2003,1,4,7.58800063729286
2003,1,5,5.32499846098945
2003,1,6,3.06041613345345
2003,2,1,3.27799676507711
2003,2,2,8.0599992454052
