year,month,hou,air2m
2000,1,1,10.7014986753464
2000,1,2,10.8550005674362
2000,1,3,10.7725024223328
2000,1,4,6.54449315071106
2000,1,5,9.07349722385407
2000,1,6,2.49666745215654
2000,2,1,9.80049612522125
2000,2,2,8.88149430751801
2000,2,3,14.0544986724854
2000,2,4,13.8184955596924
2000,2,5,12.9315005600452
2000,2,6,3.95687247812748
2000,3,1,10.9774950504303
2000,3,2,14.5660007476807
2000,3,3,14.8704975128174
2000,3,4,16.150500869751
2000,3,5,16.2660022735596
2000,3,6,16.2299989064534
2000,4,1,16.9879993438721
2000,4,2,16.0440006256104
2000,4,3,14.6959980010986
2000,4,4,18.2759998321533
2000,4,5,19.091499710083
2000,4,6,18.0454990386963
2000,5,1,17.5590000152588
2000,5,2,18.1694995880127
2000,5,3,18.0700000762939
2000,5,4,14.0894992828369
2000,5,5,18.5724994659424
2000,5,6,19.4570802052816
2000,6,1,19.3070026397705
2000,6,2,20.0414966583252
2000,6,3,17.2524967193604
2000,6,4,18.6044986724854
2000,6,5,19.6544956207275
2000,6,6,19.2474948883057
2000,7,1,19.3930011749268
2000,7,2,19.3664981842041
2000,7,3,19.3399982452393
2000,7,4,19.4564975738525
2000,7,5,19.3605030059814
2000,7,6,19.5858338673909
2000,8,1,19.7695011138916
2000,8,2,19.249002456665
2000,8,3,19.7884998321533
2000,8,4,19.4600040435791
2000,8,5,18.9625019073486
2000,8,6,18.4562486012777
2000,9,1,18.6574954986572
2000,9,2,17.2949970245361
2000,9,3,15.1895053863525
2000,9,4,16.2190006256104
2000,9,5,17.2950016021729
2000,9,6,17.9235019683838
2000,10,1,17.3729999542236
2000,10,2,17.0625019073486
2000,10,3,13.2360004425049
2000,10,4,14.0170001983643
2000,10,5,17.0460010528564
2000,10,6,12.3908340930939
2000,11,1,9.90449402332306
2000,11,2,12.8009967803955
2000,11,3,10.5670031785965
2000,11,4,8.13399985916913
2000,11,5,10.1694979667664
2000,11,6,14.1494953155518
2000,12,1,9.30099812150002
2000,12,2,11.5704974889755
2000,12,3,7.6284959435463
2000,12,4,10.5849978744984
2000,12,5,7.5019960463047
2000,12,6,9.58333386977514
2001,1,1,11.8145008087158
2001,1,2,8.68200089931488
2001,1,3,7.50199902653694
2001,1,4,11.661995267868
2001,1,5,13.5329944372177
2001,1,6,8.10458416243394
2001,2,1,13.8239933013916
2001,2,2,8.09499524235725
2001,2,3,9.07900412529707
2001,2,4,14.5084964752197
2001,2,5,12.3064990282059
2001,2,6,11.8624973297119
2001,3,1,13.5789966106415
2001,3,2,11.8159946203232
2001,3,3,12.6975024461746
2001,3,4,16.8344989776611
2001,3,5,18.7879947662354
2001,3,6,14.6779130299886
2001,4,1,17.4059986114502
2001,4,2,19.6615009307861
2001,4,3,16.6449970245361
2001,4,4,21.0464984893799
2001,4,5,17.7914981842041
2001,4,6,18.4630023956299
2001,5,1,17.1695056915283
2001,5,2,16.1090000152588
2001,5,3,15.1254962921143
2001,5,4,17.8239978790283
2001,5,5,19.182498550415
2001,5,6,16.6149972279867
2001,6,1,18.3764972686768
2001,6,2,19.4494998931885
2001,6,3,18.6824939727783
2001,6,4,19.5744937896729
2001,6,5,18.8934970855713
2001,6,6,19.6999942779541
2001,7,1,18.9649997711182
2001,7,2,19.2664966583252
2001,7,3,19.7879947662354
2001,7,4,19.194998550415
2001,7,5,19.2524967193604
2001,7,6,20.0099976857503
2001,8,1,18.5679996490479
2001,8,2,19.5874927520752
2001,8,3,18.4950000762939
2001,8,4,19.2189960479736
2001,8,5,19.5919956207275
2001,8,6,18.5933297475179
2001,9,1,18.2460025787354
2001,9,2,18.2954975128174
2001,9,3,18.3020008087158
2001,9,4,18.0524982452393
2001,9,5,17.5634967803955
2001,9,6,16.2364948272705
2001,10,1,16.16399269104
2001,10,2,16.1195041656494
2001,10,3,18.1404956817627
2001,10,4,15.8779987335205
2001,10,5,15.7509998321533
2001,10,6,14.02041943868
2001,11,1,14.8039981603622
2001,11,2,11.3965014457703
2001,11,3,7.66049814224243
2001,11,4,6.77700192928314
2001,11,5,8.33649618625641
2001,11,6,9.9524920463562
2001,12,1,12.2894931793213
2001,12,2,10.6154971182346
2001,12,3,6.57549752779305
2001,12,4,10.9164996445179
2001,12,5,4.33049766756594
2001,12,6,6.47083190083504
2002,1,1,8.00349440574646
2002,1,2,8.25849781036377
2002,1,3,9.77850062847137
2002,1,4,12.0384982585907
2002,1,5,8.1864991903305
2002,1,6,7.85333283742269
2002,2,1,8.00299697518349
2002,2,2,13.183491897583
2002,2,3,14.6369968414307
2002,2,4,12.2104969024658
2002,2,5,13.1639987707138
2002,2,6,17.4966627756755
2002,3,1,14.574495267868
2002,3,2,9.44149951934815
2002,3,3,17.003999710083
2002,3,4,14.4235019683838
2002,3,5,17.8589954376221
2002,3,6,17.6804129282633
2002,4,1,18.2384998321533
2002,4,2,19.4409976959229
2002,4,3,15.7125003814697
2002,4,4,19.3674976348877
2002,4,5,19.7799991607666
2002,4,6,19.4714984893799
2002,5,1,19.7200000762939
2002,5,2,16.5854953765869
2002,5,3,17.7035022735596
2002,5,4,18.2989978790283
2002,5,5,16.9890033721924
2002,5,6,18.1775023142497
2002,6,1,18.6709995269775
2002,6,2,19.5115009307861
2002,6,3,19.6614978790283
2002,6,4,19.9210025787354
2002,6,5,20.1450016021729
2002,6,6,19.5594974517822
2002,7,1,20.0344974517822
2002,7,2,19.3019992828369
2002,7,3,19.7110019683838
2002,7,4,20.11799659729
2002,7,5,19.5204959869385
2002,7,6,18.8987483978271
2002,8,1,19.0390018463135
2002,8,2,19.5705005645752
2002,8,3,18.7285007476807
2002,8,4,16.249995803833
2002,8,5,18.4709995269775
2002,8,6,17.3004169464111
2002,9,1,17.3644992828369
2002,9,2,16.5464984893799
2002,9,3,17.3709964752197
2002,9,4,16.1034992218018
2002,9,5,14.5340000152588
2002,9,6,15.5639972686768
2002,10,1,16.2284961700439
2002,10,2,12.2584979772568
2002,10,3,14.674995803833
2002,10,4,16.8655002593994
2002,10,5,13.8024997234344
2002,10,6,15.2037487030029
2002,11,1,9.46600062847137
2002,11,2,12.0024951934814
2002,11,3,15.0579959630966
2002,11,4,10.7194949388504
2002,11,5,8.9545000076294
2002,11,6,9.89749929904938
2002,12,1,13.4559970855713
2002,12,2,8.17599804997444
2002,12,3,8.38200087547302
2002,12,4,10.9779956102371
2002,12,5,8.31099410653114
2002,12,6,4.34416478748123
2003,1,1,5.7579987257719
2003,1,2,4.73649901002645
2003,1,3,8.58100295066833
2003,1,4,10.7804965496063
2003,1,5,10.6154986858368
2003,1,6,10.0958346128464
2003,2,1,9.90999932289123
2003,2,2,12.1394992589951
2003,2,3,11.8490024328232
2003,2,4,14.129504776001
2003,2,5,15.3794956207275
2003,2,6,14.9258340199788
2003,3,1,18.1179950714111
2003,3,2,10.5344972610474
2003,3,3,14.1004993438721
2003,3,4,15.9164966583252
2003,3,5,12.3024951934814
2003,3,6,16.5149987538656
2003,4,1,19.3189990997314
2003,4,2,20.5994998931885
2003,4,3,18.9059970855713
2003,4,4,19.6269947052002
2003,4,5,18.4749988555908
2003,4,6,17.1719974517822
2003,5,1,19.4024967193604
2003,5,2,19.2170017242432
2003,5,3,19.8219989776611
2003,5,4,19.6420017242432
2003,5,5,19.1324954986572
2003,5,6,19.3770821889242
2003,6,1,18.8834964752197
2003,6,2,19.2554920196533
2003,6,3,17.9874988555908
2003,6,4,19.0219989776611
2003,6,5,19.936502456665
2003,6,6,19.6909992218018
2003,7,1,19.4159961700439
2003,7,2,19.8364948272705
2003,7,3,19.4289966583252
2003,7,4,20.3620029449463
2003,7,5,19.6884967803955
2003,7,6,19.349999109904
2003,8,1,20.2524906158447
2003,8,2,20.6069934844971
2003,8,3,19.8619922637939
2003,8,4,18.7469959259033
2003,8,5,19.1369983673096
2003,8,6,19.294163386027
2003,9,1,17.7209934234619
2003,9,2,17.3154956817627
2003,9,3,18.2164966583252
2003,9,4,18.8624942779541
2003,9,5,16.489497756958
2003,9,6,18.2269947052002
2003,10,1,16.4689945220947
2003,10,2,17.744998550415
2003,10,3,15.0589984893799
2003,10,4,12.6064990580082
2003,10,5,13.8084949303418
2003,10,6,13.6933307647705
2003,11,1,13.592493057251
2003,11,2,13.1679950475693
2003,11,3,9.75499293804169
2003,11,4,13.1794925689697
2003,11,5,11.3109958171844
2003,11,6,8.11649491786957
2003,12,1,11.5384937286377
2003,12,2,8.41449449062347
2003,12,3,6.28699488639832
2003,12,4,5.6629944473505
2003,12,5,7.72149362564087
2003,12,6,9.48291319608688
2004,1,1,10.8374972820282
2004,1,2,10.9024951040745
2004,1,3,9.30099360942841
2004,1,4,8.9784960091114
2004,1,5,4.95298916548491
2004,1,6,9.33499448001385
2004,2,1,8.81099873781204
2004,2,2,4.29749912209809
2004,2,3,10.520495891571
2004,2,4,13.2199954748154
2004,2,5,13.204993057251
2004,2,6,16.4100036621094
2004,3,1,12.1464923143387
2004,3,2,14.9189945220947
2004,3,3,18.7829959869385
2004,3,4,18.2564945220947
2004,3,5,19.0769931793213
2004,3,6,20.1879113515218
2004,4,1,14.1594959259033
2004,4,2,13.3394901037216
2004,4,3,16.0849933624268
2004,4,4,14.7239933013916
2004,4,5,20.0299961090088
2004,4,6,19.2284992218018
2004,5,1,17.4349933624268
2004,5,2,18.5134922027588
2004,5,3,19.1579944610596
2004,5,4,14.6219913482666
2004,5,5,18.2444934844971
2004,5,6,18.6254113515218
2004,6,1,18.8369937896729
2004,6,2,17.3954929351807
2004,6,3,18.7735004425049
2004,6,4,19.4869968414307
2004,6,5,20.1519931793213
2004,6,6,19.9869922637939
2004,7,1,20.0494968414307
2004,7,2,19.3469944000244
2004,7,3,18.7244968414307
2004,7,4,19.4974948883057
2004,7,5,18.2179950714111
2004,7,6,19.1937427520752
2004,8,1,18.9680042266846
2004,8,2,18.8520008087158
2004,8,3,19.5924976348877
2004,8,4,18.9499988555908
2004,8,5,19.7174976348877
2004,8,6,19.2529125213623
2004,9,1,19.5689960479736
2004,9,2,16.1034976959229
2004,9,3,15.4845020294189
2004,9,4,17.0989978790283
2004,9,5,17.676997756958
2004,9,6,17.3764942169189
2004,10,1,12.3074985027313
2004,10,2,14.8820011138916
2004,10,3,15.2650012969971
2004,10,4,16.0225009918213
2004,10,5,13.4219944000244
2004,10,6,12.7112496495247
2004,11,1,12.228497672081
2004,11,2,12.5629978179932
2004,11,3,12.7044970750809
2004,11,4,8.17050034999847
2004,11,5,9.60699951648712
2004,11,6,9.06300075054169
2004,12,1,7.65949716567993
2004,12,2,4.46699825823307
2004,12,3,7.23300180435181
2004,12,4,9.61950104236603
2004,12,5,10.5289996623993
2004,12,6,5.38916688039899
2005,1,1,9.08249689340591
2005,1,2,8.53049941062927
2005,1,3,3.11299588680267
2005,1,4,10.8394976854324
2005,1,5,12.2370044231415
2005,1,6,15.1366672515869
2005,2,1,16.1220020294189
2005,2,2,13.931995010376
2005,2,3,13.5239963531494
2005,2,4,13.4364963054657
2005,2,5,15.8439975738525
2005,2,6,13.8433322906494
2005,3,1,6.31150064319372
2005,3,2,15.773498916626
2005,3,3,16.2434970617294
2005,3,4,15.8104999542236
2005,3,5,12.4849978685379
