year,month,hou,air2m
2000,1,1,8.39899924397469
2000,1,2,3.3790008097887
2000,1,3,0.136500516533852
2000,1,4,-0.461001624166965
2000,1,5,-0.698498585820198
2000,1,6,-2.47499317427476
2000,2,1,-1.69899906516075
2000,2,2,1.53949581086636
2000,2,3,5.8770004093647
2000,2,4,4.86000057458878
2000,2,5,2.116502353549
2000,2,6,3.7368693575263
2000,3,1,5.59350124001503
2000,3,2,5.05900114774704
2000,3,3,7.21649634838104
2000,3,4,11.4700000047684
2000,3,5,9.09099450111389
2000,3,6,17.3750006357829
2000,4,1,12.5020038604736
2000,4,2,12.8114978790283
2000,4,3,14.0399997711182
2000,4,4,17.8709980010986
2000,4,5,16.5834995269775
2000,4,6,15.407498550415
2000,5,1,20.8914920806885
2000,5,2,21.0840000152588
2000,5,3,23.3254962921143
2000,5,4,20.619998550415
2000,5,5,22.6219989776611
2000,5,6,19.6770788828532
2000,6,1,22.2809986114502
2000,6,2,21.1294986724854
2000,6,3,18.9749927520752
2000,6,4,21.5444980621338
2000,6,5,22.5919971466064
2000,6,6,23.4629978179932
2000,7,1,23.1515003204346
2000,7,2,22.5219974517822
2000,7,3,23.1700000762939
2000,7,4,23.8989994049072
2000,7,5,24.7994968414307
2000,7,6,23.2558396657308
2000,8,1,22.5994983673096
2000,8,2,23.6844959259033
2000,8,3,24.1934970855713
2000,8,4,22.9344959259033
2000,8,5,22.3489978790283
2000,8,6,21.188751856486
2000,9,1,22.1044971466064
2000,9,2,14.7479969024658
2000,9,3,17.2279987335205
2000,9,4,18.9399982452393
2000,9,5,19.9820026397705
2000,9,6,19.0440006256104
2000,10,1,17.744495010376
2000,10,2,19.7719989776611
2000,10,3,9.86399562358856
2000,10,4,12.8724994659424
2000,10,5,13.5419986248016
2000,10,6,9.88291728496552
2000,11,1,11.6419955730438
2000,11,2,9.73749567270279
2000,11,3,3.38199608093128
2000,11,4,3.96999659240246
2000,11,5,7.75050668716431
2000,11,6,5.54149928092957
2000,12,1,4.42300256490707
2000,12,2,5.40049594044685
2000,12,3,1.26699976474047
2000,12,4,4.19999695755541
2000,12,5,4.12450100630522
2000,12,6,5.65958178943644
2001,1,1,3.30149380266666
2001,1,2,1.41200562566519
2001,1,3,1.85149379810318
2001,1,4,3.35250397324562
2001,1,5,0.310501082241535
2001,1,6,0.569579005551835
2001,2,1,2.91999662518501
2001,2,2,2.92849880345166
2001,2,3,1.53100125417113
2001,2,4,9.70699486732483
2001,2,5,8.44099293351173
2001,2,6,4.39333234230677
2001,3,1,9.84199855327606
2001,3,2,7.6095002412796
2001,3,3,13.4329974412918
2001,3,4,8.74850325584412
2001,3,5,13.7974979162216
2001,3,6,13.5579140981038
2001,4,1,14.3549991607666
2001,4,2,12.9079958498478
2001,4,3,13.2989978313446
2001,4,4,17.8334995031357
2001,4,5,10.658500957489
2001,4,6,16.7564960479736
2001,5,1,18.2444965362549
2001,5,2,18.7194995880127
2001,5,3,22.5224964141846
2001,5,4,20.878999710083
2001,5,5,23.5310031890869
2001,5,6,19.3529135386149
2001,6,1,20.20549659729
2001,6,2,21.5399982452393
2001,6,3,23.4369983673096
2001,6,4,23.2824954986572
2001,6,5,23.8479969024658
2001,6,6,24.9864963531494
2001,7,1,24.0595035552979
2001,7,2,25.5559986114502
2001,7,3,24.7970035552979
2001,7,4,26.1389987945557
2001,7,5,24.7959995269775
2001,7,6,24.0420792897542
2001,8,1,23.8604953765869
2001,8,2,23.2979923248291
2001,8,3,21.7164951324463
2001,8,4,23.7134967803955
2001,8,5,23.0690021514893
