year,month,hou,air2m
2000,1,1,11.3424945116043
2000,1,2,5.49600227475166
2000,1,3,1.40600129365921
2000,1,4,-0.11100164949894
2000,1,5,1.48899845182896
2000,1,6,-2.11458312074344
2000,2,1,-1.39349674070254
2000,2,2,2.31899562813342
2000,2,3,7.54200143814087
2000,2,4,5.39499971270561
2000,2,5,2.28799587339163
2000,2,6,4.43562270700932
2000,3,1,7.52900249958038
2000,3,2,6.32599792480469
2000,3,3,7.90299696922302
2000,3,4,11.5060000181198
2000,3,5,10.1200014829636
2000,3,6,15.8945802052816
2000,4,1,12.2940021276474
2000,4,2,12.8955005645752
2000,4,3,13.5965015411377
2000,4,4,17.1869998931885
2000,4,5,16.3999988555908
2000,4,6,15.4474994659424
2000,5,1,18.9079944610596
2000,5,2,19.5120014190674
2000,5,3,22.6319919586182
2000,5,4,19.0230014801025
2000,5,5,21.5839954376221
2000,5,6,21.1416632334391
2000,6,1,22.5264957427979
2000,6,2,21.4774967193604
2000,6,3,18.5625003814697
2000,6,4,21.7924976348877
2000,6,5,22.5450031280518
2000,6,6,23.5814990997314
2000,7,1,23.8354984283447
2000,7,2,22.7595035552979
2000,7,3,23.6965000152588
2000,7,4,24.2334964752197
2000,7,5,23.7665012359619
2000,7,6,23.9316692352295
2000,8,1,23.240002822876
2000,8,2,23.6960025787354
2000,8,3,24.2769992828369
2000,8,4,23.298498916626
2000,8,5,22.4804981231689
2000,8,6,21.4062531789144
2000,9,1,22.5779956817627
2000,9,2,16.3630023956299
2000,9,3,17.6655002593994
2000,9,4,19.6945011138916
2000,9,5,20.8879993438721
2000,9,6,20.6124973297119
2000,10,1,18.946496963501
2000,10,2,20.433003616333
2000,10,3,11.8244967699051
2000,10,4,13.5514972686768
2000,10,5,16.8794971466064
2000,10,6,11.3620840112368
2000,11,1,10.1949984550476
2000,11,2,10.5414965391159
2000,11,3,4.9219985592179
2000,11,4,4.73100124597549
2000,11,5,8.84550337791443
2000,11,6,8.3199982881546
2000,12,1,5.34049680829048
2000,12,2,8.25499742031097
2000,12,3,1.85549769876525
2000,12,4,5.37049722224474
2000,12,5,4.97249597199261
2000,12,6,6.63833137353261
2001,1,1,5.66099701970816
2001,1,2,3.38900151140988
2001,1,3,2.22749935304746
2001,1,4,6.62149821519852
2001,1,5,2.59749913662672
2001,1,6,2.25416586454958
2001,2,1,4.08499451130629
2001,2,2,2.92099909037352
2001,2,3,3.2635009676218
2001,2,4,11.3164950609207
2001,2,5,9.09899156689644
2001,2,6,4.16750226418177
2001,3,1,10.1184985160828
2001,3,2,7.68200085163116
2001,3,3,13.6029986858368
2001,3,4,8.15499739646912
2001,3,5,13.8554980754852
2001,3,6,12.492081284523
2001,4,1,14.285998916626
2001,4,2,14.180995464325
2001,4,3,12.5219958305359
2001,4,4,17.3604984283447
2001,4,5,10.6805010795593
2001,4,6,17.8699954986572
2001,5,1,18.4625019073486
2001,5,2,17.6559970855713
2001,5,3,20.5809970855713
2001,5,4,19.6869968414307
2001,5,5,22.4019992828369
2001,5,6,18.0216630299886
2001,6,1,18.8539966583252
2001,6,2,22.3550006866455
2001,6,3,21.6414951324463
2001,6,4,22.6384983062744
2001,6,5,21.8959995269775
2001,6,6,23.662495803833
2001,7,1,23.6215000152588
2001,7,2,24.0494953155518
2001,7,3,23.8045032501221
2001,7,4,23.8410022735596
2001,7,5,24.1710010528564
2001,7,6,23.9058297475179
2001,8,1,23.141499710083
2001,8,2,23.640994644165
2001,8,3,21.2699939727783
2001,8,4,23.1385028839111
2001,8,5,22.6575016021729
2001,8,6,21.0549945831299
2001,9,1,21.153999710083
2001,9,2,21.5184955596924
2001,9,3,21.665994644165
2001,9,4,21.8134998321533
2001,9,5,19.2439990997314
2001,9,6,18.4055011749268
2001,10,1,17.9214954376221
2001,10,2,16.4460010528564
2001,10,3,18.1319980621338
2001,10,4,15.1164966583252
2001,10,5,18.0559986114502
2001,10,6,14.9174950917562
2001,11,1,11.7859988689423
2001,11,2,8.74249749183655
2001,11,3,9.44900226593018
2001,11,4,10.5940021038055
2001,11,5,10.2629978179932
2001,11,6,11.6095019817352
2001,12,1,7.86049672961235
2001,12,2,3.09549707472324
2001,12,3,0.671495032310486
2001,12,4,1.13150480121374
2001,12,5,1.88700253106654
2001,12,6,3.13291444132725
2002,1,1,6.47399749755859
2002,1,2,8.40199604034424
2002,1,3,12.6364978551865
2002,1,4,0.506503285840154
2002,1,5,1.77649530768394
2002,1,6,1.88958126461754
2002,2,1,3.51749871224165
2002,2,2,6.80249639153481
2002,2,3,9.1589937210083
2002,2,4,10.8289965629578
2002,2,5,10.6269976615906
2002,2,6,10.9341677029928
2002,3,1,7.97499708384275
2002,3,2,11.679994559288
2002,3,3,14.0829990148544
2002,3,4,12.5739978551865
2002,3,5,9.19949812889099
2002,3,6,14.3391628265381
2002,4,1,19.2125019073486
2002,4,2,11.5580003738403
2002,4,3,16.877000784874
2002,4,4,13.2404986858368
2002,4,5,15.5244967460632
2002,4,6,17.2399997472763
2002,5,1,18.9129993438721
2002,5,2,16.5920001983643
2002,5,3,18.9510028839111
2002,5,4,18.9134937286377
2002,5,5,16.9494983673096
2002,5,6,20.6062475840251
2002,6,1,22.4644992828369
2002,6,2,22.9865009307861
2002,6,3,22.8340076446533
2002,6,4,22.9860034942627
2002,6,5,23.5045001983643
2002,6,6,22.9445026397705
2002,7,1,22.8049991607666
2002,7,2,22.4475025177002
2002,7,3,25.6640018463135
2002,7,4,25.2259998321533
2002,7,5,22.7185001373291
2002,7,6,22.5783290863037
2002,8,1,23.981995010376
2002,8,2,20.4664981842041
2002,8,3,20.3439975738525
2002,8,4,20.5090000152588
2002,8,5,23.4159961700439
2002,8,6,21.3216635386149
2002,9,1,22.4554950714111
2002,9,2,19.8610004425049
2002,9,3,18.7194995880127
2002,9,4,19.4655017852783
2002,9,5,16.3215015411377
2002,9,6,18.1194980621338
2002,10,1,19.0674991607666
2002,10,2,15.8689975738525
2002,10,3,17.8569980621338
2002,10,4,15.7634997844696
2002,10,5,9.72899651527405
2002,10,6,11.118744512399
2002,11,1,9.93749878406525
2002,11,2,14.8924961090088
2002,11,3,13.2655001163483
2002,11,4,8.08050093650818
2002,11,5,6.23249819874763
2002,11,6,9.20600304603577
2002,12,1,12.4714954137802
2002,12,2,1.38000030070543
2002,12,3,6.44049688577652
2002,12,4,5.76149605810642
2002,12,5,0.658000127971172
2002,12,6,-1.95125050966938
2003,1,1,0.422494481876493
2003,1,2,-0.857997157145292
2003,1,3,4.73749850280583
2003,1,4,9.10199911594391
2003,1,5,6.54649969227612
2003,1,6,2.92916767206043
2003,2,1,2.15049739815295
2003,2,2,9.20549791455269
2003,2,3,1.89799653468654
2003,2,4,10.3095003664494
2003,2,5,13.7449954748154
2003,2,6,10.3516608874003
2003,3,1,7.39699873663485
2003,3,2,4.8429977580905
2003,3,3,10.0599977493286
2003,3,4,5.01099548637867
2003,3,5,12.2044924736023
2003,3,6,17.9741649627686
2003,4,1,11.040497136116
2003,4,2,15.5015003204346
2003,4,3,13.7380023002625
2003,4,4,17.7879978179932
2003,4,5,15.5254993200302
2003,4,6,18.3160007476807
2003,5,1,20.2430027008057
2003,5,2,17.039497756958
2003,5,3,19.9469989776611
2003,5,4,18.0639957427979
2003,5,5,19.3280017852783
2003,5,6,20.67458152771
2003,6,1,21.7565006256104
2003,6,2,21.1434986114502
2003,6,3,19.9064990997314
2003,6,4,22.7640003204346
2003,6,5,23.3599979400635
2003,6,6,22.7249973297119
2003,7,1,23.5930042266846
2003,7,2,23.0059986114502
2003,7,3,23.9334995269775
2003,7,4,24.6674991607666
2003,7,5,24.2780002593994
2003,7,6,25.1820824940999
2003,8,1,25.7939960479736
2003,8,2,25.2614963531494
2003,8,3,22.5924945831299
2003,8,4,22.1009937286377
2003,8,5,24.0999942779541
2003,8,6,23.2283280690511
2003,9,1,21.9669956207275
2003,9,2,20.7030017852783
2003,9,3,21.2654956817627
2003,9,4,21.4474994659424
2003,9,5,17.9344944000244
2003,9,6,21.4134967803955
2003,10,1,14.8979907989502
2003,10,2,17.1859897613525
2003,10,3,13.4699954986572
2003,10,4,13.1924976348877
2003,10,5,13.8469944000244
2003,10,6,15.1449947357178
2003,11,1,16.758996963501
2003,11,2,8.54049848504365
2003,11,3,8.50849779248238
2003,11,4,12.7469958782196
2003,11,5,8.69899921417236
2003,11,6,4.83049612641335
2003,12,1,7.69499831199646
2003,12,2,2.37499842382967
2003,12,3,3.26199334263802
2003,12,4,2.52499689310789
2003,12,5,3.6914932101965
2003,12,6,3.71041383718451
2004,1,1,4.90899352915585
2004,1,2,5.77949834913015
2004,1,3,3.20849608331919
2004,1,4,-0.785005209967494
2004,1,5,0.426499943435192
2004,1,6,3.17916263050089
2004,2,1,0.621995516493916
2004,2,2,3.89449770450592
2004,2,3,9.422993683815
2004,2,4,13.4974933624268
2004,2,5,7.91649644374847
2004,2,6,12.3431224226952
2004,3,1,4.64699547886848
2004,3,2,11.2889939785004
2004,3,3,11.8154940605164
2004,3,4,10.9714968442917
2004,3,5,7.03399353027344
2004,3,6,13.2845783233643
2004,4,1,15.5414966583252
2004,4,2,13.3374957084656
2004,4,3,15.9575000762939
2004,4,4,18.6469974517822
2004,4,5,19.6239917755127
2004,4,6,19.3959964752197
2004,5,1,14.4354922771454
2004,5,2,19.5319919586182
2004,5,3,19.0629962921143
2004,5,4,18.0809940338135
2004,5,5,22.3779926300049
2004,5,6,20.7066593170166
2004,6,1,19.8314960479736
2004,6,2,19.9489978790283
2004,6,3,21.3794956207275
2004,6,4,22.1929950714111
2004,6,5,23.75549659729
2004,6,6,25.2960010528564
2004,7,1,24.1239963531494
2004,7,2,23.2389957427979
2004,7,3,22.3869953155518
2004,7,4,22.6439975738525
2004,7,5,23.4444934844971
2004,7,6,24.3162441253662
2004,8,1,23.67200050354
2004,8,2,24.17200050354
2004,8,3,23.2549991607666
2004,8,4,22.1739917755127
2004,8,5,22.873498916626
2004,8,6,22.5224984486898
2004,9,1,23.7354969024658
2004,9,2,18.7059970855713
2004,9,3,19.0379932403564
2004,9,4,21.89299659729
2004,9,5,17.8834980010986
2004,9,6,20.3879993438721
2004,10,1,11.633499455452
2004,10,2,15.7874988555908
2004,10,3,16.0304981231689
2004,10,4,14.657498550415
2004,10,5,14.9784976959229
2004,10,6,14.2708314259847
2004,11,1,13.6034961700439
2004,11,2,14.7319980621338
2004,11,3,9.1655015707016
2004,11,4,8.23749561309814
2004,11,5,9.22800167798996
2004,11,6,6.45499733090401
2004,12,1,8.38399674892426
2004,12,2,4.95649865865707
2004,12,3,7.62199718952179
2004,12,4,9.64149196147919
2004,12,5,2.3470016553998
2004,12,6,-3.06458512476335
2005,1,1,-1.03750000149012
2005,1,2,1.29300077296793
2005,1,3,-0.875000024680048
2005,1,4,2.86450187563896
2005,1,5,5.72949833003804
2005,1,6,1.2883353754878
2005,2,1,6.61899884194136
2005,2,2,3.35149692632258
2005,2,3,4.35149542689323
2005,2,4,-1.19400179952384
2005,2,5,6.10899514555931
2005,2,6,2.77833198259274
2005,3,1,4.84299463331699
2005,3,2,12.7839969396591
2005,3,3,5.06950082778931
2005,3,4,11.5089953899384
2005,3,5,9.13700125217438
2005,3,6,11.2454166014989
2005,4,1,15.0049976348877
2005,4,2,15.6739947080612
2005,4,3,11.4279971122742
2005,4,4,16.7884998321533
2005,4,5,18.7924945831299
2005,4,6,20.9544971466064
2005,5,1,19.3014957427979
2005,5,2,18.4359943389893
2005,5,3,21.1959934234619
2005,5,4,19.5334980010986
2005,5,5,19.7434970855713
2005,5,6,21.3999932607015
2005,6,1,22.6394962310791
2005,6,2,22.4099948883057
2005,6,3,23.1914966583252
2005,6,4,23.3399967193604
2005,6,5,24.4419956207275
2005,6,6,24.2249912261963
2005,7,1,24.3869968414307
2005,7,2,24.2524997711182
2005,7,3,23.0669971466064
2005,7,4,23.8709934234619
2005,7,5,23.6279926300049
2005,7,6,24.9499975840251
2005,8,1,23.7474933624268
2005,8,2,23.4924945831299
2005,8,3,24.4434970855713
2005,8,4,21.9764957427979
2005,8,5,19.1209964752197
2005,8,6,22.3412469228109
2005,9,1,20.515491104126
2005,9,2,19.9469959259033
2005,9,3,22.5789936065674
2005,9,4,23.4389957427979
2005,9,5,18.9599918365479
2005,9,6,22.4169940948486
2005,10,1,17.337495803833
2005,10,2,15.7939960479736
2005,10,3,15.3419955968857
2005,10,4,15.906995010376
2005,10,5,11.4819919586182
2005,10,6,11.6279124418894
2005,11,1,18.2454975128174
2005,11,2,17.1934925079346
2005,11,3,11.5909945011139
2005,11,4,5.24749446511269
2005,11,5,6.9029892206192
2005,11,6,8.45699784755707
2005,12,1,3.4834945961833
2005,12,2,1.2534942060709
2005,12,3,0.879496725276113
2005,12,4,1.89449610263109
2005,12,5,2.45099634975195
2005,12,6,4.91208033760389
2006,1,1,4.01649631112814
2006,1,2,-2.06750185340643
2006,1,3,4.37099304050207
2006,1,4,3.64699712730944
2006,1,5,-1.01999514400959
2006,1,6,7.15082971627514
2006,2,1,4.36399391144514
2006,2,2,2.20449213273823
2006,2,3,10.4599947929382
2006,2,4,2.70599822998047
2006,2,5,5.64599759578705
2006,2,6,1.97915799170732
2006,3,1,7.04249593354762
2006,3,2,14.2229969024658
2006,3,3,3.62299805946648
2006,3,4,12.1189975738525
2006,3,5,9.64049401283264
2006,3,6,13.6408252716064
2006,4,1,17.5359958648682
2006,4,2,17.5299961090088
2006,4,3,8.87899179458618
2006,4,4,17.4859943389893
2006,4,5,18.1479953765869
2006,4,6,17.6224948883057
2006,5,1,21.6759937286377
2006,5,2,19.9114978790283
2006,5,3,15.4724948883057
2006,5,4,19.9395008087158
2006,5,5,20.6244922637939
2006,5,6,19.1445814768473
2006,6,1,21.5049915313721
2006,6,2,20.5539981842041
2006,6,3,21.6129947662354
2006,6,4,23.6739963531494
2006,6,5,23.4089923858643
2006,6,6,23.5794956207275
2006,7,1,24.4099903106689
2006,7,2,23.9489963531494
2006,7,3,25.2504962921143
2006,7,4,24.5089923858643
2006,7,5,24.1789936065674
2006,7,6,23.1416645050049
2006,8,1,22.8364978790283
2006,8,2,23.7259922027588
2006,8,3,25.1274936676025
2006,8,4,23.8349948883057
2006,8,5,22.0774951934814
2006,8,6,24.4129098256429
2006,9,1,23.5489994049072
2006,9,2,18.1059940338135
2006,9,3,16.7709995269775
2006,9,4,18.8554935455322
2006,9,5,20.9834903717041
2006,9,6,21.2869937896729
2006,10,1,17.3559955596924
2006,10,2,16.8274921417236
2006,10,3,19.4779956817627
2006,10,4,19.3909931182861
2006,10,5,16.5074954986572
2006,10,6,14.0729122161865
2006,11,1,13.3789966583252
2006,11,2,14.5504947662354
2006,11,3,13.2279987335205
2006,11,4,9.54449334144592
2006,11,5,8.30249807834625
2006,11,6,4.2624938249588
2006,12,1,4.89099264740944
2006,12,2,4.1509964376688
2006,12,3,3.44599910825491
2006,12,4,3.91699669361115
2006,12,5,4.89799643158913
2006,12,6,4.99499913553397
2007,1,1,0.252496298030019
2007,1,2,1.1069945845753
2007,1,3,2.21099393427371
2007,1,4,-0.158499191422015
2007,1,5,1.37399593889713
2007,1,6,5.17124197756251
2007,2,1,8.31399093270302
2007,2,2,10.2979937076569
2007,2,3,11.4894931554794
2007,2,4,7.39098976254463
2007,2,5,10.4169970750809
2007,2,6,14.0408242543538
2007,3,1,11.6379976987839
2007,3,2,4.83949737399817
2007,3,3,12.5004915952682
2007,3,4,5.16049653291702
2007,3,5,15.1649982452393
2007,3,6,18.6658280690511
2007,4,1,8.70799570083618
2007,4,2,11.9114963293076
2007,4,3,17.6489948272705
2007,4,4,16.5224994421005
2007,4,5,14.9014957427979
2007,4,6,13.8509922027588
2007,5,1,19.7264896392822
2007,5,2,22.2424976348877
2007,5,3,18.0489963531494
2007,5,4,20.4754932403564
2007,5,5,20.635493850708
2007,5,6,23.0612456003825
2007,6,1,21.999995803833
2007,6,2,21.1254917144775
2007,6,3,20.2009952545166
2007,6,4,23.0809925079346
2007,6,5,23.8404941558838
2007,6,6,23.5279941558838
2007,7,1,23.9079975128174
2007,7,2,24.3724979400635
2007,7,3,24.0075000762939
2007,7,4,23.8334995269775
2007,7,5,22.8644947052002
2007,7,6,23.0416609446208
2007,8,1,23.8224964141846
2007,8,2,25.3449970245361
2007,8,3,22.0639972686768
2007,8,4,23.050500869751
2007,8,5,23.3849979400635
2007,8,6,23.4258289337158
2007,9,1,19.8024951934814
2007,9,2,19.3189960479736
2007,9,3,19.7504917144775
2007,9,4,17.2804950714111
2007,9,5,18.6244968414307
2007,9,6,21.4024936676025
2007,10,1,21.2194934844971
2007,10,2,17.3634967803955
2007,10,3,13.5774967193604
2007,10,4,12.5344959259033
2007,10,5,15.4894947052002
2007,10,6,12.8087418476741
2007,11,1,8.63699514865875
2007,11,2,11.3909961700439
2007,11,3,13.9079975128174
2007,11,4,8.19149487018585
2007,11,5,8.16249251365662
2007,11,6,5.34099733121693
2007,12,1,5.47099456042051
2007,12,2,5.79199530482292
2007,12,3,5.93299253880978
2007,12,4,5.21099549382925
2007,12,5,5.02449484318495
2007,12,6,3.26541415105263
2008,1,1,1.23249814659357
2008,1,2,9.86299767494202
2008,1,3,-1.32699582576752
2008,1,4,-2.39149938225746
2008,1,5,-3.12149816267192
2008,1,6,-5.94624681274096
2008,2,1,-7.47849870920181
2008,2,2,-4.00449979424477
2008,2,3,-0.658499178290367
2008,2,4,3.94350119233131
2008,2,5,7.96199507713318
2008,2,6,3.88124230178073
2008,3,1,9.68149440288544
2008,3,2,9.15349907875061
2008,3,3,14.5260028839111
2008,3,4,13.8699939727783
2008,3,5,11.6674991369247
2008,3,6,12.0383330980937
2008,4,1,12.7149967193604
2008,4,2,19.6420001983643
2008,4,3,12.8044925689697
2008,4,4,18.1599964141846
2008,4,5,13.3624927520752
2008,4,6,18.2099994659424
2008,5,1,19.2434955596924
2008,5,2,18.5170001983643
2008,5,3,18.2504993438721
2008,5,4,20.0890003204346
2008,5,5,22.4119968414307
2008,5,6,20.4083283742269
2008,6,1,22.226997756958
2008,6,2,21.7675022125244
2008,6,3,20.9829990386963
2008,6,4,21.4169971466064
2008,6,5,23.115994644165
2008,6,6,23.0749988555908
2008,7,1,22.9020008087158
2008,7,2,22.8029956817627
2008,7,3,24.0000003814697
2008,7,4,24.1570011138916
2008,7,5,23.1969974517822
2008,7,6,24.1674989064534
2008,8,1,23.6509998321533
2008,8,2,23.3409992218018
2008,8,3,23.3564945220947
2008,8,4,23.5744968414307
2008,8,5,23.6339984893799
2008,8,6,21.5074977874756
2008,9,1,20.8834980010986
2008,9,2,22.4224903106689
2008,9,3,21.2139911651611
2008,9,4,23.3999942779541
2008,9,5,23.4364948272705
2008,9,6,17.2259983062744
2008,10,1,19.012495803833
2008,10,2,16.7809955596924
2008,10,3,15.4009937286377
2008,10,4,18.1569934844971
2008,10,5,14.3204898834229
2008,10,6,15.4295800526937
2008,11,1,15.3169956207275
2008,11,2,9.65549032688141
2008,11,3,10.7799960851669
2008,11,4,6.87249913811684
2008,11,5,5.48599391877651
2008,11,6,4.17099608033895
2008,12,1,6.52799393832684
2008,12,2,5.77799835205078
2008,12,3,6.48699501156807
2008,12,4,8.93099691867828
2008,12,5,-0.839500486850739
2008,12,6,3.48499196302146
2009,1,1,1.60499571114779
2009,1,2,-1.94650273770094
2009,1,3,1.29549708589911
2009,1,4,7.0029999256134
2009,1,5,0.767501769959927
2009,1,6,3.87416354597857
2009,2,1,9.26149318218231
2009,2,2,13.2144947052002
2009,2,3,16.1029910802841
2009,2,4,7.04299476146698
2009,2,5,12.2609973013401
2009,2,6,0.794160463536779
2009,3,1,2.88399808108807
2009,3,2,8.07749490737915
2009,3,3,8.04349990934134
2009,3,4,18.0644992828369
2009,3,5,14.0324969768524
2009,3,6,9.94791210194429
2009,4,1,9.66799337863922
2009,4,2,14.9769947052002
2009,4,3,17.3619937896729
2009,4,4,17.1799915313721
2009,4,5,16.7715000152588
2009,4,6,15.0999942779541
2009,5,1,17.7234943389893
2009,5,2,19.7899997711182
2009,5,3,21.6294956207275
2009,5,4,17.4444965362549
2009,5,5,20.5129932403564
2009,5,6,18.6679108937581
2009,6,1,20.2909931182861
2009,6,2,22.2089984893799
2009,6,3,21.9354999542236
2009,6,4,24.0114978790283
2009,6,5,24.1369968414307
2009,6,6,23.8520008087158
2009,7,1,22.5494922637939
2009,7,2,24.1589954376221
2009,7,3,25.3239963531494
2009,7,4,25.6519962310791
2009,7,5,24.782498550415
2009,7,6,23.3833306630452
2009,8,1,24.2214908599854
2009,8,2,23.085493850708
2009,8,3,24.0599979400635
2009,8,4,23.9464954376221
2009,8,5,23.9534931182861
2009,8,6,21.585412979126
2009,9,1,23.0214939117432
2009,9,2,23.9869968414307
2009,9,3,22.7424945831299
2009,9,4,21.9350009918213
2009,9,5,18.186502456665
2009,9,6,19.19299659729
2009,10,1,19.2019962310791
2009,10,2,16.6414981842041
2009,10,3,15.9554950714111
2009,10,4,14.4770023345947
2009,10,5,14.9965015411377
2009,10,6,17.8962510426839
2009,11,1,8.30250108242035
2009,11,2,15.9334980010986
2009,11,3,3.14550011642277
2009,11,4,-0.0835006877779961
2009,11,5,6.86350109428167
2009,11,6,7.20149849653244
2009,12,1,5.59899897575378
2009,12,2,6.61649788022041
2009,12,3,3.85200047818944
2009,12,4,0.592996198218316
2009,12,5,5.42900242060423
2009,12,6,1.64708221827944
2010,1,1,2.64349821805954
2010,1,2,0.0219985410571098
2010,1,3,1.44549864083529
2010,1,4,9.7570009469986
2010,1,5,1.61750181429088
2010,1,6,9.35583544274171
2010,2,1,4.63599706143141
2010,2,2,11.8274996802211
2010,2,3,-2.21749883107841
2010,2,4,1.56499476321042
2010,2,5,14.3290072917938
2010,2,6,15.9833316802979
2010,3,1,9.96649344563484
2010,3,2,0.89699705094099
2010,3,3,11.6385012149811
2010,3,4,15.4749942541122
2010,3,5,10.5879976093769
2010,3,6,13.008331934611
2010,4,1,11.7225024700165
2010,4,2,13.9734973430634
2010,4,3,7.87999736070633
2010,4,4,17.0974994659424
2010,4,5,12.8804950714111
2010,4,6,16.3284961700439
2010,5,1,20.6539951324463
2010,5,2,15.1934986114502
2010,5,3,17.5590000152588
2010,5,4,19.4819965362549
2010,5,5,19.0390033721924
2010,5,6,20.337495803833
2010,6,1,17.6925006866455
2010,6,2,19.3979984283447
2010,6,3,20.0854969024658
2010,6,4,23.5929935455322
2010,6,5,22.5319995880127
2010,6,6,23.2814945220947
2010,7,1,24.7254978179932
2010,7,2,24.5384952545166
2010,7,3,24.3584964752197
2010,7,4,23.6489994049072
2010,7,5,23.6410007476807
2010,7,6,24.2204202016195
2010,8,1,24.9434955596924
2010,8,2,24.5385028839111
2010,8,3,24.8984973907471
2010,8,4,23.4554996490479
2010,8,5,23.4195011138916
2010,8,6,20.3229134877523
2010,9,1,21.9909961700439
2010,9,2,22.379504776001
2010,9,3,22.1604969024658
2010,9,4,24.4604999542236
2010,9,5,17.40950050354
2010,9,6,17.6655002593994
2010,10,1,15.7660007476807
2010,10,2,17.5664951324463
2010,10,3,15.568501663208
2010,10,4,15.2214984893799
2010,10,5,13.9119983673096
2010,10,6,7.27249683936437
2010,11,1,9.49049861431122
2010,11,2,11.2300006866455
