year,month,hou,本候灯下白背飞虱虫量（头）,本侯灯下褐飞虱虫量（头）,本候灯下稻飞虱合计,1000hPa_air,925hPa_air,850hPa_air,1000hPa_omega,925hPa_omega,850hPa_omega,1000hPa_rhum,925hPa_rhum,850hPa_rhum,1000hPa_wind,925hPa_wind,850hPa_wind,1000hPa_azimuth,925hPa_azimuth,850hPa_azimuth,1000hPa_number,925hPa_number,850hPa_number
2000,1,1,,,,15.7412570953369,13.3987552642822,9.66875946521759,0.0010356187820434,0.0231603860855103,0.0308728933334351,80.1250152587891,70.2500150680542,65.7250148773193,2.79371094183657,3.67090899032353,4.1331501407608,70.0817402189618,190.171661311539,212.710915208304,3.0,7.0,8.0
2000,1,2,,,,14.9237522125244,11.4025027513504,9.44625270366669,-0.01280198097229,-0.014452075958252,-0.0216895341873169,92.4750152587891,89.4875152587891,84.5500152587891,4.51966065401322,5.72861344399933,5.12975972390007,50.7661502470238,90.3788383127315,182.851349925037,3.0,4.0,7.0
2000,1,3,,,,14.252504324913,10.4000078678131,8.80750753879547,-0.014751935005188,-0.0289020776748657,-0.0479394674301147,92.2500152587891,94.1125152587891,91.6875152587891,4.44544435375903,5.43057326298872,5.54124964665526,124.902368627452,153.014206672252,225.526960007782,5.0,6.0,9.0
2000,1,4,,,,8.0137589931488,3.18250731853768,1.05875852294266,0.0065480232238769,0.0336479902267456,0.0366355419158936,86.8375152587891,86.0625150680542,72.8375127792358,5.88408859975022,7.37886724861425,4.04840309359349,22.5661837062668,36.8664251641717,229.130726016708,2.0,2.0,9.0
2000,1,5,,,,11.5400012135506,7.88374958634377,6.59500594139099,-0.0061020612716674,-0.0168145656585693,-0.0324645042419434,92.1625152587891,90.8500152587891,83.2625148773193,6.26137804430443,7.88134693539145,5.71169365394542,56.6043825250805,92.6266692300307,145.468212136155,3.0,4.0,6.0
2000,1,6,,,,4.45417688166102,0.348964891396463,-0.914577266511818,-0.0074394941329956,0.0132478872934977,0.0141438245773315,77.6354314486186,73.9479309717814,60.3750111262004,7.05247876569453,8.42413899035432,4.14642852925184,24.2200828411319,43.8904838463907,116.96006983359,2.0,2.0,5.0
2000,2,1,,,,9.50125599503517,6.04375465959311,5.88376168012619,-0.0271395683288574,-0.0299395561218262,-0.0484269857406616,90.5500152587891,91.9500152587891,86.6750152587891,6.10243943469542,6.00673990157384,3.1543416698662,32.6720330718229,60.6047846337641,202.673819857539,2.0,3.0,8.0
2000,2,2,,,,9.91375293731689,5.68375092148781,3.43750603377821,0.0048355817794799,0.0337604999542236,0.039160418510437,81.8125152587891,77.9875148773193,65.5375127792358,4.57820824399498,5.25310571049751,4.7745069896941,45.6756784897229,83.2290931011522,174.659125982341,3.0,4.0,7.0
2000,2,3,,,,12.7537585735321,8.97375512123108,7.21250933259726,0.0020354747772216,0.0253979921340942,0.0310980319976807,90.0375152587891,89.6125152587891,80.9750143051147,4.3673514353751,4.54882343637666,3.7794473970747,46.0404948653604,81.5924712980451,220.863284384331,3.0,4.0,8.0
2000,2,4,,,,12.7062533378601,8.95250563621521,7.69749618768692,-0.0233270645141602,-0.0314644813537598,-0.0627270221710205,94.2625152587891,94.8125152587891,89.2875152587891,4.4579115204391,6.41423844605359,7.05934480038249,132.502104621917,153.226670362477,224.763525575582,5.0,6.0,8.0
2000,2,5,,,,10.1000093698502,5.94375005960464,4.74625403136015,-0.0125020742416382,-0.0273644924163818,-0.071027135848999,95.6125152587891,94.3125152587891,91.2250152587891,7.49325411727953,8.6308122030715,4.17747371246068,37.2265228277,60.8364666606175,127.966816689292,2.0,3.0,5.0
2000,2,6,,,,8.49688315391541,3.82813027501106,1.45937496691477,0.007872998714447,0.0230448842048645,0.006263643503189,91.1718902587891,87.0625152587891,72.7031378746033,6.47243202214151,8.51119021402608,5.24671702648239,36.3638574195857,56.3466723720769,92.8685454068493,2.0,3.0,4.0
2000,3,1,,,,15.1137561798096,11.5225055217743,9.6837557554245,0.0016603469848632,0.0086603879928588,0.0062105417251586,95.1125152587891,92.7250152587891,84.2125152587891,4.08994024945665,3.74274652829472,3.32107017411153,50.8627989824819,116.332685906788,221.270087372232,3.0,5.0,8.0
2000,3,2,,,,13.2487567901611,9.19000418186188,7.33876049518585,-0.0011770486831665,0.0007604598999023,-0.0199145793914795,94.4750152587891,93.7500152587891,87.8000152587891,6.02857180481635,6.99184504106246,4.19648219638223,46.4260464758842,76.6933478478407,112.028669154214,3.0,4.0,5.0
2000,3,3,,,,14.840002822876,10.9012591600418,9.35375084877014,-0.0184645414352417,-0.0146146297454834,-0.0255645990371704,96.3250152587891,95.0875152587891,89.8625152587891,4.10925987755474,5.01567667238041,5.64620787291851,98.4993443519878,184.849410080692,240.741435223142,4.0,7.0,9.0
2000,3,4,,,,15.02375831604,10.4850085258484,8.63000509738922,0.0114230871200562,0.0404853820800781,0.0416105031967163,91.0875152587891,90.6250152587891,77.1000133514404,3.78639745032414,5.28651596002036,4.94108964279259,87.493115292511,119.908664935486,152.814196617774,4.0,5.0,6.0
2000,3,5,,,,16.3525058746338,12.0825046300888,9.60750594139099,0.0025479793548584,0.006110405921936,0.0052980899810791,90.4250152587891,88.2125152587891,75.4125135421753,3.26118621573633,3.66510632079539,3.67406941705499,59.8880480952051,86.0420809255077,243.233185396947,3.0,4.0,9.0
2000,3,6,,,,18.5302232106527,15.1968784332275,12.2375010649363,0.0081125895182291,0.0355187257130941,0.0443209012349447,78.8750152587891,64.8958468437195,44.0104217529297,2.65875373846446,4.51694266948726,5.33476093057478,168.997882655109,182.66719633175,290.121344278378,7.0,7.0,11.0
2000,4,1,,,,18.9312610626221,14.6887516021729,11.8950046062469,-0.0176770448684692,-0.0369644641876221,-0.0515894889831543,96.1875152587891,95.8875152587891,91.3000152587891,4.08891107687046,4.45639505372035,4.19089218141617,41.6067902971196,63.1844144340505,206.363819132963,2.0,3.0,8.0
2000,4,2,,,,18.1875049591064,13.8537586212158,11.3112552642822,0.00463547706604,0.0230479955673218,0.0117855548858643,93.9500152587891,91.4000152587891,83.3125144958496,3.74911731006171,4.40294902897638,3.81919211328031,50.2303623909808,125.897268320761,176.253285731064,3.0,5.0,7.0
2000,4,3,,,,18.8412525177002,14.4362537145615,12.2500049114227,0.0054604291915893,0.0219978809356689,0.0184729814529419,92.4375152587891,91.4750152587891,81.6250148773193,2.85483903400025,4.36886510242177,6.5486456246069,154.524599170423,176.28755819416,273.283637773689,6.0,7.0,10.0
2000,4,4,,,,20.3312564849854,16.1825061798096,12.8787570476532,-0.0049269676208496,0.0169855117797852,0.0135604619979858,84.5500152587891,80.9250152587891,69.1500122070313,2.04253223290366,3.38191553179321,5.16863530060169,133.721961976612,181.366345712961,265.888604514828,5.0,7.0,10.0
2000,4,5,,,,21.3612598419189,17.3087497711182,14.5262531280518,-0.0096896409988403,-0.0089520454406738,-0.0283019542694092,93.7250152587891,89.5875152587891,84.4750143051147,3.31030528034479,5.03126614079418,5.85131258948029,105.244132510448,132.295700611676,184.037182631037,5.0,5.0,7.0
2000,4,6,,,,20.7650058746338,16.6037540435791,13.6000049591064,-0.0030144691467285,-0.0136145830154419,-0.0390144348144531,95.0375152587891,91.4500152587891,83.0625141143799,3.09996911190201,4.76097568006591,5.51822278102931,131.724404030657,230.38547036683,233.792427648239,5.0,9.0,9.0
2000,5,1,,,,21.7875003814697,18.2125064849854,14.7975040435791,0.0010354280471801,0.0041854858398437,0.003960371017456,88.2625152587891,72.5250141143799,56.500009727478,2.79854571415557,3.46682548938382,3.17576791932634,88.2519642552122,114.727028245838,143.548816949622,4.0,5.0,6.0
2000,5,2,,,,22.9125034332275,18.5462558746338,16.0625049591064,-0.012652063369751,-0.0062769889831543,0.0017730236053466,91.1000152587891,86.0125152587891,66.0375137329102,1.88574666109092,2.72314181044486,3.42822299775996,89.3275168171575,101.621264950753,152.181253405236,4.0,4.0,6.0
2000,5,3,,,,25.303755569458,22.9300052642822,18.4487522125244,-0.0062145471572876,0.0013604879379272,0.0113229751586914,86.7375152587891,58.2500133514404,42.0000047683716,2.06962213825368,2.98818391935638,2.27706945977833,158.707398844991,184.440867176683,171.918093554009,6.0,7.0,7.0
