year,month,hou,本候灯下白背飞虱虫量（头）,本侯灯下褐飞虱虫量（头）,本候灯下稻飞虱合计
2002,5,1,10,0,10.0
2002,5,2,0,4,4.0
2002,5,3,9,3,12.0
2002,5,4,3,7,10.0
2002,5,5,47,12,59.0
2002,5,6,81,21,102.0
2002,6,1,1,12,13.0
2002,6,2,33,41,74.0
2002,6,3,34270,887,35157.0
2002,6,4,12942,336,13278.0
2002,6,5,19,43,62.0
2002,6,6,34,793,827.0
2002,7,1,0,0,0.0
2002,7,2,8,58,66.0
2002,7,3,22,57,79.0
2002,7,4,2528,1012,3540.0
2002,7,5,51,181,232.0
2002,7,6,55,242,297.0
2002,8,1,10,34,44.0
2002,8,2,159,69,228.0
2002,8,3,45,23,68.0
2002,8,4,581,477,1058.0
2002,8,5,11,49,60.0
2002,8,6,0,7,7.0
2002,9,1,11,8,19.0
2002,9,2,17,10,27.0
2003,5,1,0,0,0.0
2003,5,2,1,1,2.0
2003,5,3,79,4,83.0
2003,5,4,207,2,209.0
2003,5,5,60,1,61.0
2003,5,6,166,1,167.0
2003,6,1,37,0,37.0
2003,6,2,484,6,490.0
2003,6,3,13581,17,13598.0
2003,6,4,22891,32,22923.0
2003,6,5,281,1,282.0
2003,6,6,87,0,87.0
2003,7,1,1,0,1.0
2003,7,2,39,2,41.0
2003,7,3,42,42,84.0
2003,7,4,34,141,175.0
2003,7,5,196,435,631.0
2003,7,6,79,49,128.0
2003,8,1,39,39,78.0
2003,8,2,13,17,30.0
2003,8,3,13,66,79.0
2003,8,4,140,425,565.0
2003,8,5,60,218,278.0
2003,8,6,13,19,32.0
2003,9,1,36,19,55.0
2003,9,2,11,8,19.0
2003,9,3,17,57,74.0
2003,9,4,219,281,500.0
2003,9,5,110,1920,2030.0
2003,9,6,118,812,930.0
2003,10,1,14,48,62.0
2003,10,2,4,18,22.0
2004,5,1,0,0,0.0
2004,5,2,3,0,3.0
2004,5,3,1,0,1.0
2004,5,4,45,0,45.0
2004,5,5,59,0,59.0
2004,5,6,0,0,0.0
2004,6,1,18,3,21.0
2004,6,2,64,2,66.0
2004,6,3,10,0,10.0
2004,6,4,108,2,110.0
2004,6,5,117,2,119.0
2004,6,6,102,0,102.0
2004,7,1,361,10,371.0
2004,7,2,140,1,141.0
2004,7,3,57,4,61.0
2004,7,4,37,3,40.0
2004,7,5,12,0,12.0
2004,7,6,31,1,32.0
2004,8,1,67,9,76.0
2004,8,2,12,21,33.0
2004,8,3,9,8,17.0
2004,8,4,15,1,16.0
2004,8,5,8,1,9.0
2004,8,6,7,3,10.0
2004,9,1,44,130,174.0
2004,9,2,787,5184,5971.0
2004,9,3,433,807,1240.0
2004,9,4,32,95,127.0
2004,9,5,210,290,500.0
2004,9,6,21,28,49.0
2004,10,1,457,1118,1575.0
2004,10,2,26,40,66.0
2004,10,3,5,34,39.0
2004,10,4,10,50,60.0
2005,5,1,0,0,0.0
2005,5,2,20,0,20.0
2005,5,3,173,1,174.0
2005,5,4,2024,8,2032.0
2005,5,5,71,0,71.0
2005,5,6,3,1,4.0
2005,6,1,336,0,336.0
2005,6,2,586,2,588.0
2005,6,3,6392,0,6392.0
2005,6,4,1024,5,1029.0
2005,6,5,17862,96,17958.0
2005,6,6,155203,578,155781.0
2005,7,1,38,11,49.0
2005,7,2,7,9,16.0
2005,7,3,4,3,7.0
2005,7,4,12,33,45.0
2005,7,5,3,8,11.0
2005,7,6,6360,136,6496.0
2005,8,1,103,21,124.0
2005,8,2,13,16,29.0
2005,8,3,30,8,38.0
2005,8,4,16,3,19.0
2005,8,5,137,98,235.0
2005,8,6,59,181,240.0
2005,9,1,90,61,151.0
2005,9,2,1536,2045,3581.0
2005,9,3,476,1890,2366.0
2005,9,4,716,515,1231.0
2005,9,5,22,155,177.0
2005,9,6,64,2369,2433.0
2005,10,1,982,39544,40526.0
2005,10,2,210,11012,11222.0
2005,10,3,180,14458,14638.0
2006,3,3,\,\,0.0
2006,3,4,0,0,0.0
2006,3,5,0,0,0.0
2006,3,6,0,0,0.0
2006,4,1,0,0,0.0
2006,4,2,290,0,290.0
2006,4,3,329,3,332.0
2006,4,4,155,67,222.0
2006,4,5,418,162,580.0
2006,4,6,356,266,622.0
2006,5,1,280,316,596.0
2006,5,2,736,672,1408.0
2006,5,3,283,196,479.0
2006,5,4,656,424,1080.0
2006,5,5,704,924,1628.0
2006,5,6,996,1736,2732.0
2006,6,1,2880,1160,4040.0
2006,6,2,8064,2752,10816.0
2006,6,3,12800,5312,18112.0
2006,6,4,4034,1898,5932.0
2006,6,5,1312,1680,2992.0
2006,6,6,1024,800,1824.0
2006,7,1,4800,11008,15808.0
2006,7,2,3584,20288,23872.0
2006,7,3,11251,167373,178624.0
2006,7,4,5880,64892,70772.0
2006,7,5,8704,32308,41012.0
2006,7,6,8164,1456,9620.0
2006,8,1,3504,6464,9968.0
2006,8,2,4016,8064,12080.0
2006,8,3,1748,6656,8404.0
2006,8,4,1920,8320,10240.0
2006,8,5,1008,4816,5824.0
2006,8,6,2532,4616,7148.0
2006,9,1,1088,6848,7936.0
2006,9,2,688,6752,7440.0
2006,9,3,274,3038,3312.0
2006,9,4,202,3400,3602.0
2006,9,5,640,7164,7804.0
2006,9,6,312,4176,4488.0
2006,10,1,72,1592,1664.0
2006,10,2,100,1726,1826.0
2007,3,1,/,/,0.0
2007,3,1,/,/,0.0
2007,3,1,/,/,0.0
2007,3,1,/,/,0.0
2007,3,1,/,/,0.0
2007,3,2,/,/,0.0
2007,3,2,/,/,0.0
2007,3,2,/,/,0.0
2007,3,2,/,/,0.0
2007,3,2,/,/,0.0
2007,3,3,/,/,0.0
2007,3,3,/,/,0.0
2007,3,3,/,/,0.0
2007,3,3,/,/,0.0
2007,3,3,/,/,0.0
2007,3,4,/,/,0.0
2007,3,4,/,/,0.0
2007,3,4,/,/,0.0
2007,3,4,/,/,0.0
2007,3,4,/,/,0.0
2007,3,5,/,/,0.0
2007,3,5,/,/,0.0
2007,3,5,/,/,0.0
2007,3,5,/,/,0.0
2007,3,5,/,/,0.0
2007,3,6,/,/,0.0
2007,3,6,/,/,0.0
2007,3,6,/,/,0.0
2007,3,6,/,/,0.0
2007,3,6,/,/,0.0
2007,3,6,/,/,0.0
2007,4,1,/,/,0.0
2007,4,1,/,/,0.0
2007,4,1,/,/,0.0
2007,4,1,/,/,0.0
