year,month,hou,1000hPa_wind,925hPa_wind,850hPa_wind,1000hPa_azimuth,925hPa_azimuth,850hPa_azimuth,1000hPa_number,925hPa_number,850hPa_number
2000,1,1,3.73655581922588,5.76458561879787,5.05218801224192,120.643725147715,144.036057054702,181.471945676763,5,6,7
2000,1,2,5.22362062674916,6.97668028526514,6.53439143919262,134.224756341773,162.280907760798,220.527162439263,5,6,8
2000,1,3,5.0941647723191,6.89886944318805,7.33654602330107,131.445652659791,166.875988740299,220.958518673365,5,7,8
2000,1,4,5.45534821603107,6.4079281551023,3.8534085635113,60.8294807038888,87.0848858726841,123.902646418297,3,4,5
2000,1,5,5.26397289963437,7.34654247606713,5.97683179608598,73.3925419857016,102.323988364565,144.503850419614,3,4,6
2000,1,6,7.34637537816182,8.61192019253064,5.45125055682566,34.1553206218111,55.4905103998102,92.7324910513204,2,3,4
2000,2,1,4.02760481926823,4.82519112010245,3.26647928724064,61.5599408198305,98.4967766686438,193.784712453554,3,4,7
2000,2,2,3.78794077703297,4.64152042333952,4.27684289944717,63.5373217282006,91.5692675991779,180.348382734197,3,4,7
2000,2,3,4.0459900368274,5.35289239171045,4.5889298136937,109.632445694081,136.737452479539,185.468614266129,5,6,7
2000,2,4,4.55083419388589,7.23043510986658,9.37564542158299,127.767310878884,164.988153959748,208.703846161918,5,6,8
2000,2,5,5.50786907757034,6.82575998718532,7.1276884586299,77.784628738098,117.284643387374,182.281164473748,4,5,7
2000,2,6,5.54934076388343,6.37745761168751,3.54004514245911,33.9625079058983,59.3930183669791,161.617375189969,2,3,6
2000,3,1,4.1187603842435,5.6520334135258,6.15543809965489,98.7892405385613,137.137411231283,205.962062674632,4,6,8
2000,3,2,5.95889760264753,8.341472447245,7.26540040090483,117.715300274724,140.272994221688,196.508995949496,5,6,8
2000,3,3,4.13209741767331,5.95395919704423,8.44739781036963,117.339443650395,164.175049475259,218.695899282602,5,6,8
2000,3,4,5.13157845794453,7.74733835042238,7.88655316324166,121.131502286758,148.648734019607,201.781969093533,5,6,8
2000,3,5,5.0534658136142,6.72627833690373,4.72526201126658,96.7423930190117,115.433461305194,144.614275946931,4,5,6
2000,3,6,3.24165894635115,5.21344163732217,6.68285590124989,118.932392252532,115.32202433828,164.274546220988,5,5,6
2000,4,1,3.43272692647144,4.19117869377917,4.71098524763051,88.9957031594424,122.950000461293,204.814174649046,4,5,8
2000,4,2,4.16198712861797,6.5144779805645,6.19931146612287,104.668426584084,137.520877417342,186.100575297226,4,6,7
2000,4,3,3.74774421812387,6.28946743547847,7.18281697964036,131.451212719547,175.936921952982,189.832400007524,5,7,7
2000,4,4,4.26514038052535,6.61146859760464,6.55078531902647,133.793793553994,155.670221910423,186.078702487975,5,6,7
2000,4,5,3.71366807450839,6.4793836938133,8.29508733840996,159.540098754263,190.089860440938,217.107089741316,6,7,8
2000,4,6,2.65715777748234,4.4574590451235,7.58007873582324,148.601370117006,206.306434230106,234.474048268772,6,8,9
2000,5,1,2.38230463578651,3.39777318299937,2.80412158292022,99.2213812109242,127.788721713031,175.226779128682,4,5,7
2000,5,2,3.19370814842945,4.89403704036839,4.48289966508579,117.004336253021,147.57230301855,178.556122477483,5,6,7
2000,5,3,2.59256422401782,4.39532397286544,4.27430427410079,57.6026694519959,91.5861605055857,99.2860322308502,3,4,4
2000,5,4,3.25882171316424,4.79059498843754,3.5265428291348,117.731785633743,73.1907560816098,105.033420905814,5,3,5
2000,5,5,3.0820109407448,5.39753005888131,6.06446421315389,120.533858111253,151.504414465959,189.083186620653,5,6,7
2000,5,6,3.45099238884317,6.44989306155506,6.87565178077662,154.827413493992,179.678620317463,200.358558549861,6,7,8
2000,6,1,3.65023096700928,7.16191363344834,8.9773815386448,162.181993590753,176.284445419033,187.835016207535,6,7,7
2000,6,2,4.48904267629305,8.08148259253392,9.6368173814728,190.371822555098,211.249240740984,223.870976555684,7,8,8
2000,6,3,2.68468887091236,3.70460649471574,3.5838858393798,73.112292938962,112.053666315153,226.715950139683,3,5,9
2000,6,4,2.80190677035982,4.66494529761623,5.06949811117515,91.6663614828095,112.320270001775,122.104210613553,4,5,5
2000,6,5,5.66628717346401,9.70082198371946,11.1120335581823,178.21752566928,196.308577395083,207.931000920559,7,8,8
2000,6,6,3.2001431750654,5.43337152841198,5.74943716888763,154.579898556002,169.098877079047,172.94301198431,6,7,7
2000,7,1,1.65511378204138,3.03975623577834,2.98290943578808,144.901791496317,148.715430369008,147.117678177956,6,6,6
2000,7,2,2.06916265847872,2.96343633353568,3.26990600488915,206.28988439323,234.410964070144,199.716513000121,8,9,8
2000,7,3,3.108426272827,5.87194476228565,7.40077165196236,97.4853355982317,113.739656823274,127.96273473051,4,5,5
2000,7,4,3.64818818134778,6.35861076204251,6.74448666589524,171.275162811455,194.860602085808,212.658696785012,7,7,8
2000,7,5,2.88400974668358,5.06529309360082,5.77271642694964,160.393690249353,182.893189868299,206.840292820714,6,7,8
2000,7,6,2.51268922129259,4.3307535988426,4.65515218428936,209.300666692199,224.716739529849,231.687009426733,8,8,9
2000,8,1,3.29199207217281,6.03035811834758,7.42588893079711,190.129336925976,211.422125915198,226.462432074161,7,8,9
2000,8,2,2.20553514022093,3.62938477098383,3.71028827436251,176.895632672017,205.006192888778,224.065575342219,7,8,8
2000,8,3,2.9765492112058,4.84925460608607,4.96028441757717,198.575568469608,219.340718262988,232.579553357727,8,8,9
2000,8,4,2.4890220263235,4.6046574513443,5.06840832088125,145.486286476586,159.120875433585,174.509733085143,6,6,7
2000,8,5,3.08792257939005,5.32598501271996,8.11556506038365,141.108877192388,183.690860674478,69.3543792396406,6,7,3
2000,8,6,3.25879536250429,4.4656059954118,3.94890727616469,312.59248509578,167.413721782071,61.7544697434544,11,7,3
2000,9,1,1.80782856200747,2.12208772879124,2.1481437458437,230.794136179064,221.453718384986,170.977319776725,9,8,7
2000,9,2,5.25777723196365,8.90472186279107,8.86900273418346,97.6014292450047,52.6786852708394,71.3998133670915,4,3,3
2000,9,3,4.68757766241805,8.05999912799961,9.05376123662191,222.47091104021,27.0655214849621,38.1921334253789,8,2,2
2000,9,4,2.24406974434253,3.60698563958521,3.54955886456172,85.3142036916715,91.0200150714431,82.7866320718549,4,4,4
2000,9,5,3.34498940033009,5.77574430672943,5.69344353978631,128.861607099473,153.188236448784,174.112079215532,5,6,7
2000,9,6,3.27040700843253,5.82081498775415,5.74406882135275,121.401799554483,140.940248440493,149.708382345281,5,6,6
2000,10,1,2.76668063954461,3.98395043855202,2.81761847507298,109.143042792682,128.029585123003,138.562346720765,5,5,6
2000,10,2,2.79375897045812,5.05639546967787,5.92626502416065,57.0873972298294,88.1310025527028,103.299345718408,3,4,4
2000,10,3,8.62776806933729,14.0140636091567,16.4783038979806,29.6572860204041,52.6443788953179,76.9441497366785,2,3,4
2000,10,4,5.70113889066345,8.79259500197553,8.72231694723965,34.932762263802,67.9217295637922,99.9147636663068,2,3,4
2000,10,5,2.05270736802763,3.45604604984295,3.88850838303018,91.9254951780768,132.056293786122,154.74339771915,4,5,6
2000,10,6,5.04499153775406,8.33419349336727,8.37012235587518,89.2052032050358,48.8942633180096,54.0546439773666,4,3,3
2000,11,1,3.90654317027335,5.50973538945613,5.58767236150781,16.5733438661489,43.4481396169841,60.7175451693306,2,2,3
2000,11,2,2.92062723615981,4.2362892524425,2.75838278249007,33.9427151206948,72.6653953384042,118.015096302584,2,3,5
2000,11,3,5.96842247501206,7.56407626012004,4.48290669072037,35.2117757414287,61.3005171727516,106.82639253544,2,3,5
2000,11,4,7.08388302968146,9.46489257543143,7.16780672687928,31.7448229838081,54.6072442870786,79.6359458086683,2,3,4
2000,11,5,4.00129528429383,5.45762382766047,4.64982025374076,63.518097816537,96.5917979607714,129.636482287911,3,4,5
2000,11,6,4.28023484170974,6.96298125717333,5.95901365914798,95.5963739384596,119.967287001792,148.013124611727,4,5,6
2000,12,1,4.66710051019304,5.85791379102263,4.08418065924221,47.0272346062946,76.8441432597085,125.362058419995,3,4,5
2000,12,2,3.76461118969565,5.61949730461065,4.85075649136925,76.7763835875427,105.199888892895,132.905010975283,4,5,5
2000,12,3,5.82780521769739,7.52477077519414,5.00554142788813,40.046256616297,67.664438185057,175.725110836239,2,3,7
2000,12,4,4.55658998237057,5.86706703691023,3.95578294163443,71.3191253742045,98.7905767727515,160.435797104844,3,4,6
2000,12,5,3.69619101666346,4.52651288740528,4.35341040256687,41.4734291414815,61.3449631657093,202.726792854803,2,3,8
2000,12,6,4.43039723214111,6.11483805380846,4.09165869298613,61.8699314371599,81.208973792627,91.8302234100397,3,4,4
2001,1,1,4.92118189994952,6.76640950973569,5.30080201436672,105.061057582263,135.018260348808,191.265373184128,5,6,7
2001,1,2,4.98862933986167,5.8326699136915,5.18891108783245,106.604514602527,136.116305663854,200.345540071691,5,6,8
2001,1,3,5.04531517119172,5.43430506822219,4.09551751138937,53.8453368243576,91.6145643983615,174.443575616238,3,4,7
2001,1,4,4.42754764840644,5.77979759155515,4.55297146748306,92.8367390246708,123.72578101746,177.7785828288,4,5,7
2001,1,5,4.86821192817996,7.52781193040322,10.0370333937154,137.816236786426,194.783266511078,225.447897111219,6,7,9
2001,1,6,5.35525198774994,5.74977905236165,4.15142050176271,49.5341271599809,88.2229333667961,186.340130409561,3,4,7
2001,2,1,4.36711624806955,4.62927167403262,5.88933063819062,78.7139929789626,121.061890081097,230.389398599643,4,5,9
2001,2,2,5.50078670482168,6.16246259995835,3.71159716742468,56.9796074162318,79.8340875534449,146.675003072551,3,4,6
2001,2,3,4.70768131664223,5.93121254177418,4.90768188424397,51.5181935277449,73.3460800920578,96.4297298837481,3,3,4
2001,2,4,3.84065971379365,5.38267337842471,3.78837096702806,115.469715761237,136.105191165511,175.837149948937,5,6,7
2001,2,5,4.53201624360228,6.35211084841818,5.80575070097302,113.084092203715,134.235041951883,183.213411835715,5,5,7
2001,2,6,3.62070592101383,4.54877688342838,4.09806467596566,59.4293708193049,90.4348198503334,260.125971256568,3,4,10
2001,3,1,3.75469173872642,5.13912338332598,4.42778924371566,89.1346882257332,110.428813603413,177.158816232228,4,5,7
2001,3,2,5.50481212036082,7.03274532544684,6.0297848706855,81.2858436106526,113.10082870479,169.643106340159,4,5,7
2001,3,3,4.45755625076888,6.54198273762159,6.08328705859575,92.543119845775,124.957614510615,161.209084402324,4,5,6
2001,3,4,3.6365541276226,4.77832620326154,6.14552769179339,117.363258985652,137.289633626302,236.503261194887,5,6,9
2001,3,5,4.41149332614378,6.86176524565423,8.15741756299068,139.892317297897,165.621746573367,250.135180491446,6,7,9
2001,3,6,3.63259554750825,4.48183517643264,3.73207105090612,76.6505747555445,106.136134420135,210.249437626876,4,5,8
2001,4,1,4.08147306022998,5.74696814607386,6.39734231917776,128.846335961569,160.79432907417,215.658958788631,5,6,8
2001,4,2,3.65026760541834,5.14124971817338,6.86411540989948,146.43435793105,174.478100209883,247.327733813352,6,7,9
2001,4,3,4.2523853083731,5.0531912260013,3.49750432366675,69.4703817832122,97.207657887655,193.34716174158,3,4,7
2001,4,4,4.42662469601179,7.10060094510438,9.42428299366606,167.789720442872,199.50249053312,237.373880760323,7,8,9
2001,4,5,3.38571253441179,4.63232121930838,4.86434293709437,100.332448317995,135.00101487593,199.078222808798,4,6,8
2001,4,6,4.18631218535379,7.27384378550935,8.81525233422041,156.652685625516,189.495025802292,224.652951931468,6,7,8
2001,5,1,3.12065199227826,5.09467869990899,6.80155883853846,195.275927124463,157.01000256362,235.001685700264,8,6,9
2001,5,2,3.43868461904941,5.49930893496725,6.43581172787834,197.155647885586,148.389389201984,216.624467125833,8,6,8
2001,5,3,2.20207848309285,3.70196426094484,3.9503037959089,58.8652801115545,74.5646793729046,66.9772356801438,3,3,3
2001,5,4,2.68383727273621,4.5976506163292,5.5631640354109,202.053203094759,225.697456944163,228.202759150039,8,9,9
2001,5,5,2.28392744362056,3.91371599570118,4.87197066400766,193.785526403832,220.552055475932,234.569983542481,7,8,9
2001,5,6,2.25986972431794,2.57213877403078,1.79391882585016,86.4745523213175,49.5386759955572,197.52882859603,4,3,8
2001,6,1,2.69846613244857,4.59148830477584,5.51909972523639,163.766126085029,193.770051543892,224.558791751191,6,7,8
2001,6,2,4.14195382791028,7.50924562149818,8.96971054423889,183.024196855295,206.608479797006,227.827015737744,7,8,9
