year,month,hou,本候灯下白背飞虱虫量（头）,本侯灯下褐飞虱虫量（头）,本候灯下稻飞虱合计
2010,2,1,\,\,0
2010,2,2,\,\,0
2010,2,3,3,0,3
2010,2,4,6,2,8
2010,2,5,2,6,8
2010,2,6,0,0,0
2010,3,1,5,3,8
2010,3,2,4,11,15
2010,3,3,0,0,0
2010,3,4,6,7,13
2010,3,5,14,14,28
2010,3,6,5,6,11
2010,4,1,7,2,9
2010,4,2,27,35,62
2010,4,3,4,25,29
2010,4,4,11,58,69
2010,4,5,380,5329,5709
2010,4,6,134,2111,2245
2010,5,1,35,106,141
2010,5,2,0,0,0
2010,5,3,0,0,0
2010,5,4,0,0,0
2010,5,5,0,0,0
2010,5,6,0,0,0
2010,6,1,0,0,0
2010,6,2,0,0,0
2010,6,3,3,8,11
2010,6,4,5,122,127
2010,6,5,1,176,177
2010,6,6,10,206,216
2010,7,1,5,159,164
2010,7,2,0,5,5
2010,7,3,0,1,1
2010,7,4,0,0,0
2010,7,5,40,5,45
2010,7,6,0,0,0
2010,8,1,0,0,0
2010,8,2,0,1,1
2010,8,3,72,41,113
2010,8,4,0,0,0
2010,8,5,43,259,302
2010,8,6,616,13357,13973
2010,9,1,144,16150,16294
2010,9,2,0,16485,16485
2010,9,3,0,29087,29087
2011,2,1,0,0,0
2011,2,2,0,0,0
2011,2,3,0,0,0
2011,2,4,0,0,0
2011,2,5,3,14,17
2011,3,1,2,5,7
2011,3,1,1,6,7
2011,3,2,2,31,33
2011,3,3,2,50,52
2011,3,4,1,22,23
2011,3,5,0,1,1
2011,3,6,1,19,20
2011,4,1,0,23,23
2011,4,2,1,13,14
2011,4,3,2,11,13
2011,4,4,4,26,30
2011,4,5,1,12,13
2011,5,1,5,42,47
2011,5,1,7,48,55
2011,5,2,1,38,39
2011,5,3,27,270,297
2011,5,4,0,0,0
2011,5,5,1,12,13
2011,5,6,16,198,214
2011,6,1,2,12,14
2011,6,2,0,72,72
2011,6,3,40,382,422
2011,6,4,32,398,430
2011,6,5,424,1404,1828
2011,7,1,373,805,1178
2011,7,1,11,31,42
2011,7,2,13,249,262
2011,7,3,31,85,116
2011,7,4,1898,104,2002
2011,7,5,30,41,71
2011,7,6,35,99,134
2011,8,1,1085,165,1250
2011,8,2,1748,1616,3364
2011,8,3,1212,2816,4028
2011,8,4,294,739,1033
2011,8,5,11,76,87
2011,8,6,176,696,872
2011,9,1,254,2060,2314
2011,9,2,35,1745,1780
2011,9,3,5,228,233
2012,2,1,0,0,0
2012,2,2,0,0,0
2012,2,3,0,3,3
2012,2,4,2,2,4
2012,2,5,33,38,71
2012,2,6,30,43,73
2012,3,1,39,78,117
2012,3,2,15,16,31
2012,3,3,22,10,32
2012,3,4,19,10,29
2012,3,5,20,17,37
2012,3,6,31,25,56
2012,4,1,20,35,55
2012,4,2,21,59,80
2012,4,3,83,160,243
2012,4,4,21,27,48
2012,4,5,215,415,630
2012,4,6,28,101,129
2012,5,1,7,216,223
2012,5,2,15,221,236
2012,5,3,5,73,78
2012,5,4,13,72,85
2012,5,5,61,288,349
2012,5,6,3097,8550,11647
2012,6,1,816,315,1131
2012,6,2,4,112,116
2012,6,3,9,241,250
2012,6,4,61,406,467
2012,6,5,22,176,198
2012,6,6,8,54,62
2012,7,1,7,30,37
2012,7,2,6,38,44
2012,7,3,13,125,138
2012,7,4,14,42,56
2012,7,5,21,54,75
2012,7,6,26,89,115
2012,8,1,235,440,675
2012,8,2,1614,7256,8870
2012,8,3,84,1390,1474
2012,8,4,223,853,1076
2012,8,5,22,1000,1022
2012,8,6,118,909,1027
2012,9,1,65,825,890
2012,9,2,156,306,462
2012,9,3,100,711,811
2013,2,1,2,7,9
2013,2,2,0,7,7
2013,2,3,2,7,9
2013,2,4,0,0,0
2013,2,5,3,10,13
2013,2,6,6,30,36
2013,3,1,1,2,3
2013,3,2,1,9,10
2013,3,3,4,12,16
2013,3,4,208,151,359
2013,3,5,95,70,165
2013,3,6,124,55,179
2013,4,1,2,3,5
2013,4,2,28,52,80
2013,4,3,5,30,35
2013,4,4,6,33,39
2013,4,5,50,69,119
2013,4,6,0,20,20
2013,5,1,11,48,59
2013,5,2,68,277,345
2013,5,3,68,277,345
2013,5,4,186,362,548
2013,5,5,178,474,652
2013,5,6,7,76,83
2013,6,1,7,82,89
2013,6,2,151,210,361
2013,6,3,11,99,110
2013,6,4,11,122,133
2013,6,5,9,88,97
2013,6,6,12,108,120
2013,7,1,24,224,248
2013,7,2,16,174,190
2013,7,3,15,240,255
2013,7,4,23,220,243
2013,7,5,31,247,278
2013,7,6,31,292,323
2013,8,1,34,324,358
2013,8,2,114,426,540
2013,8,3,26,203,229
2013,8,4,14,137,151
2013,8,5,29,251,280
2013,8,6,45,334,379
2013,9,1,110,299,409
2013,9,2,103,260,363
2013,9,3,223,686,909
2014,2,1,0,0,0
2014,2,2,0,0,0
2014,2,3,0,0,0
2014,2,4,0,6,6
2014,2,5,0,5,5
2014,2,6,0,7,7
2014,3,1,1,7,8
2014,3,2,8,8,16
2014,3,3,8,13,21
2014,3,4,3,14,17
2014,3,5,7,24,31
2014,3,6,8,39,47
2014,4,1,16,46,62
2014,4,2,14,60,74
2014,4,3,12,51,63
2014,4,4,10,55,65
2014,4,5,14,64,78
2014,4,6,14,105,119
2014,5,1,10,75,85
2014,5,2,72,170,242
2014,5,3,23,63,86
2014,5,4,9,34,43
2014,5,5,0,0,0
2014,5,6,8,36,44
2014,6,1,5,102,107
2014,6,2,53,89,142
2014,6,3,17,55,72
2014,6,4,66,106,172
2014,6,5,9,29,38
2014,6,6,5,18,23
2014,7,1,2,15,17
2014,7,2,1,6,7
2014,7,3,6,12,18
2014,7,4,6,9,15
2014,7,5,1,16,17
2014,7,6,72,507,579
2014,8,1,24,303,327
2014,8,2,77,301,378
2014,8,3,141,1823,1964
2014,8,4,141,249,390
2014,8,5,841,317,1158
2014,8,6,1602,623,2225
2014,9,1,10752,4054,14806
2014,9,2,1874,996,2870
2014,9,3,21622,4437,26059
2015,3,4,12,31,43
2015,3,5,8,23,31
2015,3,6,18,36,54
2015,4,1,11,25,36
2015,4,2,3,8,11
2015,4,3,8,30,38
2015,4,4,10,132,142
2015,4,5,20,149,169
2015,4,6,14,160,174
2015,5,1,16,122,138
2015,5,2,15,128,143
2015,5,3,16,115,131
2015,5,4,10,84,94
2015,5,5,13,94,107
2015,5,6,107,413,520
2015,6,1,17,645,662
2015,6,2,5,28,33
2015,6,3,38,201,239
2015,6,4,6,48,54
2015,6,5,19,129,148
2015,6,6,12,141,153
2015,7,1,9,65,74
2015,7,2,37,174,211
2015,7,3,31,735,766
2015,7,4,4,13,17
2015,7,5,4,4,8
2015,7,6,8,52,60
2015,8,1,552,4000,4552
2015,8,2,150,1442,1592
2015,8,3,32,266,298
