year,month,hou,本候灯下白背飞虱虫量（头）,本侯灯下褐飞虱虫量（头）,本候灯下稻飞虱合计
2001,5,5,0,2,2.0
2001,5,6,0,0,0.0
2001,6,1,0,6,6.0
2001,6,2,0,3,3.0
2001,6,3,955,60,1015.0
2001,6,4,71,5,76.0
2001,6,5,234,93,327.0
2001,6,6,87,15,102.0
2001,7,1,634,61,695.0
2001,7,2,82,4,86.0
2001,7,3,56,1,57.0
2001,7,4,1247,73,1320.0
2001,7,5,871,165,1036.0
2001,7,6,125,107,232.0
2001,8,1,682,82,764.0
2001,8,2,13,7,20.0
2001,8,3,174,85,259.0
2001,8,4,53,79,132.0
2001,8,5,63,49,112.0
2001,8,6,90,308,398.0
2001,9,1,0,3,3.0
2001,9,2,1,4,5.0
2002,6,1,0,0,0.0
2002,6,2,0,0,0.0
2002,6,3,3,0,3.0
2002,6,4,7,0,7.0
2002,6,5,1336,0,1336.0
2002,6,6,140,3,143.0
2002,7,1,568,2,570.0
2002,7,2,59,0,59.0
2002,7,3,11,2,13.0
2002,7,4,7704,58,7762.0
2002,7,5,1412,90,1502.0
2002,7,6,2605,225,2830.0
2002,8,1,109,248,357.0
2002,8,2,3,6,9.0
2002,8,3,838,72,910.0
2002,8,4,202,130,332.0
2002,8,5,273,183,456.0
2002,8,6,208,171,379.0
2002,9,1,6,19,25.0
2002,9,2,1,0,1.0
2002,9,3,1,2,3.0
2002,9,4,16,65,81.0
2002,9,5,10,52,62.0
2002,9,6,3,4,7.0
2002,10,1,8,83,91.0
2002,10,2,40,601,641.0
2002,10,3,2,0,2.0
2002,10,4,20,42,62.0
2002,10,5,36,50,86.0
2003,6,1,0,0,0.0
2003,6,2,0,0,0.0
2003,6,3,1,0,1.0
2003,6,4,65,0,65.0
2003,6,5,2,0,2.0
2003,6,6,42,1,43.0
2003,7,1,4543,68,4611.0
2003,7,2,3678,84,3762.0
2003,7,3,2666,388,3054.0
2003,7,4,247,149,396.0
2003,7,5,293,654,947.0
2003,7,6,160,1090,1250.0
2003,8,1,154,371,525.0
2003,8,2,33,74,107.0
2003,8,3,197,1350,1547.0
2003,8,4,22,17,39.0
2003,8,5,14,159,173.0
2003,8,6,0,179,179.0
2003,9,1,10,247,257.0
2003,9,2,20,1064,1084.0
2003,9,3,39,1541,1580.0
2003,9,4,524,7034,7558.0
2003,9,5,209,1871,2080.0
2003,9,6,3,46,49.0
2003,10,1,9,189,198.0
2003,10,2,4,101,105.0
2003,10,3,566,2902,3468.0
2003,10,4,1672,9906,11578.0
2003,10,5,0,0,0.0
2004,5,6,0,0,0.0
2004,6,1,4,0,4.0
2004,6,2,0,0,0.0
2004,6,3,0,0,0.0
2004,6,4,26,3,29.0
2004,6,5,31,3,34.0
2004,6,6,59,0,59.0
2004,7,1,14,9,23.0
2004,7,2,156,0,156.0
2004,7,3,299,12,311.0
2004,7,4,470,55,525.0
2004,7,5,744,506,1250.0
2004,7,6,206,563,769.0
