year,month,hou,本候灯下白背飞虱虫量（头）,本侯灯下褐飞虱虫量（头）,本候灯下稻飞虱合计
,,6,10,0,10.0
,,6,0,4,4.0
,,6,9,3,12.0
,,6,3,7,10.0
,,6,47,12,59.0
,,6,81,21,102.0
,,6,1,12,13.0
,,6,33,41,74.0
,,6,34270,887,35157.0
,,6,12942,336,13278.0
,,6,19,43,62.0
,,6,34,793,827.0
,,6,0,0,0.0
,,6,8,58,66.0
,,6,22,57,79.0
,,6,2528,1012,3540.0
,,6,51,181,232.0
,,6,55,242,297.0
,,6,10,34,44.0
,,6,159,69,228.0
,,6,45,23,68.0
,,6,581,477,1058.0
,,6,11,49,60.0
,,6,0,7,7.0
,,6,11,8,19.0
,,6,17,10,27.0
,,6,0,0,0.0
,,6,1,1,2.0
,,6,79,4,83.0
,,6,207,2,209.0
,,6,60,1,61.0
,,6,166,1,167.0
,,6,37,0,37.0
,,6,484,6,490.0
,,6,13581,17,13598.0
,,6,22891,32,22923.0
,,6,281,1,282.0
,,6,87,0,87.0
,,6,1,0,1.0
,,6,39,2,41.0
,,6,42,42,84.0
,,6,34,141,175.0
,,6,196,435,631.0
,,6,79,49,128.0
,,6,39,39,78.0
,,6,13,17,30.0
,,6,13,66,79.0
,,6,140,425,565.0
,,6,60,218,278.0
,,6,13,19,32.0
,,6,36,19,55.0
,,6,11,8,19.0
,,6,17,57,74.0
,,6,219,281,500.0
,,6,110,1920,2030.0
,,6,118,812,930.0
,,6,14,48,62.0
,,6,4,18,22.0
,,6,0,0,0.0
,,6,3,0,3.0
,,6,1,0,1.0
,,6,45,0,45.0
,,6,59,0,59.0
,,6,0,0,0.0
,,6,18,3,21.0
,,6,64,2,66.0
,,6,10,0,10.0
,,6,108,2,110.0
,,6,117,2,119.0
,,6,102,0,102.0
,,6,361,10,371.0
,,6,140,1,141.0
,,6,57,4,61.0
,,6,37,3,40.0
,,6,12,0,12.0
,,6,31,1,32.0
,,6,67,9,76.0
,,6,12,21,33.0
,,6,9,8,17.0
,,6,15,1,16.0
,,6,8,1,9.0
,,6,7,3,10.0
,,6,44,130,174.0
,,6,787,5184,5971.0
,,6,433,807,1240.0
,,6,32,95,127.0
,,6,210,290,500.0
,,6,21,28,49.0
,,6,457,1118,1575.0
,,6,26,40,66.0
,,6,5,34,39.0
,,6,10,50,60.0
,,6,0,0,0.0
,,6,20,0,20.0
,,6,173,1,174.0
,,6,2024,8,2032.0
,,6,71,0,71.0
,,6,3,1,4.0
,,6,336,0,336.0
,,6,586,2,588.0
,,6,6392,0,6392.0
,,6,1024,5,1029.0
,,6,17862,96,17958.0
,,6,155203,578,155781.0
,,6,38,11,49.0
,,6,7,9,16.0
,,6,4,3,7.0
,,6,12,33,45.0
,,6,3,8,11.0
,,6,6360,136,6496.0
,,6,103,21,124.0
,,6,13,16,29.0
,,6,30,8,38.0
,,6,16,3,19.0
,,6,137,98,235.0
,,6,59,181,240.0
,,6,90,61,151.0
,,6,1536,2045,3581.0
,,6,476,1890,2366.0
,,6,716,515,1231.0
,,6,22,155,177.0
,,6,64,2369,2433.0
,,6,982,39544,40526.0
,,6,210,11012,11222.0
,,6,180,14458,14638.0
,,6,\,\,0.0
,,6,0,0,0.0
,,6,0,0,0.0
,,6,0,0,0.0
,,6,0,0,0.0
,,6,290,0,290.0
,,6,329,3,332.0
,,6,155,67,222.0
,,6,418,162,580.0
,,6,356,266,622.0
,,6,280,316,596.0
,,6,736,672,1408.0
,,6,283,196,479.0
,,6,656,424,1080.0
,,6,704,924,1628.0
,,6,996,1736,2732.0
,,6,2880,1160,4040.0
,,6,8064,2752,10816.0
,,6,12800,5312,18112.0
,,6,4034,1898,5932.0
,,6,1312,1680,2992.0
,,6,1024,800,1824.0
,,6,4800,11008,15808.0
,,6,3584,20288,23872.0
,,6,11251,167373,178624.0
,,6,5880,64892,70772.0
,,6,8704,32308,41012.0
,,6,8164,1456,9620.0
,,6,3504,6464,9968.0
,,6,4016,8064,12080.0
,,6,1748,6656,8404.0
,,6,1920,8320,10240.0
,,6,1008,4816,5824.0
,,6,2532,4616,7148.0
