year,month,hou,1000hPa_omega,925hPa_omega,850hPa_omega
2000,1,1,-0.0704144716262817,-0.0960145711898804,-0.116639614105225
2000,1,2,-0.0920395135879517,-0.137489533424377,-0.16913948059082
2000,1,3,-0.0877020359039307,-0.143389534950256,-0.201214528083801
2000,1,4,-0.0514395713806152,-0.0682770967483521,-0.0724771499633789
2000,1,5,-0.0473269939422607,-0.0692395925521851,-0.0936770439147949
2000,1,6,-0.0196478366851807,-0.0188770492871602,-0.00865825017293294
2000,2,1,-0.0608645439147949,-0.0769019603729248,-0.0656021118164063
2000,2,2,-0.0425395250320435,-0.0577520132064819,-0.0509019613265991
2000,2,3,-0.0736521005630493,-0.106239581108093,-0.129527139663696
2000,2,4,-0.0821146011352539,-0.120577073097229,-0.150314426422119
2000,2,5,-0.0561520576477051,-0.0754395484924316,-0.0936393976211548
2000,2,6,-0.0296425819396973,-0.0265489220619202,-0.00143957138061523
2000,3,1,-0.0557645082473755,-0.0790143489837647,-0.0845770359039307
2000,3,2,-0.0798269987106323,-0.129839468002319,-0.188152122497559
2000,3,3,-0.0497019529342651,-0.078402042388916,-0.0932395696640015
2000,3,4,-0.0608520984649658,-0.0939143896102905,-0.11823947429657
2000,3,5,-0.0503644943237305,-0.0739020347595215,-0.110702013969421
2000,3,6,-0.0290749669075012,-0.0421270330746969,-0.0270645221074422
2000,4,1,-0.0243520021438599,-0.0404020547866821,-0.0659145832061768
2000,4,2,-0.0581020355224609,-0.0926644802093506,-0.128764605522156
2000,4,3,-0.0579270124435425,-0.072551965713501,-0.0767019987106323
2000,4,4,-0.0737270355224609,-0.089189600944519,-0.0911020517349243
2000,4,5,-0.0726519823074341,-0.0977895736694336,-0.123452115058899
2000,4,6,-0.070602011680603,-0.0849644422531128,-0.0985520839691162
2000,5,1,-0.0368393898010254,-0.036876916885376,-0.0300770282745361
2000,5,2,-0.042564582824707,-0.0585770130157471,-0.0754019737243652
2000,5,3,-0.0259644031524658,-0.0219020366668701,-0.00148954391479492
2000,5,4,-0.00591447353363037,-0.00238943099975586,-0.0174019813537598
2000,5,5,-0.0281020879745483,-0.0299520969390869,-0.0121520757675171
2000,5,6,-0.05647079149882,-0.0847312013308207,-0.11451248327891
2000,6,1,-0.032602071762085,-0.0269771575927734,0.00939793586730957
2000,6,2,-0.0639644384384155,-0.0841520071029663,-0.106489372253418
2000,6,3,-0.00865194797515869,-0.00318961143493652,0.000860452651977539
2000,6,4,-0.0298020362854004,-0.0341020584106445,-0.0223395586013794
2000,6,5,-0.0460145473480225,-0.0530644655227661,-0.0263894557952881
2000,6,6,-0.0206769943237305,-0.0140770196914673,0.0319104909896851
2000,7,1,-0.0238145351409912,-0.0235520124435425,-0.0140270471572876
2000,7,2,-0.0188395023345947,-0.0302395820617676,-0.054339599609375
2000,7,3,-0.0125770330429077,-0.007464599609375,0.024610447883606
2000,7,4,-0.0120145320892334,-0.0215895414352417,-0.018589448928833
2000,7,5,-0.0191770792007446,-0.018464469909668,0.0281980276107788
2000,7,6,0.00664393107096354,0.00799802939097087,0.0154354770978292
2000,8,1,-0.0305019617080688,-0.0463769912719727,-0.0582519292831421
2000,8,2,-0.0241395473480225,-0.0238770484924316,-0.00876457691192627
2000,8,3,-0.0192520141601563,-0.0183519601821899,-0.0146270990371704
2000,8,4,-0.0233144998550415,-0.0283394813537598,-0.0257269859313965
2000,8,5,0.00819799900054932,0.00849809646606445,-0.0044896125793457
2000,8,6,-0.00906449556350708,-0.00201253096262614,-0.0035020112991333
2000,9,1,-0.022776985168457,-0.0297019958496094,-0.0403519868850708
2000,9,2,-0.0136521100997925,-0.00908956527709961,-0.0174646377563477
2000,9,3,-0.00283946990966797,0.00288538932800293,-0.00300202369689941
2000,9,4,-0.0172395944595337,-0.0146145343780518,-0.0100520849227905
2000,9,5,-0.0251519918441772,-0.0289895296096802,-0.00971450805664062
2000,9,6,-0.0443896293640137,-0.058564567565918,-0.0598146200180054
2000,10,1,-0.0524769067764282,-0.0638770341873169,-0.0694020748138428
2000,10,2,-0.0233895301818848,-0.0234894752502441,0.00258545875549316
2000,10,3,-0.0112895250320435,-0.00713944435119629,-0.0534270286560059
2000,10,4,-0.0187770128250122,-0.0235521078109741,-0.0361520051956177
2000,10,5,-0.0634519815444946,-0.0866646289825439,-0.107439541816711
2000,10,6,-0.0257416963577271,-0.0272416273752848,-0.0381895105044047
2000,11,1,-0.017589545249939,-0.00820200443267822,0.00956051349639893
2000,11,2,-0.0538896083831787,-0.0636646032333374,-0.0824520826339722
2000,11,3,-0.039301872253418,-0.0244395732879639,-0.0182270050048828
2000,11,4,-0.0447520017623901,-0.0370769500732422,-0.04946448802948
2000,11,5,-0.0650146007537842,-0.0671770095825195,-0.0630019903182983
2000,11,6,-0.0982269763946533,-0.130352020263672,-0.173602104187012
2000,12,1,-0.0612396001815796,-0.0690270662307739,-0.0809894800186157
2000,12,2,-0.0691019296646118,-0.0829644918441772,-0.0899270296096802
2000,12,3,-0.0544270277023315,-0.0568020820617676,-0.0521519422531128
2000,12,4,-0.0569645166397095,-0.0707770347595215,-0.0814769983291626
2000,12,5,-0.0413394212722778,-0.0501520872116089,-0.0398269653320312
2000,12,6,-0.0594499309857686,-0.0743248860041301,-0.0652832388877869
2001,1,1,-0.0927644968032837,-0.125214600563049,-0.14282705783844
2001,1,2,-0.0949895620346069,-0.123089456558228,-0.148952078819275
2001,1,3,-0.0604895353317261,-0.070939564704895,-0.0727895021438599
2001,1,4,-0.0910769701004028,-0.113401937484741,-0.112989401817322
2001,1,5,-0.0980395555496216,-0.151152110099792,-0.212127017974854
2001,1,6,-0.0561999479929606,-0.0644082029660543,-0.0597936908404032
2001,2,1,-0.0807145357131958,-0.0880395650863647,-0.0760769605636597
