year,month,hou,1000hPa_omega,925hPa_omega,850hPa_omega
2000,1,1,0.00103561878204346,0.0231603860855103,0.0308728933334351
2000,1,2,-0.01280198097229,-0.014452075958252,-0.0216895341873169
2000,1,3,-0.014751935005188,-0.0289020776748657,-0.0479394674301147
2000,1,4,0.00654802322387695,0.0336479902267456,0.0366355419158936
2000,1,5,-0.00610206127166748,-0.0168145656585693,-0.0324645042419434
2000,1,6,-0.00743949413299561,0.0132478872934977,0.0141438245773315
2000,2,1,-0.0271395683288574,-0.0299395561218262,-0.0484269857406616
2000,2,2,0.00483558177947998,0.0337604999542236,0.039160418510437
2000,2,3,0.00203547477722168,0.0253979921340942,0.0310980319976807
2000,2,4,-0.0233270645141602,-0.0314644813537598,-0.0627270221710205
2000,2,5,-0.0125020742416382,-0.0273644924163818,-0.071027135848999
2000,2,6,0.00787299871444702,0.0230448842048645,0.00626364350318909
2000,3,1,0.00166034698486328,0.00866038799285889,0.00621054172515869
2000,3,2,-0.0011770486831665,0.000760459899902344,-0.0199145793914795
2000,3,3,-0.0184645414352417,-0.0146146297454834,-0.0255645990371704
2000,3,4,0.0114230871200562,0.0404853820800781,0.0416105031967163
2000,3,5,0.0025479793548584,0.00611040592193604,0.0052980899810791
2000,3,6,0.00811258951822917,0.0355187257130941,0.0443209012349447
2000,4,1,-0.0176770448684692,-0.0369644641876221,-0.0515894889831543
2000,4,2,0.00463547706604004,0.0230479955673218,0.0117855548858643
2000,4,3,0.00546042919158936,0.0219978809356689,0.0184729814529419
2000,4,4,-0.00492696762084961,0.0169855117797852,0.0135604619979858
2000,4,5,-0.00968964099884033,-0.00895204544067383,-0.0283019542694092
2000,4,6,-0.00301446914672852,-0.0136145830154419,-0.0390144348144531
2000,5,1,0.00103542804718018,0.00418548583984375,0.00396037101745605
2000,5,2,-0.012652063369751,-0.0062769889831543,0.00177302360534668
2000,5,3,-0.0062145471572876,0.00136048793792725,0.0113229751586914
2000,5,4,-0.00773959159851074,0.00409796237945557,0.013273024559021
2000,5,5,0.00703544616699219,0.0202354669570923,0.029623007774353
2000,5,6,-0.00138745705286662,0.00724798440933228,-0.003502090771993
2000,6,1,-0.0135644674301147,0.00164785385131836,-0.000352096557617187
2000,6,2,-0.00598952770233154,-0.0183645486831665,-0.0540271043777466
2000,6,3,-0.0145394802093506,-0.0383395195007324,-0.0708895683288574
2000,6,4,8.54015350341797e-05,-0.00850200653076172,-0.0232770681381226
2000,6,5,0.02151038646698,0.0662104845046997,0.0661354541778564
2000,6,6,0.0217854738235474,0.0461356163024902,0.0419605016708374
2000,7,1,-0.00357701778411865,-0.0177395582199097,-0.0247394561767578
2000,7,2,-0.00137698650360107,-0.0219395637512207,-0.0346646070480347
2000,7,3,0.0058729887008667,0.0242729902267456,0.0249855279922485
