year,month,hou,1000hPa_wind,925hPa_wind,850hPa_wind,1000hPa_azimuth,925hPa_azimuth,850hPa_azimuth,1000hPa_number,925hPa_number,850hPa_number
2000,1,1,2.86721510344403,3.90984209300868,6.15413394926903,134.57294214067,176.317204760053,256.226588871312,5,7,10
2000,1,2,3.06847446505364,4.31832113338283,5.03823632932537,49.4420959387851,99.325028480644,173.069901121098,3,4,7
2000,1,3,3.92378867629407,5.3217130272942,2.75100398443983,100.737755864348,56.7354146301907,197.993881008369,4,3,8
2000,1,4,3.087476341579,4.90984725845164,5.12480370652874,167.818661454276,188.134317712633,250.989037044238,7,7,9
2000,1,5,4.32802642120811,5.61154142403913,5.58703580932904,33.456829751918,116.626192214032,130.353856930005,2,5,5
2000,1,6,3.48487067357486,5.09126176755824,4.53368224474209,125.308101223632,73.0725147965124,66.4185586932256,5,3,3
2000,2,1,1.82096826390289,1.9923176571618,2.92593463146619,122.979369054638,144.917488323384,239.672596802381,5,6,9
2000,2,2,2.79420151875763,3.99298324252944,4.32924081059327,203.518011432051,231.243344105361,254.68576334108,8,9,9
2000,2,3,2.42991160440864,3.90843543775798,3.77471711166897,142.622901000543,88.0933800123838,213.774817115252,6,4,8
2000,2,4,3.53507070717188,5.42937009384862,4.95764366069967,80.1600981508215,97.5223821623905,138.967027266775,4,4,6
2000,2,5,2.59762003896551,4.94768965724307,5.31897443729731,115.292235268543,135.133349585304,145.079775855778,5,6,6
2000,2,6,3.19865210892736,3.72806733370705,3.76636785865946,173.472782942722,182.874200681728,174.250537288875,7,7,7
2000,3,1,1.96933301606769,2.62465566728228,2.84138215040167,197.016584376066,216.13723787611,207.545722148303,8,8,8
2000,3,2,1.92164617193031,3.47580024682226,3.23546073653889,73.7664544525611,87.226869189617,89.910705264013,3,4,4
2000,3,3,2.18171420580157,3.44080337234827,3.76697222980575,194.266757185273,145.941989487792,158.265925742671,7,6,6
2000,3,4,2.88105554134559,4.92643116684315,4.89242950790615,177.98609933107,125.568284489369,133.098450207346,7,5,5
2000,3,5,3.13352379400294,4.3541866828811,3.67040682249469,165.43108486069,177.382688512007,176.536018410954,7,7,7
2000,3,6,3.91660769378775,7.36299274852095,8.79314931433372,168.281658198479,180.99438030064,248.782915883417,7,7,9
