year,month,hou,1000hPa_air,925hPa_air,850hPa_air
2000,1,1,5.31750794649124,4.22125699967146,3.67999871075153
2000,1,2,0.556252999976277,-2.13874359428883,-1.80249175697566
2000,1,3,-0.284993014950305,-3.74499819427729,-3.74624794274569
2000,1,4,-2.27248997502029,-5.74999849796295,-7.15249328613281
2000,1,5,-3.21374660879374,-5.96874380260706,-5.93874349743128
2000,1,6,-5.10207468395432,-8.37082628409068,-9.85416748126348
2000,2,1,-1.53999635726213,-5.43498992323875,-6.60998987555504
2000,2,2,0.632502707839012,-2.48499146848917,-3.84624326527119
2000,2,3,3.54000389426947,1.06625664681196,-2.51624142229557
2000,2,4,2.95375817745926,-0.187496983725578,-2.90374303758144
2000,2,5,2.83000786751509,-1.24874268472195,-4.60999155044556
2000,2,6,4.15312913805246,1.36250834399834,-2.5140594933182
2000,3,1,8.42375810146332,6.22500302791595,2.12250208437442
2000,3,2,6.56250765323639,3.63000480532646,-0.948744220752269
2000,3,3,8.06250469684601,5.14375448822975,1.36250608712435
2000,3,4,9.91125204563141,7.93625350594521,5.20875393748283
2000,3,5,10.3587527990341,7.25751042366028,2.96125025004149
2000,3,6,14.0989627838135,12.3333402276039,7.22187715272109
2000,4,1,11.996254324913,9.04875209331512,5.84250641912222
2000,4,2,13.1175021886826,10.757507610321,6.6537507712841
2000,4,3,14.5900089263916,12.7675066709518,8.22250838875771
2000,4,4,16.8875003814697,15.5662570953369,11.3900027513504
2000,4,5,19.1075077056885,17.0962574005127,11.5612521648407
2000,4,6,18.4325061798096,16.1075061798096,10.3550082206726
2000,5,1,20.8512561798096,20.3825046539307,15.4000080108643
2000,5,2,17.7400089263916,15.2912601470947,11.9325091838837
2000,5,3,18.1175006866455,16.1400043487549,12.390004324913
2000,5,4,20.516255569458,19.0000049591064,14.2775089263916
2000,5,5,25.1887577056885,23.9375080108643,18.8275074005127
2000,5,6,20.5875072479248,17.7916736602783,14.8854262034098
2000,6,1,21.9700046539307,19.8812671661377,16.7350040435791
2000,6,2,23.5125019073486,21.0175037384033,16.3562564849854
2000,6,3,23.9437580108643,21.1837512969971,15.4312564849854
2000,6,4,24.9500034332275,22.0437564849854,16.8750019073486
2000,6,5,24.0150104522705,21.2587543487549,17.6562564849854
2000,6,6,25.9400058746338,23.5325061798096,19.8450031280518
2000,7,1,25.7737552642822,23.7325031280518,20.0362598419189
2000,7,2,26.5737552642822,23.2850070953369,19.18625831604
2000,7,3,26.6925067901611,24.8000049591064,20.4825061798096
2000,7,4,27.8275074005127,25.4087558746338,21.6012607574463
2000,7,5,28.3087558746338,26.1812564849854,21.6500034332275
2000,7,6,27.3250090281169,24.4729150136312,19.9083385467529
2000,8,1,26.6112567901611,23.5275058746338,18.647505569458
2000,8,2,27.3137516021729,23.9737567901611,19.7800052642822
2000,8,3,26.928755569458,23.7450122833252,19.9137561798096
2000,8,4,25.9337589263916,22.9250034332275,18.476248550415
2000,8,5,25.6625034332275,22.0337558746338,17.7375064849854
2000,8,6,24.944798151652,21.0968786875407,17.0656337738037
2000,9,1,24.9012561798096,21.9325000762939,17.9912525177002
2000,9,2,19.8562519073486,15.5900089263916,11.1400089263916
2000,9,3,20.8050037384033,17.1262531280518,12.766255569458
2000,9,4,23.7200031280518,22.5900043487549,16.0312519073486
2000,9,5,22.0700061798096,18.9437534332275,14.6062534332275
2000,9,6,20.0687549591064,16.2637561798096,13.7062564849854
2000,10,1,19.6712589263916,15.9862552642822,12.390002822876
2000,10,2,20.40500831604,17.4162540435791,13.8662509918213
2000,10,3,13.0887546539307,8.78125779628754,5.39875335693359
2000,10,4,15.7462574005127,11.4400150299072,7.70500648021698
2000,10,5,16.427502822876,12.9050006389618,10.7750049114227
2000,10,6,11.9489663441976,7.49792003631592,4.29063183069229
2000,11,1,13.1237567901611,10.2437578678131,8.81126580834389
2000,11,2,9.00000627487898,5.50125284641981,3.92875674813986
2000,11,3,6.46750954389572,3.2037597566843,1.45126032561066
2000,11,4,5.54125362038612,1.60750425159931,-1.23623813688755
2000,11,5,8.84376087188721,6.18500217795372,4.51375885605812
2000,11,6,7.99625263214111,4.29500722885132,1.40625913171098
2000,12,1,7.00375981330872,3.59625693887474,0.436253340542316
2000,12,2,8.09500904977322,4.78750611245632,2.89000693559647
2000,12,3,3.19625546224415,0.796258473396301,-1.99874265938997
2000,12,4,4.96125026941299,1.34875485040247,-0.293743924424052
2000,12,5,5.25500484593213,3.12500450350344,-0.0349976086057723
2000,12,6,3.43750399723649,0.373958801462625,-0.819787118351087
2001,1,1,3.2187514603138,0.38500512689352,-1.78624271452427
2001,1,2,1.35126036778092,-1.51749272197485,-1.70124362260103
2001,1,3,-3.09124447479844,-5.95249772071838,-8.59624544531107
2001,1,4,1.5575042206794,0.231249967217445,-1.60999450655654
2001,1,5,1.1400085080415,-2.15999455235897,-2.26624759584665
2001,1,6,0.0625078481932443,-1.71145734935999,-4.53020963072777
2001,2,1,2.15250851400197,-0.349992385208589,-2.84623717926443
2001,2,2,1.25250850021839,-1.77124635726213,-3.2512451261282
2001,2,3,2.29375606030226,-1.26499793529511,-4.33749546259642
2001,2,4,5.75250708311796,4.03000029176474,2.49000694155693
2001,2,5,4.51875468194485,1.79625399708748,0.888751225173473
2001,2,6,5.58125706513723,2.07292324304581,-0.487493906791012
2001,3,1,8.51999990940094,5.76375287026167,1.4787581730634
2001,3,2,4.76125340163708,1.62125847786665,-2.42499387413263
2001,3,3,8.80250718593597,7.17875834703445,4.59875038154423
2001,3,4,11.5587542295456,9.75126061439514,5.09625404477119
2001,3,5,12.6187594890594,11.8300067186356,8.32625293731689
2001,3,6,7.7625049551328,4.66562808832775,1.04896058018009
2001,4,1,11.4600101232529,9.8000063419342,8.98875756263733
2001,4,2,13.3912586212158,11.3574999809265,8.17250845432281
2001,4,3,13.9712512969971,11.6987536668777,5.62000124156475
2001,4,4,16.8537525177002,15.6800036668777,12.1050067663193
2001,4,5,13.2312595367432,10.4575046539307,6.48000643253326
2001,4,6,15.5825077056885,12.8550022125244,10.2137622117996
2001,5,1,18.7987522125244,17.2237537384033,12.8412570953369
2001,5,2,18.8612567901611,16.5075046539307,11.8362552642822
2001,5,3,21.8125019073486,20.2212558746338,14.7600040435791
2001,5,4,23.8700031280518,22.5800022125244,17.0737522125244
2001,5,5,23.0412586212158,20.8837543487549,16.5425052642822
2001,5,6,22.3468774159749,19.3479188283284,14.1125062306722
2001,6,1,23.3062564849854,20.3775074005127,15.2300022125244
2001,6,2,23.4937595367432,20.8525074005127,17.3362613677979
2001,6,3,22.8250110626221,19.4500049591064,15.7100070953369
2001,6,4,24.6800037384033,22.7100040435791,18.741255569458
2001,6,5,22.4775043487549,19.6287586212158,16.2250080108643
2001,6,6,26.5650043487549,24.6437519073486,20.6337589263916
2001,7,1,27.9200061798096,26.6862537384033,22.391255569458
2001,7,2,26.7112567901611,24.2725025177002,21.0012561798096
2001,7,3,26.2550067901611,23.6237567901611,20.2975025177002
2001,7,4,26.8900089263916,23.64875831604,19.146252822876
2001,7,5,27.9987613677979,26.9312549591064,22.3187549591064
