year,month,hou,1000hPa_air,925hPa_air,850hPa_air
2000,1,1,21.153755569458,16.7850116729736,13.6200031280518
2000,1,2,21.7850040435791,17.4650012969971,14.1025058746338
2000,1,3,21.5400104522705,17.4012546539307,14.4500080108643
2000,1,4,16.1900043487549,11.7725054740906,8.63750932216644
2000,1,5,18.8075016021729,14.4512561559677,10.6087558269501
2000,1,6,12.2156327168147,7.911466345191,3.91042479872704
2000,2,1,17.4200092315674,13.2062564373016,10.156257891655
2000,2,2,17.7275043487549,13.5475070953369,10.1412509202957
2000,2,3,22.4862552642822,18.253755569458,14.958752822876
2000,2,4,22.9287586212158,18.6025043487549,15.1662586212158
2000,2,5,21.9850086212158,17.6937549352646,14.0850024700165
2000,2,6,13.2484474182129,8.82032373547554,5.33750493079424
2000,3,1,19.5250049591064,15.4925067663193,12.2000110149384
2000,3,2,23.5050052642822,19.3050098419189,15.5725040435791
2000,3,3,24.0512516021729,19.9475040435791,16.4075031280518
2000,3,4,25.1500049591064,20.8975086212158,17.3887577056885
2000,3,5,25.3149997711182,21.015002822876,17.0387546539307
2000,3,6,24.7510471343994,20.6052150726318,16.4937559763591
2000,4,1,26.40500831604,22.2187595367432,18.2887531280518
2000,4,2,25.3662525177002,21.1687549591064,17.7000141143799
2000,4,3,24.590002822876,20.5175113677979,16.9412570953369
2000,4,4,26.7337512969971,22.4524997711182,18.1737567901611
2000,4,5,28.2150043487549,24.0912601470947,20.2725040435791
2000,4,6,27.0075061798096,22.791255569458,18.5750080108643
2000,5,1,27.0850070953369,22.74875831604,18.4337574005127
2000,5,2,28.4112567901611,24.0837543487549,19.9387531280518
2000,5,3,27.7837543487549,23.4900119781494,19.0725070953369
2000,5,4,24.8662525177002,20.5475040435791,16.0562564849854
2000,5,5,27.7575107574463,23.4250019073486,19.0000003814697
2000,5,6,29.6031322479248,25.3802140553792,20.9916718800863
2000,6,1,29.9362567901611,25.5362552642822,21.0662494659424
2000,6,2,30.0737567901611,25.8262577056885,21.4612506866455
2000,6,3,27.0250064849854,22.7925067901611,18.2837512969971
2000,6,4,28.652502822876,24.2912570953369,19.7175067901611
2000,6,5,29.7662525177002,25.5625080108643,21.1250034332275
2000,6,6,29.3825092315674,25.1262592315674,20.7062519073486
2000,7,1,29.93000831604,25.7087543487549,21.6212589263916
2000,7,2,29.8037586212158,25.6775074005127,21.3625019073486
2000,7,3,29.6562519073486,25.3487552642822,20.8300052642822
2000,7,4,29.8125064849854,25.5912586212158,21.4862552642822
2000,7,5,29.3225086212158,25.094998550415,20.6175037384033
2000,7,6,29.8020890553792,25.6229241689046,21.6895885467529
2000,8,1,29.4725086212158,25.2600070953369,20.9687564849854
2000,8,2,28.8912570953369,24.7500095367432,20.3925067901611
2000,8,3,29.7937610626221,25.6162540435791,21.7112628936768
2000,8,4,29.5575107574463,25.3862552642822,21.2125080108643
2000,8,5,30.0625019073486,25.8475086212158,21.7812519073486
2000,8,6,29.2739658355713,25.1416683197021,20.7114645640055
2000,9,1,29.4100040435791,25.1675052642822,20.8887577056885
2000,9,2,27.5650104522705,23.2749988555908,18.7187580108643
2000,9,3,26.3425022125244,22.0812580108643,17.5500095367432
2000,9,4,26.0850025177002,21.8325107574463,17.4937595367432
2000,9,5,27.2525074005127,22.8962574005127,18.7674991607666
2000,9,6,27.8087543487549,23.4112552642822,19.0400058746338
2000,10,1,27.0112598419189,22.7100086212158,18.497505569458
2000,10,2,26.8437564849854,22.4825092315674,18.2537525177002
2000,10,3,23.8025089263916,19.5312519073486,15.2775058746338
2000,10,4,23.64250831604,19.4475070953369,15.2162570953369
2000,10,5,26.9625034332275,22.4525074005127,18.0225009918213
2000,10,6,23.3937549591064,18.9500077565511,14.6093794504801
2000,11,1,20.7812549591064,16.3875064849854,13.2424991607666
2000,11,2,22.8724979400635,18.5000049591064,14.9137531280518
2000,11,3,20.5000049591064,16.0375064849854,12.3062534093857
2000,11,4,19.0700031280518,14.7787570714951,10.8762545585632
2000,11,5,19.965002822876,15.633752822876,12.7687518835068
