year,month,hou,1000hPa_omega,925hPa_omega,850hPa_omega
2000,1,1,0.149685549736023,0.140860533714294,0.11792299747467
2000,1,2,0.0438229560852051,0.0416354656219482,0.0213230609893799
2000,1,3,0.00562305450439453,0.00474793910980225,-0.0064394474029541
2000,1,4,-0.0583394765853882,-0.0619894981384277,-0.055802059173584
2000,1,5,-0.024214506149292,-0.0320145845413208,-0.0374021053314209
2000,1,6,-0.125970800717672,-0.124127010504405,-0.107158263524373
2000,2,1,-0.0433520793914795,-0.0435644388198853,-0.0222144603729248
2000,2,2,-0.0289020538330078,-0.0326519966125488,-0.012439489364624
2000,2,3,-0.0199520587921143,-0.0215894222259521,-0.0270019769668579
2000,2,4,-0.0253395557403564,-0.0269270181655884,-0.0287895202636719
2000,2,5,-0.0652770280838013,-0.067839503288269,-0.0556020736694336
2000,2,6,-0.0915175080299377,-0.0934707224369049,-0.06711146235466
2000,3,1,-0.0559770345687866,-0.0570144653320312,-0.0391395330429077
2000,3,2,-0.0895896196365356,-0.0936269760131836,-0.0968895196914673
2000,3,3,-0.0493770837783813,-0.0501019954681396,-0.0297019958496094
2000,3,4,-0.0548894882202148,-0.0566020250320435,-0.0512019634246826
2000,3,5,-0.0277520179748535,-0.026739501953125,-0.0311519384384155
2000,3,6,0.0568417310714722,0.0578521490097046,0.0523104667663574
2000,4,1,-0.0797895193099976,-0.0861645936965942,-0.0825270175933838
2000,4,2,-0.0571645021438599,-0.0535145282745361,-0.0351895332336426
2000,4,3,0.0253479480743408,0.0235479831695557,0.0421979904174805
2000,4,4,0.000835537910461426,0.00242302417755127,-0.000689506530761719
2000,4,5,-0.074164605140686,-0.0745645523071289,-0.0579769849777222
2000,4,6,-0.0594645977020264,-0.0625394582748413,-0.0428645133972168
2000,5,1,0.0205728530883789,0.0205980062484741,0.0385604381561279
2000,5,2,-0.0478644371032715,-0.051051926612854,-0.0503644704818726
2000,5,3,0.0233229637145996,0.0234978914260864,0.00981049537658691
2000,5,4,-0.025602126121521,-0.0214020490646362,-0.010139536857605
2000,5,5,-0.0799896001815796,-0.0720145225524902,-0.0560521125793457
2000,5,6,-0.0616583625475566,-0.0576999187469482,-0.0471062064170837
2000,6,1,-0.088764476776123,-0.0850520849227905,-0.101339602470398
2000,6,2,-0.123164510726929,-0.118776941299438,-0.0972643613815308
2000,6,3,-0.0865020513534546,-0.0832645654678345,-0.0481270790100098
2000,6,4,-0.0707770824432373,-0.0670770645141602,-0.0664895296096802
2000,6,5,-0.0708895921707153,-0.0614896059036255,-0.0853645086288452
2000,6,6,-0.0662145137786865,-0.0597895622253418,-0.0588021278381348
2000,7,1,-0.0721520185470581,-0.0719769239425659,-0.0768020868301392
2000,7,2,-0.0790270328521729,-0.0790895462036133,-0.0871645450592041
2000,7,3,-0.0211020231246948,-0.016289496421814,-0.0146645784378052
2000,7,4,-0.0442019939422607,-0.0386770963668823,-0.036989688873291
2000,7,5,-0.0160769939422607,-0.0096271276473999,0.00699803829193115
2000,7,6,-0.0320748686790466,-0.0242833097775777,-0.0181061824162801
2000,8,1,-0.122626924514771,-0.121439599990845,-0.122851943969727
2000,8,2,-0.0558896064758301,-0.0513395071029663,-0.0459769725799561
2000,8,3,-0.0392646551132202,-0.037139630317688,-0.0434645652770996
2000,8,4,-0.0737020969390869,-0.0704645395278931,-0.0826769113540649
2000,8,5,-0.0905395269393921,-0.0971395492553711,-0.0892895460128784
2000,8,6,-0.0324395696322123,-0.0359291434288025,-0.030627171198527
2000,9,1,-0.0924395799636841,-0.0926270246505737,-0.0919895172119141
2000,9,2,-0.090652060508728,-0.095427131652832,-0.0973396062850952
2000,9,3,-0.0336771011352539,-0.0363521099090576,-0.0442770957946777
2000,9,4,-0.0032020092010498,-0.000377035140991211,0.0165479898452759
2000,9,5,-0.101526975631714,-0.103514695167541,-0.101039624214172
2000,9,6,-0.120052051544189,-0.127526998519897,-0.140627026557922
2000,10,1,-0.0383894681930542,-0.0401144504547119,-0.0228020429611206
2000,10,2,-0.103514575958252,-0.106639623641968,-0.103814554214478
2000,10,3,-0.0928769588470459,-0.103964519500732,-0.131852006912231
2000,10,4,-0.078427004814148,-0.0776270389556885,-0.039976978302002
2000,10,5,-0.0643769264221191,-0.0675646066665649,-0.0833270311355591
2000,10,6,-0.00887699921925863,-0.0126687288284302,-0.00997082392374674
2000,11,1,0.0137853860855103,0.00824790000915527,0.0305854082107544
2000,11,2,-0.0856020450592041,-0.09665207862854,-0.117576956748962
2000,11,3,-0.0520019054412842,-0.0624770164489746,-0.0474769830703735
2000,11,4,-0.0105895042419434,-0.0204894065856934,-0.00882699489593506
