year,month,hou,1000hPa_rhum,925hPa_rhum,850hPa_rhum
2000,1,1,69.650013923645,67.5125137329102,64.8875133514404
2000,1,2,84.9625152587891,84.9500152587891,83.5625152587891
2000,1,3,87.3625152587891,87.6125152587891,87.2500152587891
2000,1,4,79.0750152587891,80.4000152587891,80.4625152587891
2000,1,5,86.2000152587891,86.2125152587891,87.6125152587891
2000,1,6,80.69793176651,80.22918176651,82.57293176651
2000,2,1,76.9875146865845,78.1875146865845,79.5500150680542
2000,2,2,64.3125120162964,64.9500118255615,68.0500122070312
2000,2,3,73.9625137329102,74.4125137329102,75.5750137329102
2000,2,4,82.4000152587891,81.9625152587891,81.7125152587891
2000,2,5,78.0750144958496,77.8500143051147,75.962513923645
2000,2,6,67.3437626361847,66.3906376361847,69.4218871593475
2000,3,1,79.9250141143799,79.5625143051147,80.5375148773193
2000,3,2,85.8500150680542,85.4750150680542,85.6000150680542
2000,3,3,83.8125148773193,83.1375148773193,79.0000152587891
2000,3,4,74.7625143051147,73.8625143051147,71.5000144958496
2000,3,5,68.7250123977661,67.5875123977661,66.0250120162964
2000,3,6,54.0208422342936,51.7604247728984,49.8437582651774
2000,4,1,80.9625143051148,80.0750143051147,75.7125141143799
2000,4,2,76.1625137329102,75.6875133514404,74.1375135421753
2000,4,3,64.3750116348267,63.7250116348267,60.8625118255615
2000,4,4,64.7875122070313,63.9875120162964,61.6875127792358
2000,4,5,71.5375131607056,70.7250131607056,68.7000123977661
2000,4,6,67.537512588501,64.7500120162964,62.8375116348267
2000,5,1,57.4125112533569,54.7125106811523,50.3875091552734
2000,5,2,75.4000141143799,74.200013923645,68.5500137329102
2000,5,3,62.1000114440918,59.9000110626221,54.550009727478
2000,5,4,59.6375101089478,56.6625099182129,52.0875074386597
2000,5,5,68.0125120162964,66.8625120162964,63.4875110626221
2000,5,6,83.1875144640605,82.7604311307271,75.4583470026652
2000,6,1,94.7875152587891,94.2000152587891,88.9125152587891
2000,6,2,83.4625141143799,83.2375141143799,79.2750141143799
2000,6,3,72.9125135421753,71.8750135421753,65.1000135421753
2000,6,4,88.8000148773193,87.0500148773193,74.9750146865845
2000,6,5,94.8375152587891,94.6375152587891,87.4000152587891
2000,6,6,92.5375152587891,91.9625152587891,83.6250150680542
2000,7,1,92.1000152587891,91.6000152587891,84.4750152587891
2000,7,2,89.0500152587891,88.0125152587891,75.5125152587891
2000,7,3,94.8375152587891,94.4625152587891,86.9500152587891
2000,7,4,89.2875152587891,88.8000152587891,73.2125152587891
2000,7,5,84.8250152587891,84.2375152587891,68.8250152587891
2000,7,6,75.3333471616109,72.8437636693319,57.5312614440918
2000,8,1,89.3375150680542,88.8500150680542,86.9000152587891
2000,8,2,90.7750152587891,89.9500152587891,80.2500152587891
2000,8,3,87.1750152587891,86.1000152587891,75.3000152587891
2000,8,4,90.1625152587891,89.4250152587891,83.0875152587891
2000,8,5,85.1125152587891,83.7125152587891,79.3250152587891
2000,8,6,86.1145985921224,85.0104319254557,75.3750152587891
2000,9,1,87.6000152587891,86.2625152587891,77.7500152587891
2000,9,2,88.1625152587891,88.0375152587891,88.8750152587891
2000,9,3,73.5375133514404,68.4375129699707,67.6250133514404
2000,9,4,81.9625148773193,77.2125148773193,60.737512588501
2000,9,5,96.8125152587891,95.6250152587891,88.3750152587891
2000,9,6,98.5000152587891,98.0000152587891,96.5750152587891
2000,10,1,95.0375152587891,93.2750152587891,86.1125152587891
2000,10,2,94.1875152587891,93.0000152587891,86.3250152587891
2000,10,3,92.0500152587891,92.3750152587891,92.2500152587891
2000,10,4,94.0500152587891,94.0500152587891,89.9000152587891
2000,10,5,95.3250152587891,95.1625152587891,94.9000152587891
2000,10,6,84.7395984331767,83.052098274231,76.2708474795024
2000,11,1,75.6500150680542,72.8500150680542,63.5375129699707
2000,11,2,88.7750152587891,88.2625152587891,87.5250152587891
2000,11,3,89.8500152587891,89.3500152587891,86.7250152587891
