year,month,hou,本候灯下白背飞虱虫量（头）,本侯灯下褐飞虱虫量（头）,本候灯下稻飞虱合计
2001,4,2,0,0,0.0
2001,4,3,0,0,0.0
2001,4,4,0,0,0.0
2001,4,5,0,0,0.0
2001,4,6,0,0,0.0
2001,5,1,4,1,5.0
2001,5,2,1,0,1.0
2001,5,3,4,0,4.0
2001,5,4,4,0,4.0
2001,5,5,6,0,6.0
2001,5,6,9,0,9.0
2001,6,1,17,1,18.0
2001,6,2,7,1,8.0
2001,6,3,14,7,21.0
2001,6,4,12,8,20.0
2001,6,5,9,11,20.0
2001,6,6,9,18,27.0
2001,7,1,20,39,59.0
2001,7,2,5,17,22.0
2001,7,3,2,7,9.0
2001,7,4,8,20,28.0
2001,7,5,21,43,64.0
2001,7,6,17,40,57.0
2001,8,1,2,11,13.0
2001,8,2,4,9,13.0
2001,8,3,7,14,21.0
2001,8,4,0,1,1.0
2001,8,5,0,0,0.0
2001,8,6,2,5,7.0
2001,9,1,1,1,2.0
2001,9,2,2,0,2.0
2001,9,3,7,4,11.0
2001,9,4,6,3,9.0
2001,9,5,6,8,14.0
2001,9,6,21,10,31.0
2001,10,1,5,2,7.0
2001,10,2,0,1,1.0
2001,10,3,0,3,3.0
2001,10,4,16,33,49.0
2001,10,5,14,13,27.0
2001,10,6,68,102,170.0
2001,11,1,143,225,368.0
2002,4,2,1,0,1.0
2002,4,3,2,0,2.0
2002,4,4,3,0,3.0
2002,4,5,0,0,0.0
2002,4,6,3,0,3.0
2002,5,1,0,0,0.0
2002,5,2,3,7,10.0
2002,5,3,1,6,7.0
2002,5,4,9,5,14.0
2002,5,5,9,1,10.0
2002,5,6,1,9,10.0
2002,6,1,17,5,22.0
2002,6,2,6,0,6.0
2002,6,3,10,0,10.0
2002,6,4,31,3,34.0
2002,6,5,22,5,27.0
2002,6,6,11,11,22.0
2002,7,1,10,0,10.0
2002,7,2,10,55,65.0
2002,7,3,14,24,38.0
2002,7,4,9,20,29.0
2002,7,5,12,11,23.0
2002,7,6,8,11,19.0
2002,8,1,1,1,2.0
2002,8,2,0,0,0.0
2002,8,3,4,0,4.0
2002,8,4,20,0,20.0
2002,8,5,6,0,6.0
