year,month,hou,本候灯下白背飞虱虫量（头）,本侯灯下褐飞虱虫量（头）,本候灯下稻飞虱合计
2001,4,4,2,0,2
2001,4,5,3,2,5
2001,4,6,15,2,17
2001,5,1,86,9,95
2001,5,2,120,3,123
2001,5,3,314,12,326
2001,5,4,276,22,298
2001,5,5,683,43,726
2001,5,6,324,21,345
2001,6,1,3679,87,3766
2001,6,2,9355,56,9411
2001,6,3,2037,13,2050
2001,6,4,141,12,153
2001,6,5,70,17,87
2001,6,6,357,290,647
2001,7,1,32,83,115
2001,7,2,12,7,19
2001,7,3,396,649,1045
2001,7,4,472,288,760
2001,7,5,282,608,890
2001,7,6,357,290,647
2001,8,1,32,83,115
2001,8,2,7,12,19
2001,8,3,17,147,164
2001,8,4,21,46,67
2001,8,5,2,2,4
2001,8,6,112,12,124
2001,9,1,287,24,311
2001,9,2,401,49,450
2001,9,3,59,42,101
2001,9,4,63,16,79
2001,9,5,180,65,245
2001,9,6,155,59,214
2001,10,1,156,402,558
2001,10,2,269,515,784
2001,10,3,207,555,762
2001,10,4,226,1777,2003
2002,4,4,5,1,6
2002,4,5,35,10,45
2002,4,6,10,7,17
2002,5,1,9,17,26
2002,5,2,9,7,16
2002,5,3,173,5,178
2002,5,4,1213,8,1221
2002,5,5,1365,0,1365
2002,5,6,313,1,314
2002,6,1,158,4,162
2002,6,2,171,3,174
2002,6,3,247,5,252
2002,6,4,2608,29,2637
2002,6,5,24,4,28
2002,6,6,3,0,3
2002,7,1,0,2,2
2002,7,2,12,7,19
2002,7,3,84,2,86
2002,7,4,100,18,118
2002,7,5,64,109,173
2002,7,6,131,38,169
2002,8,1,42,51,93
2002,8,2,12,0,12
2002,8,3,967,17,984
2002,8,4,82,3,85
2002,8,5,54,12,66
2002,8,6,17,0,17
2002,9,1,3296,2,3298
2002,9,2,479,3,482
2002,9,3,189,13,202
2002,9,4,74,7,81
2002,9,5,249,234,483
2002,9,6,232,81,313
2002,10,1,1093,177,1270
2002,10,2,262,19,281
2002,10,3,20,0,20
2002,10,4,67,25,92
2003,4,4,14,0,14
2003,4,5,226,6,232
2003,4,6,154,5,159
2003,5,1,104,5,109
2003,5,2,68,0,68
2003,5,3,1698,7,1705
2003,5,4,19781,12,19793
2003,5,5,4342,2,4344
2003,5,6,381,1,382
2003,6,1,297,0,297
2003,6,2,6058,4,6062
2003,6,3,8783,44,8827
2003,6,4,553,5,558
2003,6,5,116,4,120
2003,6,6,65,2,67
2003,7,1,3,0,3
2003,7,2,6,5,11
2003,7,3,6,6,12
2003,7,4,10,34,44
2003,7,5,24,69,93
2003,7,6,13,32,45
2003,8,1,29,18,47
2003,8,2,9,22,31
2003,8,3,1,3,4
2003,8,4,2,32,34
2003,8,5,31,43,74
2003,8,6,17,2,19
2003,9,1,37,2,39
2003,9,2,134,60,194
2003,9,3,124,113,237
2003,9,4,172,571,743
2003,9,5,82,55,137
