year,month,hou,1000hPa_air,925hPa_air,850hPa_air
2000,1,1,21.0675006866455,17.4637546539307,14.8825107574463
2000,1,2,21.5212574005127,18.4012577056885,15.5287525177002
2000,1,3,22.3825077056885,19.8962604522705,15.9387546539307
2000,1,4,18.8025058746338,14.4500019073486,11.5787585735321
2000,1,5,20.6400104522705,16.8375003814697,13.8362567901611
2000,1,6,16.2375087738037,10.9125066598256,9.26250384251277
2000,2,1,18.0787479400635,14.0125079870224,11.4962512731552
2000,2,2,18.5425006866455,13.7562580108643,11.2300052642822
2000,2,3,20.2162525177002,17.3700061798096,14.2275074005127
2000,2,4,21.7162586212158,19.1712558746338,15.891255569458
2000,2,5,20.4487552642822,18.5087589263916,16.4425022125244
2000,2,6,16.8328170776367,12.2828216254711,11.5140666663647
2000,3,1,20.1225086212158,16.8837543487549,16.0987567901611
2000,3,2,21.4837497711182,18.2112491607666,15.8800037384033
2000,3,3,22.7300052642822,20.8087574005127,17.3087574005127
2000,3,4,23.0187534332275,20.3062564849854,17.077502822876
2000,3,5,22.9600009918213,19.2462558746338,16.040002822876
2000,3,6,23.2510445912679,18.9385458628337,16.226048151652
2000,4,1,25.0375064849854,23.2587589263916,19.1112598419189
2000,4,2,25.108752822876,21.3512546539307,17.8112567901611
2000,4,3,25.8775074005127,22.3250034332275,18.1762561798096
2000,4,4,25.24875831604,20.9750064849854,17.1962604522705
2000,4,5,27.3900043487549,24.6887592315674,19.9637546539307
2000,4,6,27.1375080108643,24.6187580108643,20.346252822876
2000,5,1,27.18000831604,24.0537601470947,19.610005569458
2000,5,2,27.6837543487549,23.2737537384033,18.8700061798096
2000,5,3,26.8837558746338,22.2075077056885,18.3112552642822
2000,5,4,26.916255569458,22.5062580108643,18.3762546539307
2000,5,5,27.1087589263916,22.7112552642822,18.7750080108643
2000,5,6,28.3812567392985,24.6177158355713,20.1614678700765
2000,6,1,27.9062564849854,23.7637607574463,19.6987552642822
2000,6,2,29.0600025177002,25.3325046539307,20.6637531280518
2000,6,3,27.7187564849854,23.3162570953369,18.9412570953369
2000,6,4,27.4725070953369,23.4062580108643,19.1537509918213
2000,6,5,28.4337604522705,24.3075031280518,20.06125831604
2000,6,6,28.2437534332275,23.6275058746338,19.3637561798096
2000,7,1,28.440002822876,23.4687534332275,19.4875003814697
2000,7,2,29.0025043487549,24.3250095367432,20.3487567901611
2000,7,3,27.6375034332275,22.653755569458,18.9475086212158
2000,7,4,28.7200092315674,23.9312564849854,20.0137607574463
2000,7,5,28.2712543487549,24.0862522125244,19.7250003814697
2000,7,6,29.0510501861572,25.0333372751872,20.508337020874
2000,8,1,29.2650043487549,25.3425037384033,20.6500034332275
2000,8,2,27.8637592315674,23.5987552642822,19.2450046539307
2000,8,3,29.3650058746338,25.3000034332275,20.6187564849854
2000,8,4,29.0637592315674,24.260005569458,19.8937549591064
2000,8,5,28.7325031280518,23.9787586212158,19.9287570953369
2000,8,6,29.1239681243896,24.9010461171468,20.771879196167
2000,9,1,27.9712543487549,24.0587451934814,19.8562564849854
2000,9,2,27.4187564849854,22.6950046539307,18.7625095367432
2000,9,3,26.6537570953369,21.4200077056885,16.5212512969971
2000,9,4,25.7700077056885,21.1700046539307,16.9600009918213
2000,9,5,26.1300037384033,22.0850086212158,17.997505569458
2000,9,6,26.2175052642822,21.9787570953369,18.24875831604
2000,10,1,26.2862506866455,22.1837574005127,18.2812580108643
2000,10,2,26.8287540435791,21.8862567901611,18.1600040435791
2000,10,3,26.241255569458,21.4462589263916,17.9262577056885
2000,10,4,26.0762561798096,21.3112567901611,17.7287494659424
2000,10,5,25.866255569458,22.2075046539307,18.2512577056885
2000,10,6,24.4437580108643,19.2041708628337,16.1895898183187
2000,11,1,22.266255569458,16.835005569458,13.6450031280518
2000,11,2,23.7825016021729,19.61125831604,15.4462558746338
2000,11,3,22.7875049591064,18.3175098419189,15.4550067901611
2000,11,4,22.7287540435791,17.8975040435791,15.4562534332275
2000,11,5,22.1625049591064,17.7762531280518,15.3475025177002
2000,11,6,23.6162540435791,19.6562549591064,15.5662540435791
2000,12,1,21.8874988555908,16.82375831604,14.0662540435791
2000,12,2,23.2562519073486,18.8950061798096,14.5962558746338
2000,12,3,20.3775058746338,16.2025074005127,14.5475025177002
