year,month,hou,本候灯下白背飞虱虫量（头）,本侯灯下褐飞虱虫量（头）,本候灯下稻飞虱合计
2001,4,6,8,3,11.0
2001,5,1,30,17,47.0
2001,5,2,12,10,22.0
2001,5,3,59,23,82.0
2001,5,4,192,71,263.0
2001,5,5,282,95,377.0
2001,5,6,477,122,599.0
2001,6,1,564,78,642.0
2001,6,2,64,16,80.0
2001,6,3,8,1,9.0
2001,6,4,34,52,86.0
2001,6,5,40,38,78.0
2001,6,6,32,22,54.0
2001,8,6,62,103,165.0
2001,9,1,48,74,122.0
2001,9,2,410,812,1222.0
2001,9,3,338,464,802.0
2001,9,4,318,366,684.0
2001,9,5,694,752,1446.0
2001,9,6,405,376,781.0
2001,10,1,3966,4464,8430.0
2001,10,2,7930,4200,12130.0
2001,10,3,330,496,826.0
2001,10,4,73,100,173.0
2001,10,5,268,450,718.0
2002,5,4,196,36,232.0
2002,5,5,74,24,98.0
2002,5,6,20,40,60.0
2002,6,1,14,20,34.0
2002,6,2,44,24,68.0
2002,6,3,33,21,54.0
2002,6,4,26,13,39.0
2002,6,5,15,10,25.0
2002,6,6,17,13,30.0
2002,8,5,31,24,55.0
2002,8,6,37,36,73.0
2002,9,1,74,50,124.0
2002,9,2,96,66,162.0
2002,9,3,196,165,361.0
2002,9,4,0,0,0.0
2002,9,5,22,60,82.0
2002,9,6,84,68,152.0
2002,10,1,52,32,84.0
2002,10,2,22,12,34.0
2002,10,3,24,18,42.0
2002,10,4,138,210,348.0
2003,4,5,15,6,21.0
2003,6,6,25,17,42.0
2003,5,1,34,10,44.0
2003,5,2,51,27,78.0
2003,5,3,26,7,33.0
2003,5,4,97,38,135.0
2003,5,5,58,14,72.0
2003,5,6,56,20,76.0
2003,6,1,109,70,179.0
2003,6,2,317,102,419.0
2003,6,3,1102,218,1320.0
2003,6,4,202,50,252.0
2003,6,5,68,68,136.0
2003,6,6,55,48,103.0
2003,8,5,15,55,70.0
2003,8,6,25,28,53.0
2003,9,1,237,107,344.0
2003,9,2,430,189,619.0
2003,9,3,297,180,477.0
2003,9,4,255,157,412.0
2003,9,5,179,121,300.0
2003,9,6,31,21,52.0
2003,10,1,81,22,103.0
2003,10,2,100,59,159.0
2003,10,3,59,53,112.0
2003,10,4,17,42,59.0
2004,4,6,25,9,34.0
2004,5,1,41,7,48.0
2004,5,2,13,7,20.0
2004,5,3,62,13,75.0
2004,5,4,90,27,117.0
2004,5,5,56,22,78.0
2004,5,6,32,15,47.0
2004,6,1,165,81,246.0
2004,6,2,230,109,339.0
2004,6,3,93,31,124.0
2004,6,4,117,57,174.0
2004,6,5,47,24,71.0
2004,6,6,115,25,140.0
2004,8,5,12,2,14.0
2004,8,6,24,17,41.0
2004,9,1,81,46,127.0
2004,9,2,104,60,164.0
2004,9,3,51,34,85.0
2004,9,4,44,37,81.0
2004,9,5,64,42,106.0
2004,9,6,116,78,194.0
2004,10,1,558,518,1076.0
2004,10,2,73,32,105.0
