year,month,hou,本候灯下白背飞虱虫量（头）,本侯灯下褐飞虱虫量（头）,本候灯下稻飞虱合计
2002,8,1,,1,
2002,8,3,,1,
2002,8,3,,2,
2002,8,4,,1,
2002,8,4,,1,
2002,8,4,,1,
2002,8,5,,12,
2002,8,5,,29,
2002,8,5,,37,
2002,8,5,,8,
2002,8,5,,16,
2002,8,6,,4,
2002,8,6,,1,
2002,8,6,,3,
2002,8,6,,5,
2002,8,6,,7,
2002,8,6,,6,
2002,9,1,,9,
2002,9,1,,12,
2002,9,1,,10,
2002,9,1,,1,
2002,9,1,,1,
2002,9,2,,1,
2002,9,2,,1,
2002,9,2,,1,
2002,9,3,,3,
2002,9,3,,3,
2003,5,4,1211,86,1297.0
2003,5,6,4,1,5.0
2003,5,5,8,0,8.0
2003,6,1,26,0,26.0
2003,6,2,22,0,22.0
2003,6,3,1455,5,1460.0
2003,6,4,30,0,30.0
2003,6,5,35,0,35.0
2003,6,6,27,0,27.0
2003,7,1,23,33,56.0
2003,7,2,20,14,34.0
2003,7,4,7,33,40.0
2003,7,3,13,48,61.0
2003,8,4,1,1,2.0
2003,8,5,10,21,31.0
2003,8,6,12,34,46.0
2003,9,1,6,4,10.0
2003,9,2,8,16,24.0
2003,9,3,0,1,1.0
2003,9,5,16,26,42.0
2004,7,3,18,4,22.0
2004,7,5,6,9,15.0
2004,8,1,7,9,16.0
2004,8,2,9,19,28.0
2004,8,3,16,19,35.0
2004,8,4,11,16,27.0
2004,8,4,1,0,1.0
2004,8,6,2,3,5.0
2004,9,1,0,0,0.0
2004,9,2,10,20,30.0
2004,9,4,21,41,62.0
2004,9,5,35,89,124.0
2004,9,6,8,7,15.0
2004,9,6,29,32,61.0
2004,10,2,0,0,0.0
2005,6,3,22,0,22.0
2005,6,4,60,0,60.0
2005,6,5,27,0,27.0
2005,6,6,227,3,230.0
2005,7,1,103,56,159.0
2005,7,2,29,19,48.0
2005,7,3,27,12,39.0
2005,7,4,52,14,66.0
2005,7,5,3,5,8.0
2005,7,6,11,14,25.0
2005,8,1,44,17,61.0
2005,8,2,7,17,24.0
2005,8,3,9,23,32.0
2005,8,4,19,32,51.0
2005,8,5,10,11,21.0
2005,8,6,8,7,15.0
2005,9,1,10,12,22.0
2005,9,2,5,14,19.0
2005,9,3,13,20,33.0
2005,9,4,21,41,62.0
2005,9,5,18,16,34.0
2005,9,6,13,41,54.0
2006,5,1,0,0,0.0
2006,5,2,5,0,5.0
2006,5,3,8,0,8.0
2006,5,4,16,0,16.0
2006,5,5,33,0,33.0
2006,5,6,46,0,46.0
2006,6,1,59,0,59.0
2006,6,2,74,0,74.0
2006,6,3,152,0,152.0
2006,6,4,250,18,268.0
2006,6,5,361,64,425.0
2006,6,6,135,53,188.0
2006,7,1,93,53,146.0
2006,7,2,61,2196,2257.0
2006,7,3,41,305,346.0
2006,7,4,64,78,142.0
2006,7,5,66,89,155.0
2006,7,6,63,93,156.0
2006,8,1,14,22,36.0
2006,8,2,33,27,60.0
2006,8,3,26,39,65.0
2006,8,4,25,38,63.0
2006,8,5,53,80,133.0
2006,8,6,57,73,130.0
2006,9,1,46,79,125.0
2006,9,2,13,22,35.0
2006,9,3,18,22,40.0
2006,9,4,22,53,75.0
2006,9,5,39,106,145.0
2006,9,6,33,81,114.0
2007,4,1,/,/,0.0
2007,4,1,1,/,1.0
2007,4,2,/,/,0.0
2007,4,2,/,/,0.0
2007,4,2,3,/,3.0
2007,4,2,3,/,3.0
2007,4,2,2,/,2.0
2007,4,3,2,/,2.0
2007,4,3,2,/,2.0
2007,4,3,停电,/,0.0
2007,4,3,3,/,3.0
2007,4,3,4,/,4.0
2007,4,4,7,/,7.0
2007,4,4,4,/,4.0
2007,4,4,2,/,2.0
2007,4,4,停电,/,0.0
2007,4,4,4,/,4.0
2007,4,5,5,/,5.0
2007,4,5,2,/,2.0
2007,4,5,3,/,3.0
2007,4,5,0,/,0.0
2007,4,5,3,/,3.0
2007,4,6,2,/,2.0
2007,4,6,9,/,9.0
2007,4,6,18,/,18.0
2007,4,6,14,/,14.0
2007,4,6,2,/,2.0
2007,5,1,5,/,5.0
2007,5,1,0,/,0.0
