year,month,hou,本候灯下白背飞虱虫量（头）,本侯灯下褐飞虱虫量（头）,本候灯下稻飞虱合计
2002.0,5.0,1,,1,
2002.0,5.0,3,,1,
2002.0,5.0,3,,45,
2002.0,6.0,2,,7,
2002.0,6.0,2,,23,
2002.0,6.0,2,,8,
2002.0,6.0,2,,32,
2002.0,6.0,2,,7,
2002.0,6.0,2,,4,
2002.0,6.0,3,,77,
2002.0,6.0,3,,15,
2002.0,6.0,3,,32,
2002.0,6.0,3,,14,
2002.0,6.0,3,,9,
2002.0,6.0,4,,37,
2002.0,6.0,4,,77,
2002.0,6.0,4,,15,
2002.0,6.0,5,,21,
2002.0,6.0,5,,11,
2002.0,6.0,5,,12,
2002.0,6.0,5,,2,
2002.0,6.0,5,,1,
2002.0,6.0,5,,1,
2002.0,6.0,6,,3,
2002.0,6.0,6,,3,
2002.0,7.0,4,,18,
2002.0,7.0,4,,15,
2002.0,7.0,4,,9,
2002.0,7.0,4,,7,
2002.0,7.0,4,,3,
2002.0,7.0,5,,12,
2002.0,7.0,5,,34,
2002.0,7.0,5,,42,
2002.0,7.0,5,,28,
2002.0,7.0,5,,36,
2002.0,7.0,6,,19,
2002.0,7.0,6,,19,
2002.0,7.0,6,,24,
2002.0,8.0,2,,2,
2002.0,8.0,4,,2,
2002.0,9.0,1,,2,
2002.0,9.0,1,,2,
2002.0,9.0,3,,3,
2002.0,9.0,5,,7,
2002.0,9.0,5,,29,
2002.0,9.0,6,,10,
2002.0,9.0,6,,4,
2002.0,9.0,6,,6,
2002.0,9.0,6,,1,
2002.0,9.0,6,,4,
2003.0,4.0,6,23,0,
2003.0,5.0,3,25,6,
2003.0,5.0,4,1520,103,
2003.0,5.0,5,106,11,
2003.0,5.0,6,10,0,
2003.0,6.0,1,119,3,
2003.0,6.0,2,778,146,
2003.0,6.0,3,279,44,
2003.0,6.0,4,42,4,
2003.0,6.0,5,838,74,
2003.0,6.0,6,161,36,
2003.0,7.0,1,212,27,
2003.0,8.0,4,26,181,
2003.0,8.0,5,161,73,
2003.0,8.0,6,1198,175,
2003.0,9.0,1,31,87,
2003.0,9.0,2,295,1600,
2003.0,9.0,3,97,1649,
2003.0,9.0,4,419,3367,
2003.0,9.0,6,203,2807,
2003.0,10.0,2,0,0,
2003.0,10.0,1,289,428,
2004.0,7.0,4,69,11,
2004.0,7.0,4,69,11,
2004.0,7.0,6,/,/,
2004.0,8.0,1,133,570,
2004.0,8.0,2,41,378,
2004.0,8.0,3,52,213,
2004.0,8.0,4,17,70,
2004.0,8.0,5,1,4,
2004.0,8.0,6,6,15,
2004.0,9.0,1,172,192,
2004.0,9.0,2,338,529,
2004.0,9.0,3,45,54,
2004.0,9.0,4,25,61,
2004.0,9.0,5,261,397,
2004.0,9.0,6,86,238,
2004.0,10.0,1,27,112,
2004.0,10.0,2,2,3,
2005.0,5.0,3,16,1,
2005.0,5.0,4,69,5,
2005.0,5.0,5,259,10,
2005.0,5.0,6,342,149,
2005.0,6.0,1,37,27,
2005.0,6.0,2,52,2,
2005.0,6.0,3,68,6,
2005.0,6.0,4,398,19,
2005.0,6.0,5,358,13,
2005.0,6.0,6,281,13,
2005.0,7.0,1,842,46,
2005.0,7.0,2,197,88,
2005.0,7.0,3,531,80,
2005.0,7.0,4,332,271,
2005.0,7.0,5,78,632,
2005.0,7.0,6,53,907,
2005.0,8.0,1,210,3194,
2005.0,8.0,2,296,3559,
2005.0,8.0,3,764,789,
2005.0,8.0,4,205,888,
2005.0,8.0,5,75,265,
2005.0,8.0,6,103,277,
2005.0,9.0,1,146,714,
2005.0,9.0,2,211,110,
2005.0,9.0,3,82,127,
2005.0,9.0,4,1085,4013,
2005.0,9.0,5,976,2760,
2005.0,9.0,6,3,424,
2006.0,5.0,1,31,10,41.0
2006.0,5.0,2,49,11,60.0
2006.0,5.0,3,19,2,21.0
2006.0,5.0,4,10,1,11.0
2006.0,5.0,5,142,9,151.0
2006.0,5.0,6,104,9,113.0
2006.0,6.0,1,112,6,118.0
2006.0,6.0,2,1725,50,1775.0
2006.0,6.0,3,1046,7,1053.0
2006.0,6.0,4,383,45,428.0
2006.0,6.0,5,448,48,496.0
2006.0,6.0,6,6550,5555,12105.0
2006.0,7.0,1,523,32023,32546.0
2006.0,7.0,2,2039,15460,17499.0
2006.0,7.0,3,266,1530,1796.0
2006.0,7.0,4,90,415,505.0
2006.0,7.0,5,154,204,358.0
2006.0,7.0,6,152,97,249.0
2006.0,8.0,1,129,12158,12287.0
2006.0,8.0,2,886,35200,36086.0
2006.0,8.0,3,685,50550,51235.0
2006.0,8.0,4,114,11730,11844.0
2006.0,8.0,5,502,5005,5507.0
2006.0,8.0,6,303,3686,3989.0
2006.0,9.0,1,76,1120,1196.0
2006.0,9.0,2,83,931,1014.0
2006.0,9.0,3,288,3042,3330.0
2006.0,9.0,4,92,693,785.0
2006.0,9.0,5,422,470,892.0
2006.0,9.0,6,90,222,312.0
2007.0,3.0,6,7,4,11.0
2007.0,3.0,6,3,2,5.0
2007.0,3.0,6,15,5,20.0
2007.0,3.0,6,6,6,12.0
2007.0,3.0,6,11,7,18.0
2007.0,3.0,6,5,1,6.0
2007.0,3.0,6,23,5,28.0
2007.0,3.0,6,1,0,1.0
2007.0,4.0,1,0,1,1.0
2007.0,4.0,1,5,1,6.0
2007.0,4.0,1,0,0,0.0
2007.0,4.0,1,1,0,1.0
2007.0,4.0,1,0,0,0.0
2007.0,4.0,2,0,0,0.0
2007.0,4.0,2,0,0,0.0
2007.0,4.0,2,0,1,1.0
