year,month,hou,本候灯下白背飞虱虫量（头）,本侯灯下褐飞虱虫量（头）,本候灯下稻飞虱合计
2001,5,1,1,0,1.0
2001,5,2,0,0,0.0
2001,5,3,0,0,0.0
2001,5,4,10,1,11.0
2001,5,5,2,4,6.0
2001,5,6,4,10,14.0
2001,6,1,7,27,34.0
2001,6,2,541,3,544.0
2001,6,3,2600,114,2714.0
2001,6,4,172,108,280.0
2001,6,5,13,24,37.0
2001,6,6,0,0,0.0
2001,7,1,5,14,19.0
2001,7,2,1,0,1.0
2001,7,3,0,0,0.0
2001,7,4,6,2,8.0
2001,8,3,5,3,8.0
2001,8,4,0,0,0.0
2001,8,5,1,1,2.0
2001,8,6,13,3,16.0
2001,9,1,8,1,9.0
2001,9,2,/,/,0.0
2001,9,3,5,1,6.0
2001,9,4,3,4,7.0
2001,9,5,1,2,3.0
2001,9,6,0,0,0.0
2001,10,1,19,7,26.0
2001,10,2,230,48,278.0
2001,10,3,206,121,327.0
2001,10,4,11,7,18.0
2001,10,5,4,11,15.0
2001,10,6,6,14,20.0
2001,11,1,102,67,169.0
2002,5,1,1,0,1.0
2002,5,2,5,0,5.0
2002,5,3,5,4,9.0
2002,5,4,3,34,37.0
2002,5,5,9,196,205.0
2002,5,6,3,11,14.0
2002,6,1,76,56,132.0
2002,6,2,3,35,38.0
2002,6,3,2,5,7.0
2002,6,4,269,128,397.0
2002,6,5,401,283,684.0
2002,6,6,26,26,52.0
2002,7,1,11,6,17.0
2002,7,2,2,2,4.0
2002,7,3,1,1,2.0
2002,7,4,2,0,2.0
2002,8,3,/,/,0.0
2002,8,4,0,4,4.0
2002,8,5,0,4,4.0
2002,8,6,39,25,64.0
2002,9,1,32,6,38.0
2002,9,2,13,3,16.0
2002,9,3,12,5,17.0
2002,9,4,9,6,15.0
2002,9,5,83,16,99.0
2002,9,6,121,10,131.0
2002,10,1,19,2,21.0
2002,10,2,57,16,73.0
2002,10,3,3,4,7.0
2002,10,4,8,6,14.0
2002,10,5,70,16,86.0
2002,10,6,2,7,9.0
2002,11,1,95,21,116.0
2003,5,1,1,0,1.0
2003,5,2,0,0,0.0
2003,5,3,14,0,14.0
2003,5,4,152,0,152.0
2003,5,5,125,0,125.0
2003,5,6,86,0,86.0
2003,6,1,42,0,42.0
2003,6,2,3,0,3.0
2003,6,3,164,0,164.0
2003,6,4,2602,7,2609.0
2003,6,5,1166,3,1169.0
2003,6,6,22,1,23.0
2003,7,1,5,1,6.0
2003,7,2,3,2,5.0
2003,7,3,10,4,14.0
2003,7,4,5,6,11.0
2003,7,5,-1,-1,-2.0
2003,7,6,-1,-1,-2.0
2003,8,1,-1,-1,-2.0
2003,8,2,19,4,23.0
2003,8,3,99,74,173.0
2003,8,4,24,9,33.0
2003,8,5,7,1,8.0
2003,8,6,42,2,44.0
2003,9,1,150,128,278.0
2003,9,2,31,23,54.0
2003,9,3,24,3,27.0
2003,9,4,84,241,325.0
2003,9,5,17,53,70.0
2003,9,6,137,310,447.0
2003,10,1,58,53,111.0
2003,10,2,54,48,102.0
2003,10,3,28,78,106.0
2003,10,4,31,94,125.0
2003,10,5,0,14,14.0
2003,10,6,2,2,4.0
2003,11,1,3,2,5.0
2004,5,1,1,0,1.0
2004,5,2,21,1,22.0
2004,5,3,2,0,2.0
2004,5,4,14,1,15.0
2004,5,5,7,0,7.0
2004,5,6,2,1,3.0
2004,6,1,346,0,346.0
2004,6,2,16,0,16.0
2004,6,3,5,0,5.0
2004,6,4,0,0,0.0
2004,6,5,84,1,85.0
2004,6,6,1583,3,1586.0
2004,7,1,42,8,50.0
2004,7,2,127,4,131.0
2004,7,3,1117,150,1267.0
2004,7,4,240,105,345.0
2004,8,3,218,8,226.0
2004,8,4,24,1,25.0
2004,8,5,97,51,148.0
2004,8,6,44,33,77.0
2004,9,1,6734,745,7479.0
2004,9,2,1214,591,1805.0
2004,9,3,17557,5393,22950.0
2004,9,4,277,397,674.0
2004,9,5,2564,1702,4266.0
2004,9,6,13106,12024,25130.0
2004,10,1,19287,4625,23912.0
2004,10,2,491,130,621.0
2004,10,3,154,30,184.0
2004,10,4,88,25,113.0
2004,10,5,68,32,100.0
2005,5,1,7,0,7.0
2005,5,2,42,0,42.0
2005,5,3,81,0,81.0
2005,5,4,667,0,667.0
2005,5,5,655,0,655.0
2005,5,6,174,2,176.0
2005,6,1,83,0,83.0
2005,6,2,1813,2,1815.0
2005,6,3,88,1,89.0
2005,6,4,879,1,880.0
2005,6,5,229,4,233.0
2005,6,6,48,48,96.0
2005,7,1,19,20,39.0
2005,7,2,20,20,40.0
2005,7,3,20,131,151.0
2005,7,4,10,58,68.0
2005,7,5,1,4,5.0
2005,7,6,256,311,567.0
2005,8,1,57,82,139.0
2005,8,2,4,80,84.0
2005,8,3,60,45,105.0
2005,8,4,107,9,116.0
2005,8,5,257,41,298.0
2005,8,6,418,1803,2221.0
2005,9,1,245,1203,1448.0
2005,9,2,139,209,348.0
2005,9,3,182,1729,1911.0
2005,9,4,88,826,914.0
2005,9,5,16,101,117.0
2005,9,6,25,67,92.0
2005,10,1,171,732,903.0
2005,10,2,35,413,448.0
2005,10,3,15,109,124.0
2005,10,4,14,253,267.0
2005,10,5,5,62,67.0
2005,10,6,1,27,28.0
2005,11,1,2,65,67.0
2006,5,1,4,0,4.0
2006,5,2,18,0,18.0
2006,5,3,62,0,62.0
2006,5,4,10,0,10.0
2006,5,5,9,0,9.0
2006,5,6,34,0,34.0
2006,6,1,96,0,96.0
2006,6,2,818,0,818.0
2006,6,3,1162,0,1162.0
2006,6,3,1599,17,1616.0
2006,6,5,468,10,478.0
2006,6,6,184,1,185.0
2006,6,6,94,5,99.0
2006,7,2,41,3,44.0
2006,7,3,5,1,6.0
2006,8,3,23,31,54.0
2006,8,4,16,64,80.0
2006,8,5,207,389,596.0
2006,8,6,103,51,154.0
2006,9,1,51,58,109.0
2006,9,2,427,611,1038.0
2006,9,3,21794,7994,29788.0
2006,9,4,723,210,933.0
2006,9,5,848,171,1019.0
2006,9,6,322,70,392.0
2006,10,1,196,71,267.0
2006,10,2,73,64,137.0
2006,10,3,149,119,268.0
2006,10,4,111,131,242.0
2006,10,5,143,207,350.0
2006,10,6,45,228,273.0
2006,11,1,12,47,59.0
2007,4,1,0,0,0.0
2007,4,1,0,0,0.0
2007,4,1,0,0,0.0
2007,4,1,0,0,0.0
2007,4,1,0,0,0.0
2007,4,2,0,0,0.0
2007,4,2,0,0,0.0
2007,4,2,0,0,0.0
2007,4,2,0,0,0.0
2007,4,2,0,0,0.0
2007,4,3,0,0,0.0
2007,4,3,0,0,0.0
2007,4,3,0,0,0.0
2007,4,3,0,0,0.0
2007,4,3,0,0,0.0
2007,4,4,0,0,0.0
2007,4,4,0,0,0.0
2007,4,4,0,0,0.0
2007,4,4,0,0,0.0
2007,4,4,0,0,0.0
2007,4,5,0,0,0.0
2007,4,5,0,0,0.0
2007,4,5,0,0,0.0
2007,4,5,0,1,1.0
2007,4,5,0,0,0.0
2007,4,6,0,0,0.0
2007,4,6,0,0,0.0
2007,4,6,0,0,0.0
2007,4,6,0,0,0.0
2007,4,6,0,0,0.0
2007,5,1,0,1,1.0
2007,5,1,0,0,0.0
2007,5,1,0,0,0.0
2007,5,1,0,0,0.0
2007,5,1,0,1,1.0
2007,5,2,1,1,2.0
2007,5,2,1,0,1.0
2007,5,2,0,0,0.0
2007,5,2,0,1,1.0
2007,5,2,0,0,0.0
2007,5,3,0,1,1.0
