year,month,hou,本候灯下白背飞虱虫量（头）,本侯灯下褐飞虱虫量（头）,本候灯下稻飞虱合计
2010,6,3,0,0,0
2010,6,4,0,0,0
2010,6,5,2,0,2
2010,6,6,16,0,16
2010,7,1,53,0,53
2010,7,2,28,0,28
2010,7,3,1,0,1
2010,7,4,10,3,13
2010,7,5,11,4,15
2010,7,6,15,6,21
2010,8,1,2,1,3
2010,8,2,12,13,25
2010,8,3,4,1,5
2010,8,4,42,62,104
2010,8,5,14,22,36
2010,8,6,7,10,17
2011,6,3,1,0,1
2011,6,4,0,0,0
2011,6,5,11,0,11
2011,7,1,2,0,2
2011,7,1,0,0,0
2011,7,2,25,0,25
2011,7,3,19,0,19
2011,7,4,35,6,41
2011,7,5,30,7,37
2011,7,6,25,13,38
2011,8,1,13,9,22
2011,8,2,24,20,44
2011,8,3,14,16,30
2011,8,4,25,28,53
2011,8,5,12,13,25
2011,8,6,14,23,37
2012,6,3,0,0,0
2012,6,4,3,0,3
2012,6,5,2,0,2
2012,6,6,0,0,0
2012,7,1,1,0,1
2012,7,2,7,0,7
2012,7,3,16,0,16
2012,7,4,0,0,0
2012,7,5,5,0,5
2012,7,6,11,2,13
2012,8,1,0,0,0
2012,8,2,16,6,22
2012,8,3,12,6,18
2012,8,4,177,76,253
2012,8,5,179,67,246
2012,8,6,46,13,59
2013,6,3,0,0,0
2013,6,4,4,0,4
2013,6,5,17,0,17
2013,6,6,15,0,15
2013,7,1,17,0,17
2013,7,2,24,0,24
2013,7,3,20,0,20
2013,7,4,4,0,4
2013,7,5,13,6,19
2013,7,6,16,6,22
2013,8,1,17,5,22
2013,8,2,14,4,18
2013,8,3,14,4,18
2013,8,4,6,2,8
2013,8,5,11,7,18
2013,8,6,17,10,27
2014,6,3,0,0,0
2014,6,4,1,0,1
2014,6,5,4,0,4
2014,6,6,12,0,12
2014,7,1,6,0,6
2014,7,2,16,0,16
2014,7,3,9,0,9
2014,7,4,17,0,17
2014,7,5,12,0,12
2014,7,6,10,2,12
2014,8,1,13,4,17
2014,8,2,17,10,27
2014,8,3,13,5,18
2014,8,4,6,7,13
2014,8,5,7,5,12
2014,8,6,2,5,7
2015,6,3,0,0,0
2015,6,4,9,0,9
2015,6,5,9,0,9
