year,month,hou,1000hPa_air,925hPa_air,850hPa_air
2000,1,1,8.35750598907471,7.56375437863171,6.5250091612339
2000,1,2,2.57500147223473,0.493754540663213,1.71500544846058
2000,1,3,0.291250600293279,-2.60124366283417,-1.97999120056629
2000,1,4,0.706257615983486,-1.94124912135303,-4.30125130414963
2000,1,5,-2.09749457240105,-4.09124448001385,-3.78499447824433
2000,1,6,-3.68124879151583,-6.15832871198654,-8.12812129656474
2000,2,1,-1.4449905693531,-4.44124150425196,-5.20124049931765
2000,2,2,4.02375633567572,1.7700103327632,-0.444998176395893
2000,2,3,7.9875031709671,5.23750600814819,2.01750790029764
2000,2,4,4.98500514030457,1.76375423260033,-0.39249270632863
2000,2,5,4.75124959945679,0.967509438097477,-2.60124213695526
2000,2,6,7.42344629764557,4.38125371932983,-0.571871183440095
2000,3,1,10.5750033855438,7.09500432014465,3.32625267356634
2000,3,2,9.22000300884247,5.87625577449799,1.67000730782747
2000,3,3,9.74375638961792,6.13000478744507,3.12625877857208
2000,3,4,12.9000080108643,10.410008597374,7.22500612735748
2000,3,5,12.6812519073486,9.60374937057495,5.71625514030457
2000,3,6,17.5260423024495,15.5427099863688,11.936464269956
2000,4,1,15.4337543487549,11.5800067901611,8.53375265598297
2000,4,2,16.6050037384033,13.325012588501,9.27750730514526
2000,4,3,16.0262531280518,13.026253080368,9.55000019073486
2000,4,4,19.9175052642822,17.091255569458,13.1275043487549
2000,4,5,20.641255569458,17.8737537384033,13.7475025177002
2000,4,6,20.4125034332275,17.2912540435791,12.4412525177002
2000,5,1,24.4862522125244,22.1387546539307,17.5450016021729
2000,5,2,22.072505569458,18.4050022125244,14.5575092315674
2000,5,3,25.1900074005127,22.8537509918213,18.4737537384033
2000,5,4,24.0612552642822,21.5825061798096,17.2900089263916
2000,5,5,26.7650058746338,23.272505569458,18.3100116729736
2000,5,6,23.6593786875407,19.7375062306722,16.3395900726318
2000,6,1,25.5962558746338,21.3012546539307,17.6837543487549
2000,6,2,25.4812519073486,21.8637592315674,17.5550113677979
2000,6,3,25.0237552642822,21.4712558746338,16.4912540435791
2000,6,4,26.522505569458,23.0787570953369,18.3125049591064
2000,6,5,26.3700077056885,22.8450031280518,19.1625095367432
2000,6,6,27.91750831604,24.7375064849854,21.0975070953369
2000,7,1,27.3812564849854,24.6000034332275,20.7450016021729
2000,7,2,27.0025043487549,23.7525012969971,19.8475070953369
2000,7,3,28.3262561798096,25.5100025177002,21.5137531280518
2000,7,4,29.1962604522705,25.8425037384033,21.4925067901611
2000,7,5,28.9912601470947,25.9100040435791,22.5712558746338
2000,7,6,28.5854206085205,26.086462020874,22.1979185740153
2000,8,1,26.8937549591064,23.9737522125244,19.6325092315674
2000,8,2,27.8562564849854,25.0750064849854,21.0262577056885
2000,8,3,28.090002822876,24.9375064849854,21.0725131988525
2000,8,4,26.5575046539307,23.2662525177002,19.6262546539307
2000,8,5,26.1887546539307,22.7987537384033,18.9812503814697
2000,8,6,25.2916711171468,21.7656294504801,18.0593891143799
2000,9,1,26.3662601470947,23.4137531280518,19.6087558746338
2000,9,2,19.3975101470947,15.7725040435791,11.6637561798096
2000,9,3,21.1587558746338,18.3737522125244,13.5262546539307
2000,9,4,23.9625064849854,22.5400012969971,17.631245803833
2000,9,5,23.4400104522705,20.7612537384033,16.8812610626221
2000,9,6,19.9550037384033,16.69250831604,13.9700000762939
2000,10,1,20.6825092315674,17.1212574005127,13.4262577056885
2000,10,2,22.4262500762939,19.6550052642822,15.8150058746338
2000,10,3,13.0637546539307,9.47375810146332,7.27000584602356
2000,10,4,15.3837619781494,11.9037570953369,8.7600038766861
2000,10,5,16.7062580108643,13.4587558269501,11.4537570476532
2000,10,6,11.1947981317838,8.06667498747508,5.89687879880269
2000,11,1,14.6212589263916,12.8887531042099,10.9212527275085
2000,11,2,9.26251238584518,6.56000678241253,5.81750494241714
2000,11,3,5.59750365018845,3.06875603497028,2.13875422179699
2000,11,4,6.10000603199005,2.9487609192729,0.895007288828492
2000,11,5,10.0362581729889,8.47625596523285,6.66375740766525
2000,11,6,8.57250695228577,5.38875878453255,3.41500542163849
2000,12,1,7.66125802993774,5.28500661849976,2.68250728547573
2000,12,2,9.98250608444214,7.21500106779858,5.05875851511955
2000,12,3,3.12249903082848,1.30250543719158,0.702502375841141
2000,12,4,6.10875549316406,3.36249996721745,2.37000728279354
2000,12,5,8.33875753879547,7.65250866413116,5.69500875473022
2000,12,6,6.13542324801286,3.96666993076603,2.98855100354801
2001,1,1,6.64625701904297,4.41000815480947,1.87625729292631
2001,1,2,2.67500608116388,0.397509706020355,0.1487594217062
2001,1,3,1.54000544734299,0.0225066512823105,-1.6687454611063
2001,1,4,4.97376095056534,3.10249932855368,1.51750637181103
2001,1,5,0.675006065517664,-1.99874731861055,-2.05124209970236
2001,1,6,2.86562877055258,1.44896843656898,-0.506244439631701
2001,2,1,4.47750539779663,2.07750239223242,0.0112472481094301
2001,2,2,3.86500398404896,1.36125178039074,-0.222494551166892
2001,2,3,4.75875241160393,2.17125696577132,-0.458738757669926
2001,2,4,10.6975054979324,8.63625814914703,5.71000519879162
2001,2,5,7.74750229008496,4.4075074121356,2.84500734806061
2001,2,6,6.32083793481191,2.97917322131495,0.991675282518069
