year,month,hou,1000hPa_omega,925hPa_omega,850hPa_omega
2000,1,1,-0.0144395112991333,-0.0326020956039429,-0.0318520069122314
2000,1,2,-0.0173144578933716,-0.0426519870758057,-0.0604270696640015
2000,1,3,-0.0208520174026489,-0.0230644464492798,-0.0133144855499268
2000,1,4,-0.0262020826339722,-0.000427031517028809,0.030972957611084
2000,1,5,0.0013479471206665,-0.00161449909210205,-0.00742707252502441
2000,1,6,-0.0217832922935486,0.000216841697692871,0.0309980710347493
2000,2,1,-0.00743949413299561,0.0196980237960815,0.0344606161117554
2000,2,2,-0.0164895296096802,-0.00082705020904541,0.0179730653762817
2000,2,3,-0.00933942794799805,-0.00350205898284912,0.0167855024337769
2000,2,4,-0.0119395017623901,-0.00848956108093262,-0.00295207500457764
2000,2,5,-0.0123269557952881,0.0114479541778564,0.0420354127883911
2000,2,6,-0.0173301994800568,0.000435471534729004,0.0322948694229126
2000,3,1,0.00529797077178955,0.0212105274200439,0.032035493850708
2000,3,2,0.0086355447769165,0.0247604608535767,0.0522855758666992
2000,3,3,-0.00783953666687012,0.0186604499816895,0.0489604473114014
2000,3,4,-0.00567700862884521,0.00758559703826904,0.0169604778289795
2000,3,5,-0.0228644609451294,-0.00945196151733398,0.00947279930114746
2000,3,6,-0.010470708211263,-0.00248118241628011,0.0124771197636922
2000,4,1,-0.0446395397186279,-0.0331270933151245,-0.00331456661224365
2000,4,2,-0.0043895959854126,0.00849795341491699,0.0342979431152344
2000,4,3,-0.0196270227432251,0.000685501098632812,0.00634794235229492
2000,4,4,-0.00427708625793457,0.0180354356765747,0.0366479873657227
2000,4,5,0.00406043529510498,0.0277604103088379,0.0329355001449585
2000,4,6,-0.003302001953125,0.0231729745864868,0.0489854097366333
2000,5,1,-0.0174643516540527,-0.00795197486877441,0.00797312259674072
2000,5,2,-0.0258520364761353,-0.00903937816619873,0.00731053352355957
2000,5,3,-0.0068770170211792,-0.0221645593643188,-0.0336770296096802
2000,5,4,0.00696051120758057,0.0268730163574219,0.0611729383468628
2000,5,5,-0.00173954963684082,-0.0128270387649536,-0.03682701587677
2000,5,6,0.0185916821161906,0.0342271526654561,0.042341669400533
2000,6,1,-0.0153519868850708,-0.0443645000457764,-0.071189546585083
2000,6,2,0.0092479944229126,0.0173979520797729,0.0191729784011841
2000,6,3,0.0122354745864868,0.0271729946136475,0.0468605518341064
2000,6,4,-0.00741453170776367,-0.0107394933700562,-0.0130270719528198
2000,6,5,-0.00312693119049072,-0.023114538192749,-0.0701897382736206
2000,6,6,0.0106229066848755,0.00469789505004883,-0.0129270792007446
2000,7,1,-0.0218146324157715,-0.0270895719528198,-0.0346395254135132
2000,7,2,0.00284795761108398,0.000260591506958008,-0.000352025032043457
2000,7,3,0.0219354391098022,0.0281854867935181,0.0123729228973389
2000,7,4,0.00911047458648682,0.00654795169830322,-0.0130021333694458
2000,7,5,0.0126853704452515,0.019560432434082,0.0134855270385742
2000,7,6,0.0176332990328471,0.0054355263710022,-5.40812810262044e-05
2000,8,1,-0.00181450843811035,-0.0293644666671753,-0.0477895975112915
2000,8,2,-0.00711460113525391,-0.0165146350860596,-0.0136894464492798
2000,8,3,-0.000552058219909668,-0.0289644718170166,-0.040389609336853
2000,8,4,-0.00300195217132568,-0.0264645338058472,-0.0370145320892334
2000,8,5,-0.0125770807266235,-0.0158020257949829,-0.00488948822021484
2000,8,6,-0.0246270298957825,-0.0307000279426575,-0.0138459404309591
2000,9,1,-0.00865201950073242,-0.040451979637146,-0.0638519763946533
2000,9,2,-0.0156645774841309,-0.0163394451141357,0.00652294158935547
2000,9,3,-0.0202519178390503,-0.0119395017623901,0.0499980211257935
2000,9,4,0.00233547687530518,0.00137286186218262,-0.000802087783813477
2000,9,5,-0.00490188598632812,-0.0382144927978516,-0.0696770191192627
2000,9,6,0.0113729000091553,-0.0154519319534302,-0.028277063369751
