year,month,hou,本候灯下白背飞虱虫量（头）,本侯灯下褐飞虱虫量（头）,本候灯下稻飞虱合计
2007,5,2,/,0,
2007,5,2,/,0,
2007,5,2,/,0,
2007,5,2,/,0,
2007,5,2,/,0,
2007,5,3,/,0,
2007,5,3,/,0,
2007,5,3,/,0,
2007,5,3,/,0,
2007,5,3,/,0,
2007,5,4,/,0,
2007,5,4,/,0,
2007,5,4,/,0,
2007,5,4,/,0,
2007,5,4,/,1,
2007,5,5,/,5,
2007,5,5,/,6,
2007,5,5,/,2,
2007,5,5,/,4,
2007,5,5,/,1,
2007,5,6,/,0,
2007,5,6,/,0,
2007,5,6,/,1,
2007,5,6,/,0,
2007,6,1,/,0,
2007,6,1,/,0,
2007,6,1,/,0,
2007,6,1,/,0,
2007,6,1,/,2,
2007,6,2,/,2,
2007,6,2,/,0,
2007,6,2,/,0,
2007,6,2,/,0,
2007,6,2,/,0,
2007,6,3,/,0,
2007,6,3,/,0,
2007,6,3,/,0,
2007,6,3,/,0,
2007,6,3,/,0,
2007,6,4,/,0,
2007,6,4,/,0,
2007,6,4,/,0,
2007,6,4,/,0,
2007,6,4,/,0,
2007,6,5,/,0,
2007,6,5,/,0,
2007,6,5,/,0,
2007,6,5,/,0,
2007,6,5,/,0,
2007,6,6,/,0,
2007,6,6,/,0,
2007,6,6,/,9,
2007,6,6,/,12,
2007,6,6,/,0,
2007,6,6,/,9,
2007,7,1,/,2,
2007,7,1,/,3,
2007,7,1,/,9,
2007,7,1,/,7,
2007,7,1,/,0,
2007,7,2,/,0,
2007,7,2,/,2,
2007,7,2,/,21,
2007,7,2,/,3,
2007,7,2,/,0,
2007,7,3,/,0,
2007,7,3,/,0,
2007,7,3,/,0,
2007,7,3,/,0,
2007,7,3,/,112,
2007,7,4,/,41,
2007,7,4,/,40,
2007,7,4,/,6,
2007,7,4,/,0,
2007,7,4,/,0,
2007,7,5,/,0,
2007,7,5,/,0,
2007,7,5,/,2,
2007,7,5,/,3,
2007,7,5,/,2,
2007,7,6,/,1,
2007,7,6,/,0,
2007,7,6,/,2,
2007,7,6,/,8,
2007,7,6,/,0,
2007,8,1,/,4,
2007,8,1,/,0,
2007,8,1,/,1,
2007,8,1,/,0,
2007,8,1,/,0,
2007,8,2,/,1,
2007,8,2,/,0,
2007,8,2,/,0,
2007,8,2,/,0,
2007,8,2,/,3,
2007,8,3,/,0,
2007,8,3,/,0,
2007,8,3,/,2,
2007,8,3,/,0,
2007,8,3,/,0,
2007,8,4,/,0,
2007,8,4,/,0,
2007,8,4,/,0,
2007,8,4,/,0,
2007,8,4,/,1,
2007,8,5,/,107,
2007,8,5,/,18,
2007,8,5,/,25,
2007,8,5,/,6,
2007,8,5,/,3,
2007,8,6,/,35,
2007,8,6,/,272,
2007,8,6,/,176,
2007,8,6,/,124,
2007,8,6,/,177,
2007,9,1,/,29,
2007,9,1,/,12,
2007,9,1,/,5,
2007,9,1,/,2,
2007,9,1,/,8,
2007,9,2,/,1,
2007,9,2,/,1,
2007,9,2,/,3,
2007,9,2,/,0,
2007,9,2,/,0,
2007,9,3,/,0,
2007,9,3,/,1,
2007,9,3,/,0,
2007,9,3,/,1,
2007,9,3,/,1,
2007,9,4,/,1,
2007,9,4,/,1,
2007,9,4,/,0,
2007,9,4,/,0,
2007,9,4,/,7,
2007,9,5,/,4,
2007,9,5,/,5,
2007,9,5,/,8,
2007,9,5,/,4,
2007,9,6,/,2,
2007,9,6,/,2,
2007,9,6,/,5,
2007,9,6,/,14,
2009,6,1,,0,
2009,6,1,,0,
2009,6,1,,0,
2009,6,1,,0,
2009,6,1,,0,
2009,6,2,,0,
2009,6,2,,0,
2009,6,2,,0,
2009,6,2,,0,
2009,6,2,,0,
2009,6,3,,0,
2009,6,3,,0,
2009,6,3,,0,
2009,6,3,,0,
2009,6,3,,0,
2009,6,4,,0,
2009,6,4,,0,
2009,6,4,,0,
2009,6,4,,0,
2009,6,4,,0,
2009,6,5,,0,
2009,6,5,,0,
2009,6,5,,0,
2009,6,5,,0,
2009,6,5,,0,
2009,6,6,,0,
2009,6,6,,0,
2009,6,6,,0,
2009,6,6,,0,
2009,6,6,,0,
2009,7,1,,0,
2009,7,1,,4,
2009,7,1,,1,
2009,7,1,,0,
2009,7,1,,0,
2009,7,2,,0,
2009,7,2,,0,
2009,7,2,,0,
2009,7,2,,0,
2009,7,2,,0,
2009,7,3,,0,
2009,7,3,,0,
2009,7,3,,0,
2009,7,3,,0,
2009,7,3,,0,
2009,7,4,,0,
2009,7,4,,0,
2009,7,4,,0,
2009,7,4,,0,
2009,7,4,,0,
2009,7,5,,0,
2009,7,5,,0,
2009,7,5,,0,
2009,7,5,,0,
2009,7,5,,0,
2009,7,6,,0,
2009,7,6,,0,
2009,7,6,,0,
2009,7,6,,0,
2009,7,6,,0,
2009,7,6,,0,
2009,8,1,,0,
2009,8,1,,0,
2009,8,1,,0,
2009,8,1,,0,
2009,8,1,,0,
2009,8,2,,0,
2009,8,2,,0,
2009,8,2,,0,
2009,8,2,,0,
2009,8,2,,0,
2009,8,3,,0,
2009,8,3,,0,
2009,8,3,,0,
2009,8,3,,0,
2009,8,3,,0,
2009,8,4,,0,
2009,8,4,,0,
2009,8,4,,0,
2009,8,4,,0,
2009,8,4,,0,
