year,month,hou,本候灯下白背飞虱虫量（头）,本侯灯下褐飞虱虫量（头）,本候灯下稻飞虱合计
2002,6,6,0,0,0.0
2002,7,1,0,0,0.0
2002,7,2,0,0,0.0
2002,7,3,0,0,0.0
2002,7,4,0,0,0.0
2002,7,5,0,0,0.0
2002,7,6,3,0,3.0
2002,8,1,0,0,0.0
2002,8,2,0,0,0.0
2002,8,3,22,0,22.0
2002,8,4,28,0,28.0
2002,8,5,54,0,54.0
2002,8,6,59,0,59.0
2002,9,1,3,0,3.0
2002,9,2,36,0,36.0
2002,9,3,58,0,58.0
2002,9,4,77,0,77.0
2002,9,5,55,0,55.0
2002,9,6,116,0,116.0
2002,10,1,66,0,66.0
2003,6,6,0,0,0.0
2003,7,1,1,0,1.0
2003,7,2,3,0,3.0
2003,7,3,121,0,121.0
2003,7,4,0,0,0.0
2003,7,5,0,0,0.0
2003,7,6,131,0,131.0
2003,8,1,3,0,3.0
2003,8,2,4,0,4.0
2003,8,3,7,0,7.0
2003,8,4,0,0,0.0
2003,8,5,0,0,0.0
2003,8,6,49,0,49.0
2003,9,1,0,0,0.0
2003,9,2,0,0,0.0
2003,9,3,0,0,0.0
2003,9,4,0,0,0.0
2003,9,5,0,0,0.0
2003,9,6,0,0,0.0
2003,9,6,0,0,0.0
2004,7,2,0,0,0.0
2004,7,4,19,0,19.0
2004,7,5,0,0,0.0
2004,7,6,0,0,0.0
2004,8,1,0,0,0.0
2004,8,2,0,0,0.0
2004,8,3,0,0,0.0
2004,8,4,0,0,0.0
2004,8,5,0,0,0.0
2004,8,6,0,0,0.0
2004,9,1,0,0,0.0
2004,9,2,0,0,0.0
2005,6,6,0,0,0.0
2005,7,1,3,0,3.0
2005,7,2,19,0,19.0
2005,7,3,39,0,39.0
2005,7,4,8,0,8.0
2005,7,5,2,3,5.0
2005,7,6,5,2,7.0
2005,8,1,54,7,61.0
2005,8,2,126,45,171.0
2005,8,3,25,15,40.0
2005,8,4,13,9,22.0
2005,8,5,146,22,168.0
2005,8,6,14,5,19.0
2005,9,1,8,6,14.0
2005,9,2,17,34,51.0
2005,9,3,19,39,58.0
2005,9,4,18,39,57.0
2005,9,5,10,78,88.0
2005,9,6,7,66,73.0
2005,10,1,8,141,149.0
2005,10,2,0,55,55.0
2006,6,2,0,0,0.0
2006,6,3,0,0,0.0
2006,6,4,0,0,0.0
2006,6,5,15,0,15.0
2006,6,6,2,0,2.0
2006,7,1,72,0,72.0
2006,7,2,30,0,30.0
2006,7,3,52,4,56.0
2006,7,4,16,0,16.0
2006,7,5,16,0,16.0
2006,7,6,97,0,97.0
2006,8,1,13,0,13.0
2006,8,2,0,0,0.0
2006,8,3,175,26,201.0
2006,8,4,24,3,27.0
2006,8,5,0,2,2.0
2006,8,6,90,3503,3593.0
2006,9,1,0,291,291.0
2006,9,2,0,18,18.0
2006,9,3,2,8,10.0
2006,9,4,0,140,140.0
2006,9,5,0,1,1.0
2006,9,6,0,3,3.0
2009,6,1,,0,
2009,6,1,,0,
2009,6,1,,0,
2009,6,1,,0,
2009,6,1,,0,
2009,6,2,,0,
2009,6,2,,0,
2009,6,2,,0,
2009,6,2,,0,
2009,6,2,,0,
2009,6,3,,0,
2009,6,3,,0,
2009,6,3,,0,
2009,6,3,,0,
2009,6,3,,0,
2009,6,4,,\,
2009,6,4,,\,
2009,6,4,,\,
2009,6,4,,\,
2009,6,4,,\,
2009,6,5,,\,
2009,6,5,,\,
2009,6,5,,\,
2009,6,5,,\,
2009,6,5,,\,
2009,6,6,,\,
2009,6,6,,\,
2009,6,6,,\,
2009,6,6,,\,
2009,6,6,,\,
2009,7,1,,\,
2009,7,1,,\,
2009,7,1,,\,
2009,7,1,,\,
2009,7,1,,0,
2009,7,2,,\,
2009,7,2,,\,
2009,7,2,,0,
2009,7,2,,0,
2009,7,2,,0,
2009,7,3,,0,
2009,7,3,,0,
2009,7,3,,0,
2009,7,3,,0,
2009,7,3,,0,
2009,7,4,,0,
2009,7,4,,0,
2009,7,4,,0,
2009,7,4,,0,
2009,7,4,,0,
