year,month,hou,1000hPa_wind,925hPa_wind,850hPa_wind,1000hPa_azimuth,925hPa_azimuth,850hPa_azimuth,1000hPa_number,925hPa_number,850hPa_number
2000,1,1,3.91607932316297,4.52581959408716,7.04708917745168,170.620199256862,262.487961767363,264.144744457634,7,10,10
2000,1,2,5.27948323171452,5.23533518298023,6.9012591645134,117.931211382308,229.331101760841,244.868321561076,5,9,9
2000,1,3,6.42436292310813,5.87349122605877,3.5738240642462,98.0802265796714,121.474410716473,204.489165444163,4,5,8
2000,1,4,5.55647446544041,6.5344021120125,7.99376267889094,206.689030122836,214.07056734695,334.767353574957,8,8,12
2000,1,5,7.5165571047795,8.0090219441242,7.65019317398203,164.862125884339,167.015607181566,221.327585478591,6,7,8
2000,1,6,6.00511496326656,6.20281968164795,6.86399285029615,258.634915812189,270.613838559187,323.128065815227,10,10,12
2000,2,1,2.35193950401673,3.13343496824258,4.63799365750662,193.997432775637,199.26424206865,272.364767910603,7,8,10
2000,2,2,3.98352214038339,5.23669341560774,7.75136283607436,164.239050157518,218.406519202529,304.530354696702,6,8,11
2000,2,3,3.99680041886793,4.49273199906769,6.77120836039851,194.826845490514,182.172477166392,308.278294307002,7,7,11
2000,2,4,5.26656582752329,5.73629516730761,5.11873627309518,81.0298006663616,104.741670062819,205.510726565601,4,4,8
2000,2,5,4.22725063575015,5.04929956451212,4.94224174557322,120.552408467445,129.329497305913,109.03429774742,5,5,5
2000,2,6,3.8679488117102,4.03682354219575,5.81872602490905,181.713030108633,208.568206554324,241.93115614176,7,8,9
2000,3,1,4.51622083358696,4.8868742063428,4.68515860360743,143.093137253174,182.413456585837,186.500063200791,6,7,7
2000,3,2,4.06429872485334,4.57456035911741,4.97094115400974,104.136668465952,135.418482178017,251.165399303671,4,6,9
2000,3,3,3.34778404179326,4.16998804651586,4.30313121204886,101.49613586249,181.703504154482,167.41744437954,4,7,7
2000,3,4,4.17071785733944,5.61605691621308,5.67609984467753,124.62158197326,211.050796997138,221.514579751061,5,8,8
2000,3,5,3.82154840526256,5.80349075696702,6.7773506219139,184.402252324398,204.045734402571,252.648957209682,7,8,9
2000,3,6,5.50698541971389,9.46050898139458,10.3633585607453,205.536470613953,235.73142394418,246.213684969826,8,9,9
2000,4,1,4.13209833286606,5.71232336618488,5.41624872971444,79.2323852480127,80.7646738496247,210.294164484519,4,4,8
2000,4,2,4.43820555949457,6.51972507673752,7.33329698684082,204.772241105887,225.592356522934,287.198014043126,8,9,11
2000,4,3,5.31976506466561,7.61463512090678,6.20576572080714,159.883484063449,187.293793661065,213.045585496215,6,7,8
2000,4,4,3.60091762544897,5.29448483528003,5.50529429554446,167.463299033807,220.168953143145,271.688381059513,7,8,10
2000,4,5,4.06842917138035,7.70510012610293,8.64263402562056,246.855693177094,272.858705032271,279.622594491845,9,10,10
2000,4,6,3.806864646743,5.3766847872643,6.0418942156423,211.45243367781,267.423628386771,288.799895854496,8,10,11
2000,5,1,3.62326420375809,4.57475878104739,5.35063505717593,130.591998192452,213.688359179897,297.745987532891,5,8,11
2000,5,2,3.32861316661022,5.65988163604767,6.84287699900213,175.743638871995,194.226692859193,190.608753521524,7,7,7
2000,5,3,3.40470579122992,4.08546764541165,5.23790908608163,90.6564768710703,173.054575980284,287.903706692777,4,7,11
2000,5,4,3.31892336313777,5.25939525774955,6.64913909357369,154.583949492631,197.097644342591,301.418546936649,6,8,11
2000,5,5,6.00081637320708,9.05152533086761,8.7893840774914,157.112417574642,185.779618912556,191.07561469888,6,7,7
2000,5,6,2.87435336497651,4.44089453349687,5.00634427116845,185.979534334035,173.465285715383,228.226215017686,7,7,9
2000,6,1,4.01761776915634,4.69495175716997,3.69136884239827,86.1535268071095,110.38102033214,114.435589249528,4,5,5
2000,6,2,2.2292559729243,3.52941984802369,3.95421888948444,166.878358598996,173.353322179664,160.533397927262,7,7,6
2000,6,3,3.26978209508432,4.97243074640417,5.69806509645084,144.221116899979,152.266124007004,154.552316832999,6,6,6
2000,6,4,3.08764338406133,4.66187603141972,5.09773124624759,106.339568116244,111.720372075632,98.9191319962567,5,5,4
2000,6,5,2.6084350269276,3.9167198900554,4.27241582632762,137.635504311247,204.24522004053,227.852653557963,6,8,9
2000,6,6,2.57552396402113,4.81139734686776,6.19526004632158,209.668465330422,244.627123440909,260.735458302565,8,9,10
2000,7,1,5.54527203617996,8.40220777616022,7.35610104777241,123.016583213849,148.601887353224,152.533962954249,5,6,6
2000,7,2,3.14402853341704,4.54937001009239,4.62727430598996,74.3355055837065,88.2467670426612,83.846976259523,3,4,4
2000,7,3,3.64378803531339,6.51265726106822,6.98167877423716,174.008455336729,217.370806711049,232.928741231805,7,8,9
2000,7,4,5.14962291089549,8.78622636404174,8.32734799444843,154.019919325398,190.008667799386,196.203038199655,6,7,8
2000,7,5,3.33928321611502,5.4533314694628,5.17144042779849,171.911383709665,204.980231394209,227.073825267755,7,8,9
2000,7,6,2.88426923400691,4.07968273234668,3.3469402944087,189.041964642054,220.849289621079,231.307776511899,7,8,9
2000,8,1,4.20062026524368,5.73945680773621,4.69338140212796,87.9538290237865,110.534566121627,112.1701844819,4,5,5
2000,8,2,4.1202220329187,5.55486314688453,4.14256227937546,119.404599599754,145.330155636531,149.036637636457,5,6,6
2000,8,3,3.55492443845761,5.04818498011732,4.5240748888269,123.760387367675,144.554657795297,124.375095889781,5,6,5
2000,8,4,3.87160153816687,5.40698186783118,5.03464554245174,94.673865381876,43.0823240880597,111.238444663886,4,2,5
2000,8,5,3.57031679863679,5.84784118889683,5.583412990128,74.9848090392583,100.871215011831,176.591455804026,3,4,7
2000,8,6,4.48936485936467,7.36068946185248,6.74583634133679,149.985203867844,116.111694287566,124.253396355611,6,5,5
2000,9,1,4.00569317777706,5.67372380532503,3.92541574330458,55.5762882676336,82.3842436964387,85.0447835330789,3,4,4
2000,9,2,4.73594460976078,7.29366913032122,6.57640140017603,15.68962408933,33.3765688380261,36.0247644387723,2,2,2
2000,9,3,6.61278934619939,11.2595771528427,12.4245201170785,82.7586149210886,97.2454131708719,28.584743357892,4,4,2
