year,month,hou,本候灯下白背飞虱虫量（头）,本侯灯下褐飞虱虫量（头）,本候灯下稻飞虱合计
2001,6,2,0,13,13
2001,6,3,0,19,19
2001,6,4,0,22,22
2001,6,4,5,11,16
2001,6,5,6,38,44
2001,6,6,/,/,0
2001,7,2,4,7,11
2001,7,3,3,11,14
2001,7,4,18,39,57
2001,7,4,10,19,29
2001,7,5,19,41,60
2001,7,6,6,14,20
2001,8,2,13,11,24
2001,8,2,4,3,7
2001,8,4,160,76,236
2001,8,5,53,15,68
2001,8,6,32,15,47
2001,9,1,3,0,3
2001,9,2,5,41,46
2001,9,3,3,11,14
2001,9,4,145,275,420
2001,9,5,49,25,74
2001,9,6,23,19,42
2002,5,6,0,0,0
2002,6,1,0,0,0
2002,6,2,0,22,22
2002,6,1,3,5,8
2002,6,3,5,19,24
2002,6,5,4,0,4
2002,6,6,3,0,3
2002,6,6,10,8,18
2002,7,1,8,1,9
2002,7,2,6,10,16
2002,7,3,831,206,1037
2002,7,4,38,16,54
2002,7,5,2,0,2
2002,7,6,1146,49,1195
2002,8,2,202,39,241
2002,8,3,19,5,24
2002,8,3,13,6,19
2002,8,5,42,13,55
2002,8,4,19,5,24
2002,8,6,1560,770,2330
2002,9,1,51,31,82
2002,9,2,10,4,14
2003,6,1,0,33,33
2003,6,2,3,36,39
2003,6,3,26,71,97
2003,6,4,12,6,18
2003,6,5,56,6201,6257
2003,6,6,190,3116,3306
2003,7,1,38,1038,1076
2003,7,2,28,153,181
2003,7,3,12,8,20
2003,7,4,71,60,131
2003,6,5,56,6201,6257
2003,6,6,190,3116,3306
2003,7,1,38,1038,1076
2003,7,2,28,153,181
2003,7,3,12,8,20
2003,7,4,71,60,131
2003,7,5,343,130,473
2003,7,6,541,2136,2677
2003,8,1,72,1070,1142
2003,8,2,180,914,1094
2003,8,3,301,481,782
2003,8,4,34,34,68
2003,8,5,46,190,236
2003,8,6,156,988,1144
2003,9,1,13,209,222
2003,9,2,0,271,271
2003,8,3,301,481,782
2003,8,4,34,34,68
2003,8,5,46,190,236
2003,8,6,156,988,1144
2003,9,1,13,209,222
2003,9,2,0,271,271
2003,9,3,0,134,134
2003,9,4,813,36240,37053
2003,9,5,153,2596,2749
2003,9,6,1188,21864,23052
2004,4,3,1,6,7
2004,4,4,0,2,2
2004,4,5,0,10,10
2004,4,6,0,0,0
2004,5,1,1,2,3
2004,5,2,0,0,0
2004,5,3,2,1314,1316
2004,5,4,10,5,15
2004,5,5,6,12,18
2004,5,6,4,26,30
2004,6,1,0,1,1
2004,6,2,0,1,1
2004,6,3,0,1,1
2004,6,4,1,3,4
2004,6,5,138,4819,4957
2004,6,6,60,1831,1891
2004,7,1,4,48,52
2004,7,2,1,0,1
2004,7,3,48,6,54
2004,7,4,190,9,199
2004,7,5,9,2,11
2004,7,6,13,8,21
2004,8,1,270,236,506
2004,8,2,150,31,181
2004,8,3,745,260,1005
2004,8,4,19,7,26
2004,8,5,778,425,1203
2004,8,6,19,18,37
2004,9,1,102,132,234
2004,9,2,453,908,1361
2004,9,3,56,307,363
2004,9,4,3100,1531,4631
2004,9,5,1897,6613,8510
2004,9,6,248,702,950
2004,10,1,380,3001,3381
2004,10,2,39,671,710
2005,5,1,0,30,30
2005,5,2,0,9,9
2005,5,3,0,26,26
2005,5,4,0,17,17
2005,5,5,1,2,3
2005,5,6,4,3,3
2005,6,1,,8,8
2005,6,2,5,14,14
2005,6,3,4,1,5
2005,6,4,7,1,1
2005,6,5,311,169,169
2005,6,6,170,369,539
2005,7,1,189,134,323
