year,month,hou,本候灯下白背飞虱虫量（头）,本侯灯下褐飞虱虫量（头）,本候灯下稻飞虱合计
2006.0,5.0,2,124,0,124.0
2006.0,5.0,3,392,0,13.0
2006.0,5.0,4,1,0,38.0
2006.0,5.0,5,730,0,26.0
2006.0,5.0,6,589,0,37.0
2006.0,6.0,1,816,0,16.0
2006.0,6.0,2,565,0,13.0
2006.0,6.0,3,359,0,421.0
2006.0,6.0,4,35,0,176.0
2006.0,6.0,5,3,0,0.0
2006.0,6.0,6,52,0,2370.0
2006.0,7.0,1,182,0,241.0
2006.0,7.0,2,1002,0,281.0
2006.0,7.0,3,29,0,77.0
2006.0,7.0,4,376,0,198.0
2006.0,7.0,5,24,0,22.0
2006.0,7.0,6,55,0,7.0
2006.0,8.0,1,278,0,62.0
2006.0,8.0,2,175,0,0.0
2006.0,8.0,3,6,0,0.0
2006.0,8.0,4,8,0,107.0
2006.0,8.0,5,28,0,152.0
2006.0,8.0,6,15,0,155.0
2006.0,9.0,1,\,\,0.0
2009.0,3.0,1,,\,
2009.0,3.0,1,,\,
2009.0,3.0,1,,\,
2009.0,3.0,1,,\,
2009.0,3.0,1,,\,
2009.0,3.0,2,,\,
2009.0,3.0,2,,\,
2009.0,3.0,2,,\,
2009.0,3.0,2,,\,
2009.0,3.0,2,,\,
2009.0,3.0,3,,\,
2009.0,3.0,3,,\,
2009.0,3.0,3,,\,
2009.0,3.0,3,,\,
2009.0,3.0,3,,\,
2009.0,3.0,4,,\,
2009.0,3.0,4,,\,
2009.0,3.0,4,,\,
2009.0,3.0,4,,\,
2009.0,3.0,4,,\,
2009.0,3.0,5,,\,
2009.0,3.0,5,,\,
2009.0,3.0,5,,0,
2009.0,3.0,5,,0,
2009.0,3.0,5,,0,
2009.0,3.0,6,,0,
2009.0,3.0,6,,0,
2009.0,3.0,6,,0,
2009.0,3.0,6,,0,
2009.0,3.0,6,,0,
2009.0,3.0,6,,0,
2009.0,4.0,1,,0,
2009.0,4.0,1,,0,
2009.0,4.0,1,,0,
2009.0,4.0,1,,0,
2009.0,4.0,1,,0,
2009.0,4.0,2,,0,
2009.0,4.0,2,,0,
2009.0,4.0,2,,0,
2009.0,4.0,2,,0,
2009.0,4.0,2,,0,
2009.0,4.0,3,,0,
2009.0,4.0,3,,0,
2009.0,4.0,3,,7,
2009.0,4.0,3,,2,
2009.0,4.0,3,,6,
2009.0,4.0,4,,2,
2009.0,4.0,4,,8,
2009.0,4.0,4,,2,
2009.0,4.0,4,,20,
2009.0,4.0,4,,0,
2009.0,4.0,5,,0,
2009.0,4.0,5,,0,
2009.0,4.0,5,,0,
2009.0,4.0,5,,0,
2009.0,4.0,5,,0,
2009.0,4.0,6,,10,
2009.0,4.0,6,,0,
2009.0,4.0,6,,0,
2009.0,4.0,6,,25,
2009.0,4.0,6,,0,
2009.0,5.0,1,,20,
2009.0,5.0,1,,0,
2009.0,5.0,1,,0,
2009.0,5.0,1,,33,
2009.0,5.0,1,,2,
2009.0,5.0,2,,0,
2009.0,5.0,2,,20,
2009.0,5.0,2,,3,
2009.0,5.0,2,,0,
2009.0,5.0,2,,7,
2009.0,5.0,3,,28,
2009.0,5.0,3,,10,
2009.0,5.0,3,,10,
2009.0,5.0,3,,20,
2009.0,5.0,3,,5,
2009.0,5.0,4,,20,
2009.0,5.0,4,,0,
2009.0,5.0,4,,5,
2009.0,5.0,4,,5,
2009.0,5.0,4,,\,
2009.0,5.0,5,,\,
2009.0,5.0,5,,5,
2009.0,5.0,5,,25,
2009.0,5.0,5,,0,
2009.0,5.0,5,,15,
2009.0,5.0,6,,16,
2009.0,5.0,6,,5,
2009.0,5.0,6,,0,
2009.0,5.0,6,,46,
2009.0,5.0,6,,0,
2009.0,5.0,6,,7,
2009.0,6.0,1,,86,
2009.0,6.0,1,,14,
2009.0,6.0,1,,6,
2009.0,6.0,1,,22,
2009.0,6.0,1,,2,
2009.0,6.0,2,,5,
2009.0,6.0,2,,4,
2009.0,6.0,2,,20,
2009.0,6.0,2,,30,
2009.0,6.0,2,,39,
2009.0,6.0,3,,74,
2009.0,6.0,3,,7,
2009.0,6.0,3,,20,
2009.0,6.0,3,,62,
2009.0,6.0,3,,10,
2009.0,6.0,4,,26,
2009.0,6.0,4,,8,
2009.0,6.0,4,,22,
2009.0,6.0,4,,56,
2009.0,6.0,4,,15,
2009.0,6.0,5,,20,
2009.0,6.0,5,,63,
2009.0,6.0,5,,35,
2009.0,6.0,5,,50,
2009.0,6.0,5,,5,
2009.0,6.0,6,,0,
2009.0,6.0,6,,25,
2009.0,6.0,6,,20,
2009.0,6.0,6,,25,
2009.0,6.0,6,,50,
2009.0,7.0,1,,40,
2009.0,7.0,1,,60,
2009.0,7.0,1,,34,
2009.0,7.0,1,,5,
2009.0,7.0,1,,23,
2009.0,7.0,2,,69,
2009.0,7.0,2,,10,
2009.0,7.0,2,,9,
2009.0,7.0,2,,162,
2009.0,7.0,2,,7,
2009.0,7.0,3,,0,
2009.0,7.0,3,,\,
2009.0,7.0,3,,13,
2009.0,7.0,3,,9,
2009.0,7.0,3,,8,
2009.0,7.0,4,,6,
2009.0,7.0,4,,207,
2009.0,7.0,4,,350,
2009.0,7.0,4,,1302,
2009.0,7.0,4,,\,
2009.0,7.0,5,,40,
2009.0,7.0,5,,151,
2009.0,7.0,5,,40,
2009.0,7.0,5,,156,
2009.0,7.0,5,,480,
2009.0,7.0,6,,51,
2009.0,7.0,6,,200,
2009.0,7.0,6,,133,
2009.0,7.0,6,,103,
2009.0,7.0,6,,120,
2009.0,7.0,6,,1920,
2009.0,8.0,1,,363,
2009.0,8.0,1,,798,
2009.0,8.0,1,,427,
2009.0,8.0,1,,8424,
2009.0,8.0,1,,1796,
2009.0,8.0,2,,1966,
2009.0,8.0,2,,1216,
2009.0,8.0,2,,689,
2009.0,8.0,2,,1360,
2009.0,8.0,2,,760,
2009.0,8.0,3,,300,
2009.0,8.0,3,,440,
2009.0,8.0,3,,200,
2009.0,8.0,3,,49,
2009.0,8.0,3,,14,
2009.0,8.0,4,,83,
2009.0,8.0,4,,23,
2009.0,8.0,4,,15,
2009.0,8.0,4,,7,
2009.0,8.0,4,,7,
2009.0,8.0,5,,6,
2009.0,8.0,5,,10,
2009.0,8.0,5,,10,
2009.0,8.0,5,,1,
2009.0,8.0,5,,17,
2009.0,8.0,6,,11,
2009.0,8.0,6,,40,
2009.0,8.0,6,,216,
2009.0,8.0,6,,6,
2009.0,8.0,6,,30,
2009.0,8.0,6,,31,
2009.0,9.0,1,,\,
2009.0,9.0,1,,\,
2009.0,9.0,1,,\,
2009.0,9.0,1,,\,
2009.0,9.0,1,,\,
2009.0,9.0,2,,\,
2009.0,9.0,2,,\,
2009.0,9.0,2,,\,
2009.0,9.0,2,,\,
2009.0,9.0,2,,\,
2009.0,9.0,3,,\,
2009.0,9.0,3,,\,
2009.0,9.0,3,,\,
2009.0,9.0,3,,\,
2009.0,9.0,3,,\,
2009.0,9.0,4,,\,
2009.0,9.0,4,,\,
2009.0,9.0,4,,\,
2009.0,9.0,4,,\,
2009.0,9.0,4,,\,
2009.0,9.0,5,,\,
2009.0,9.0,5,,\,
2009.0,9.0,5,,\,
2009.0,9.0,5,,\,
2009.0,9.0,5,,\,
2009.0,9.0,6,,\,
2009.0,9.0,6,,\,
2009.0,9.0,6,,\,
2009.0,9.0,6,,\,
2009.0,9.0,6,,\,
2009.0,10.0,1,,\,
,,6,135,0,135.0
,,6,14861,0,14861.0
,,6,4771,0,4771.0
,,6,2139,0,2139.0
,,6,6602,0,6602.0
,,6,184,0,184.0
,,6,3291,0,3291.0
,,6,945,0,945.0
,,6,396,0,396.0
,,6,357,5,362.0
,,6,771,13,784.0
,,6,388,0,388.0
,,6,513,5,518.0
,,6,92,0,92.0
,,6,1519,58,1577.0
,,6,322,10,332.0
,,6,440,11,451.0
,,6,178,59,237.0
,,6,137,34,171.0
,,6,33,101,134.0
,,6,93,229,322.0
,,6,73,90,163.0
,,6,157,657,814.0
,,6,0,264,264.0
2011.0,5.0,2,12,0,12.0
2011.0,5.0,3,31,0,31.0
2011.0,5.0,4,37,2,39.0
2011.0,5.0,5,44,3,47.0
2011.0,5.0,6,29,0,29.0
2011.0,6.0,1,49,0,49.0
2011.0,6.0,2,61,8,69.0
2011.0,6.0,3,200,15,215.0
2011.0,6.0,4,206,24,230.0
2011.0,6.0,5,311,136,447.0
2011.0,7.0,1,868,157,1025.0
2011.0,7.0,1,829,60,889.0
2011.0,7.0,2,10101,469,10570.0
2011.0,7.0,3,20757,350,21107.0
2011.0,7.0,4,3825,241,4066.0
2011.0,7.0,5,15802,475,16277.0
2011.0,7.0,6,28271,696,28967.0
2011.0,8.0,1,892,76,968.0
2011.0,8.0,2,27200,1566,28766.0
2011.0,8.0,3,2189,248,2437.0
2011.0,8.0,4,295,262,557.0
2011.0,8.0,5,136,29,165.0
2011.0,8.0,6,387,126,513.0
2011.0,9.0,1,678,2710,3388.0
2012.0,5.0,2,1439,0,1439.0
2012.0,5.0,3,851,0,851.0
2012.0,5.0,4,2585,3,2588.0
2012.0,5.0,5,1021,3,1024.0
2012.0,5.0,6,1146,157,1303.0
2012.0,6.0,1,55,0,55.0
2012.0,6.0,2,87,22,109.0
2012.0,6.0,3,687,57,744.0
2012.0,6.0,4,1711,197,1908.0
2012.0,6.0,5,976,57,1033.0
2012.0,6.0,6,387,11,398.0
2012.0,7.0,1,369,79,448.0
2012.0,7.0,2,22,4,26.0
2012.0,7.0,3,55,0,55.0
2012.0,7.0,4,113,3,116.0
2012.0,7.0,5,744,62,806.0
2012.0,7.0,6,4636,1224,5860.0
2012.0,8.0,1,844,124,968.0
2012.0,8.0,2,2138,378,2516.0
2012.0,8.0,3,341,114,455.0
2012.0,8.0,4,272,387,659.0
2012.0,8.0,5,282,259,541.0
2012.0,8.0,6,1587,1505,3092.0
2012.0,9.0,1,5,8,13.0
2013.0,5.0,2,2523,0,2523.0
2013.0,5.0,3,1023,12,1035.0
2013.0,5.0,4,6327,23,6350.0
2013.0,5.0,5,815,0,815.0
2013.0,5.0,6,4128,16,4144.0
2013.0,6.0,1,85,15,100.0
2013.0,6.0,2,180,7,187.0
2013.0,6.0,3,110,3,113.0
2013.0,6.0,4,34,1,35.0
2013.0,6.0,5,265,82,347.0
2013.0,6.0,6,96,5,101.0
2013.0,7.0,1,199,21,220.0
2013.0,7.0,2,160,33,193.0
2013.0,7.0,3,204,32,236.0
2013.0,7.0,4,7,1,8.0
2013.0,7.0,5,444,35,479.0
2013.0,7.0,6,188,1236,1424.0
2013.0,8.0,1,30,304,334.0
2013.0,8.0,2,84,1972,2056.0
2013.0,8.0,3,1850,775,2625.0
2013.0,8.0,4,315,1371,1686.0
2013.0,8.0,5,514,3003,3517.0
2013.0,8.0,6,412,502,914.0
2013.0,9.0,1,30,127,157.0
2014.0,5.0,2,16637,0,16637.0
2014.0,5.0,3,87112,0,87112.0
2014.0,5.0,4,6241,0,6241.0
2014.0,5.0,5,457,0,457.0
2014.0,5.0,6,0,0,0.0
2014.0,6.0,1,0,0,0.0
2014.0,6.0,2,0,0,0.0
2014.0,6.0,3,32,0,32.0
2014.0,6.0,4,97,0,97.0
2014.0,6.0,5,482,0,482.0
2014.0,6.0,6,483,0,483.0
2014.0,7.0,1,295,20,315.0
2014.0,7.0,2,426,120,546.0
2014.0,7.0,3,3182,329,3511.0
2014.0,7.0,4,710,61,771.0
2014.0,7.0,5,933,455,1388.0
2014.0,7.0,6,126,16,142.0
2014.0,8.0,1,181,102,283.0
2014.0,8.0,2,72,79,151.0
2014.0,8.0,3,62,257,319.0
2014.0,8.0,4,20,223,243.0
2014.0,8.0,5,0,98,98.0
2014.0,8.0,6,1,253,254.0
2014.0,9.0,1,238,494,732.0
2015.0,5.0,2,3284,0,3284.0
2015.0,5.0,3,201,0,201.0
2015.0,5.0,4,10160,316,10476.0
2015.0,5.0,5,210,0,210.0
2015.0,5.0,6,178,0,178.0
2015.0,6.0,1,20,0,20.0
2015.0,6.0,2,42,14,56.0
2015.0,6.0,3,17,0,17.0
2015.0,6.0,4,0,0,0.0
2015.0,6.0,5,0,0,0.0
