year,month,hou,1000hPa_air,925hPa_air,850hPa_air
2000,1,1,12.6087558746338,8.57000594139099,6.08000180721283
2000,1,2,9.71750516891479,5.59375908374786,3.08125755786896
2000,1,3,7.08125620484352,2.97250209897757,0.446253941953182
2000,1,4,6.53875888586044,2.10500940559432,-1.70249484181404
2000,1,5,6.11375581026077,1.83625481603667,-1.13499607117847
2000,1,6,3.92917145291964,-0.387498007155955,-4.56353869537512
2000,2,1,5.33625493049622,1.04375452876091,-2.01874699443579
2000,2,2,8.97375814914703,4.69000692367554,1.15000759661198
2000,2,3,10.7650104284286,6.65375673770905,3.28625939935446
2000,2,4,10.3187563896179,6.31125183105469,2.79500727802515
2000,2,5,8.34875500202179,4.30750879049301,0.58250423707068
2000,2,6,9.52188298106194,5.49219274520874,1.13594398880377
2000,3,1,11.8900135040283,7.87750253677368,4.11875448822975
2000,3,2,11.5750019073486,7.30000765323639,3.57500602602959
2000,3,3,13.79875831604,9.74250826835632,6.09125361442566
2000,3,4,17.1350101470947,13.1712543487549,9.38250913619995
2000,3,5,14.1637531280518,10.1662539482117,6.46750490665436
2000,3,6,22.1854190826416,18.3062572479248,15.1104259490967
2000,4,1,17.847505569458,13.8000049591064,9.59250521659851
2000,4,2,17.9962558746338,13.878755569458,9.83125338554382
2000,4,3,19.1250049591064,14.8800022125244,10.7612567663193
2000,4,4,22.5750095367432,18.3125049591064,14.5537570953369
2000,4,5,21.7087543487549,17.5462512969971,13.8937549591064
2000,4,6,20.2612552642822,16.3387546539307,12.4675022125244
2000,5,1,24.6837558746338,20.8524997711182,17.1887500762939
2000,5,2,25.8800022125244,21.8712574005127,17.778755569458
2000,5,3,27.9950061798096,23.8825122833252,20.47375831604
2000,5,4,25.1100025177002,21.0312564849854,17.4412494659424
2000,5,5,27.9762607574463,23.9900043487549,20.1162586212158
2000,5,6,24.7197984059652,20.5666751861572,16.7062562306722
2000,6,1,28.3837543487549,24.3512561798096,20.2525074005127
2000,6,2,26.9912540435791,22.7162540435791,18.3187534332275
2000,6,3,24.8512546539307,20.4925067901611,16.637512588501
2000,6,4,26.496252822876,22.2400089263916,18.5887607574463
2000,6,5,29.08000831604,24.7150074005127,20.7075077056885
2000,6,6,29.1625095367432,24.7787525177002,20.9212574005127
2000,7,1,29.3525074005127,24.8287540435791,20.6475086212158
2000,7,2,28.8512546539307,24.433752822876,20.5312580108643
2000,7,3,28.8662570953369,24.3787525177002,20.4675067901611
2000,7,4,30.9800019264221,26.497505569458,22.8512561798096
2000,7,5,32.1962577819824,27.7687580108643,24.0762561798096
2000,7,6,30.2364679972331,25.7645905812581,22.5937531789144
2000,8,1,27.918762588501,23.3550098419189,18.8975070953369
2000,8,2,29.4412586212158,24.9237552642822,20.9825061798096
2000,8,3,30.3350040435791,25.8200061798096,21.8300052642822
2000,8,4,29.0587512969971,24.5237567901611,20.428755569458
2000,8,5,28.2950061798096,23.8337558746338,19.6937595367432
2000,8,6,27.1541741689046,22.7520885467529,18.6697940826416
2000,9,1,27.9637577056885,23.53625831604,19.6487537384033
2000,9,2,20.4250110626221,15.9737567901611,11.6062564849854
2000,9,3,23.1125064849854,19.037512588501,14.983752822876
2000,9,4,24.9287570953369,20.6937534332275,17.6300067901611
2000,9,5,25.4387516021729,21.1462574005127,17.5025058746338
2000,9,6,23.7937595367432,19.4650104522705,15.5850040435791
2000,10,1,23.5012561798096,19.2587558746338,15.2612537384033
2000,10,2,25.5075061798096,21.2287570953369,17.5512531280518
2000,10,3,15.3962543487549,10.9662539720535,6.6887558221817
2000,10,4,19.1387607574463,14.8525043487549,11.0937549114227
2000,10,5,18.9462543487549,14.7250019073486,11.0762545824051
2000,10,6,16.5437577565511,12.2927125096321,8.80729470650355
2000,11,1,18.6875064849854,14.6412509918213,11.3700061798096
2000,11,2,15.5324985027313,11.2887545406818,7.72500477731228
2000,11,3,10.4125048875809,6.04625396728516,2.1550048455596
2000,11,4,9.807510638237,5.66375888586044,2.02250513881445
2000,11,5,12.5500064849854,8.39000718593597,5.50750424861908
2000,11,6,10.8750080108643,6.72000734806061,3.26625055074692
2000,12,1,9.3875063419342,5.39251246452332,2.05874782651663
2000,12,2,11.0175082921982,6.73000340461731,3.62625267505646
2000,12,3,6.74625554084778,2.5000045388937,-0.454991177562624
2000,12,4,9.36875483989716,5.18250878453255,2.06125636428596
2000,12,5,11.2000064373016,6.81125342845917,4.78000631332397
2000,12,6,11.4385471343994,7.06250794728597,3.74792497853438
2001,1,1,10.0487582445145,5.64750669002533,2.32250668853521
2001,1,2,7.04125375747681,2.94000242233276,-0.297489969059825
2001,1,3,7.51875467300415,3.3825041949749,-0.141244519874454
2001,1,4,9.58375880718231,5.41625666618347,2.82125696241856
2001,1,5,7.57000284790993,3.52750395424664,0.877502371743321
2001,1,6,7.6447961529096,3.36354849518587,-0.00415906659327447
2001,2,1,10.0875002384186,5.86375887989998,2.19250792190433
2001,2,2,9.98250911235809,5.89250643849373,2.17375635839999
2001,2,3,8.27625442147255,4.14875485897064,0.532505749166012
2001,2,4,14.7787540435791,10.5937594890594,7.03000340461731
2001,2,5,13.9275043010712,9.75124690532684,5.5275024831295
2001,2,6,10.6354185342789,6.47292228539785,2.81459193428357
2001,3,1,14.7975040435791,10.7887546539307,6.99375154972076
2001,3,2,13.6575092315674,9.36875178813934,5.54875332117081
2001,3,3,18.3362537384033,14.2625019073486,10.546257352829
2001,3,4,15.18000831604,11.2362552404404,8.0337541103363
2001,3,5,18.9625064849854,15.0000034332275,11.366255569458
2001,3,6,18.3010489145915,14.1822961171468,10.6072978576024
2001,4,1,19.6987537384033,15.5750080108643,11.4750080108643
2001,4,2,16.6562564134598,12.7737536072731,8.79375178664923
2001,4,3,17.6712589263916,13.4512591838837,9.80875425338745
2001,4,4,23.4137470245361,19.441255569458,15.4150058507919
2001,4,5,16.3125064849854,12.2512576580048,8.06000535488129
2001,4,6,20.8400089263916,16.8675037384033,12.5587589263916
2001,5,1,22.39250831604,18.3675098419189,14.3175113677979
2001,5,2,22.6225070953369,18.6500064849854,14.5812580108643
2001,5,3,25.3837604522705,21.3950061798096,17.2687534332275
2001,5,4,25.4637561798096,21.5312519073486,17.8025058746338
2001,5,5,27.8712588310242,23.7425052642822,19.697505569458
2001,5,6,24.005215326945,19.8593769073486,15.64688428243
2001,6,1,25.6650058746338,21.4600101470947,17.3712604522705
2001,6,2,26.6650012969971,22.5062534332275,18.0062534332275
2001,6,3,29.0587587356567,24.8950061798096,21.1037586212158
2001,6,4,28.047505569458,23.7350025177002,19.48625831604
2001,6,5,28.3662525177002,24.0875034332275,20.0012577056885
2001,6,6,29.9287494659424,25.6937564849854,21.4200031280518
2001,7,1,30.3375030517578,25.9762531280518,22.2600070953369
2001,7,2,31.6487591743469,27.3012577056885,23.0062610626221
2001,7,3,31.3400115013123,26.9950061798096,22.9700061798096
2001,7,4,32.3987508773804,28.077502822876,23.922505569458
2001,7,5,31.2162581443787,26.8112552642822,23.2550067901611
2001,7,6,29.987507502238,25.554173151652,21.4093850453695
2001,8,1,30.2325043678284,25.93625831604,22.0162586212158
2001,8,2,29.7949996948242,25.3875049591064,21.5587558746338
2001,8,3,27.7737506866455,23.3225086212158,19.4475070953369
2001,8,4,28.5887561798096,24.1587543487549,19.9975070953369
2001,8,5,28.4424976348877,23.9650043487549,19.9562549591064
2001,8,6,26.5093797047933,22.1562582651774,17.6968797047933
2001,9,1,26.4525043487549,22.0437580108643,17.69875831604
2001,9,2,26.5662586212158,22.1262531280518,17.8749988555908
2001,9,3,26.0550037384033,21.5837574005127,17.803755569458
2001,9,4,26.5787540435791,22.1200031280518,18.1025074005127
2001,9,5,23.5662540435791,19.1112522125244,15.0487613677979
2001,9,6,23.1337543487549,19.0112598419189,14.9450092315674
2001,10,1,22.3237537384033,17.9950061798096,14.1737552642822
2001,10,2,21.3950046539307,17.2762561798096,13.9912540435791
2001,10,3,20.9962543487549,16.5212543487549,13.0862567901611
2001,10,4,18.5925052642822,14.2737567901611,10.5350040435791
2001,10,5,21.3500095367432,17.0625034332275,13.6387592315674
2001,10,6,19.706257502238,15.5145867665609,11.8114643096924
2001,11,1,16.4675022125244,12.3050098419189,8.78000659942627
2001,11,2,14.8450031280518,10.6600025177002,6.71000363826752
2001,11,3,15.690002822876,11.5575046539307,8.26625385284424
2001,11,4,15.4649997711182,11.1512592315674,7.43500211238861
2001,11,5,15.5650104522705,11.3162540197372,8.18750326633453
2001,11,6,13.721252822876,9.48500552177429,6.38000483512878
2001,12,1,9.85875270366669,5.73500221706927,2.59125511944294
2001,12,2,7.04626014232636,2.83500512987375,0.0537566786631942
2001,12,3,4.9650039602071,0.800009113922715,-1.98624121509492
2001,12,4,6.25125127434731,1.9387588083744,-0.696243326365948
2001,12,5,8.21500568389893,4.31625664830208,1.93125300258398
2001,12,6,8.95521342754364,4.94792323186994,2.086460324858
2002,1,1,12.141255569458,8.42375817298889,5.18125600814819
2002,1,2,13.1787540435791,9.36375458240509,6.49250173568726
2002,1,3,13.6325046539307,9.94750094413757,6.97125092744827
2002,1,4,6.62750709056854,2.64001154191792,-0.496249428391457
2002,1,5,7.34750525951385,3.17249902486801,-0.491246043890715
2002,1,6,6.63125383853912,2.5958419367671,-1.06666285979251
2002,2,1,8.68000359535217,4.68000786304474,0.868749985098839
2002,2,2,10.8137561559677,6.74750521183014,3.27250053733587
2002,2,3,13.3337558507919,9.19375329017639,6.18125919103622
2002,2,4,14.0287540435791,9.95875880718231,6.9087601184845
2002,2,5,13.8300067901611,9.85625944137573,6.40125117301941
2002,2,6,11.9687620401382,8.1208385626475,5.38333281874657
2002,3,1,11.1837527513504,7.30375374555588,4.08375242352486
2002,3,2,16.2525119781494,12.5737552165985,9.18125174045563
2002,3,3,18.2487628936768,14.3437534332275,10.4850055217743
2002,3,4,17.2900089263916,13.4587574005127,9.53875904083252
2002,3,5,14.6000095367432,10.5237551212311,7.03875739574432
2002,3,6,19.7416706085205,15.8177076975505,11.9906304677327
2002,4,1,23.3950061798096,19.5650074005127,16.1100086212158
2002,4,2,17.6750064849854,13.7550037145615,10.1037599563599
2002,4,3,22.3387561798096,18.4087574005127,15.0412570953369
2002,4,4,18.1125049591064,13.9962558507919,10.2400088071823
2002,4,5,20.3700061798096,16.2125079631805,12.7262606620789
2002,4,6,18.8137577056885,14.6237598180771,11.1450045824051
2002,5,1,21.2487567901611,17.0987537384033,13.3000110626221
2002,5,2,21.9187564849854,17.8787570953369,13.7662586212158
2002,5,3,23.3387607574463,19.6062549591064,15.9650043487549
2002,5,4,21.9137500762939,17.771252822876,13.9962589263916
2002,5,5,21.0837543487549,17.1387577056885,12.8387561798096
2002,5,6,25.2437572479248,21.193754196167,17.6375039418538
2002,6,1,28.641255569458,24.6537601470947,20.7212558746338
2002,6,2,28.99875831604,24.7962558746338,21.0425067901611
2002,6,3,28.7175052642822,24.4087543487549,20.4787525177002
2002,6,4,29.4775057792664,25.1912570953369,20.6325077056885
2002,6,5,28.986252117157,24.6375034332275,20.5725116729736
2002,6,6,28.7825092315674,24.4975070953369,20.6575046539307
2002,7,1,29.570007610321,25.2575077056885,21.2925067901611
2002,7,2,30.2287583351135,25.8000080108643,22.0987537384033
2002,7,3,33.7337556838989,29.3087512969971,25.685005569458
2002,7,4,32.3475044250488,27.8812534332275,24.4125049591064
2002,7,5,28.222505569458,23.9312534332275,19.7550067901611
2002,7,6,28.1239592234294,23.7531337738037,19.675007502238
2002,8,1,30.815007019043,26.352502822876,22.8562564849854
2002,8,2,27.2675067901611,22.7100040435791,18.5975040435791
