year,month,hou,1000hPa_wind,925hPa_wind,850hPa_wind,1000hPa_azimuth,925hPa_azimuth,850hPa_azimuth,1000hPa_number,925hPa_number,850hPa_number
2000,1,1,1.72668708703999,1.61069593840838,3.0237708846998,237.853497068229,255.613299742295,153.544178838093,9,10,6
2000,1,2,2.01604192497736,2.54387038048428,2.57636196691391,63.8171203690839,68.4886100795746,158.343216834407,3,3,6
2000,1,3,3.39364860916429,4.03678078090812,4.32367856755714,72.3692808859734,74.1599912240266,100.768889567557,3,3,4
2000,1,4,3.35050169066055,3.87815194046136,5.42298980327317,103.935444351223,110.415617347917,111.191971601282,4,5,5
2000,1,5,3.21332325436604,3.7835449184489,3.75330486293332,72.5032836482418,76.0431487038083,113.677992146977,3,4,5
2000,1,6,3.11612051827257,3.89572923668384,5.19814971921853,100.122192884571,106.046616289438,113.74586883392,4,5,5
2000,2,1,2.2497390816277,2.89934274795,3.13158911230213,92.7990454483074,96.9840373918624,105.650606348878,4,4,5
2000,2,2,1.73335074560459,2.14265761166427,3.00126623761332,95.6327167284394,99.3621820753722,117.572861999023,4,4,5
2000,2,3,2.69952036075557,3.16695449110769,4.69775310704749,93.2734594004125,91.6352026895889,114.884263509998,4,4,5
2000,2,4,3.31025645114003,3.60406003164465,4.13013346364197,101.102641646285,93.7803034859712,118.70706148202,4,4,5
2000,2,5,3.43776409064718,3.67610524761335,5.18273437547124,76.9217391369988,78.6697421255701,92.9303673139843,4,4,4
2000,2,6,1.95071401573244,2.47566190514574,3.98072655196117,133.471097339828,133.734593163733,140.224088860133,5,5,6
2000,3,1,2.56674636370857,3.16937827939735,3.54843826923808,100.134793648996,98.8653045622367,120.042172247346,4,4,5
2000,3,2,3.36947896929399,3.81119645162794,5.51730888972416,91.6675930084096,89.2353089223313,111.193662635646,4,4,5
2000,3,3,2.86441329970166,3.292643599833,4.15315299193351,126.018893554558,125.018653616779,133.736069243432,5,5,5
2000,3,4,2.69557493960809,2.90929649754654,4.37948568940236,124.835229042271,118.784547482921,139.170926430352,5,5,6
2000,3,5,2.29559222922721,2.61703147443154,3.88215841485917,136.795106021724,139.294339649526,82.391387274529,6,6,4
2000,3,6,2.41549063428886,2.44552841297508,4.62373706498691,206.997948112368,203.368598127738,221.768100766456,8,8,8
2000,4,1,2.89011130902425,3.05981730172213,4.58899072842738,107.209879321122,108.982876961442,100.302488961352,5,5,4
2000,4,2,2.8082919634602,3.08353212876074,4.30095244514737,103.938609736931,103.278573427189,122.068323230775,4,4,5
2000,4,3,2.31629352278052,2.49103864531575,3.87478539964733,217.994858495057,220.999404326249,148.75214693517,8,8,6
2000,4,4,2.18108990955805,2.45754724500352,2.94453122716753,135.139620032096,129.31681159746,136.560752009193,6,5,6
2000,4,5,2.40259816041555,2.61185928963026,4.04517489069194,108.008151426087,103.792554023678,118.230557308008,5,4,5
2000,4,6,2.53303092841277,2.70002959262909,3.98117834165147,133.852346088036,133.294060476963,139.589341188316,5,5,6
2000,5,1,1.5798308153609,1.77853380105524,2.17574225818491,226.828051837108,232.612741783736,186.661107113537,9,9,7
2000,5,2,3.20258925068386,3.67386290062229,4.4903905858826,140.281915465155,141.3084155068,151.05630501628,6,6,6
2000,5,3,3.19567449812368,3.42588749469884,4.82045222935627,172.185309376846,170.729272837299,189.551517389348,7,7,7
2000,5,4,2.11899873099363,2.34846614793756,2.81432923155329,209.480557654671,209.634356176264,165.453130221003,8,8,7
2000,5,5,2.91997860728415,2.9829714045031,4.1824803096282,136.673550456568,130.062919336635,153.188961873259,6,5,6
2000,5,6,2.43834321198363,2.55959790210971,3.9912332259818,113.418284982111,108.037892024841,140.767178103274,5,5,6
2000,6,1,3.64838527942774,3.78427884739125,5.19599942294839,123.248785067298,117.063398680042,153.744465968396,5,5,6
2000,6,2,2.74229799701723,2.87434432291602,4.2873676558555,117.525296221877,128.580886457496,95.2777618755073,5,5,4
2000,6,3,1.95900322122301,2.00740811958884,3.30508915478666,184.64991114341,193.947291822709,185.415418717802,7,7,7
2000,6,4,2.52546683906077,2.54667867656883,4.13443159974535,126.107897695147,127.162552303763,160.79184803792,5,5,6
2000,6,5,3.08281713703273,3.13436574786446,3.98850761246328,111.976094523902,99.6035328558128,131.138490709269,5,4,5
2000,6,6,1.70332256372151,1.73119377275756,2.43275415672778,152.875243341377,136.532592346153,193.668594696534,6,6,7
2000,7,1,2.25226563246871,2.04654229408189,2.78575461496636,124.947807475336,119.469991941256,163.004339519683,5,5,6
2000,7,2,1.93647484019856,1.87539921040777,2.47415646858133,80.6214363837679,73.7301087448589,91.5915587364179,4,3,4
2000,7,3,2.18016628391129,1.92935670047748,4.7391204250698,168.096122540153,162.843241073487,197.906770286994,7,6,8
2000,7,4,2.16946326101473,2.06147902001513,3.58811214218392,137.429972886193,123.42710930317,155.276945081175,6,5,6
2000,7,5,2.42373355604769,2.02210918597749,3.30253594461171,198.757207648677,194.517295521623,221.527372715352,8,7,8
2000,7,6,2.18840885064107,2.38482793084896,3.29581963230986,129.409529313206,128.554728746525,133.587905371846,5,5,5
2000,8,1,2.92732815987011,2.9851241811812,4.20355902033722,103.91240861953,96.6332478741712,122.720015096972,4,4,5
2000,8,2,1.56650531394476,1.55490267586615,2.43069376480426,168.767335862376,187.59859566634,190.064849936709,7,7,7
2000,8,3,1.05614010611795,1.09051539780073,1.57350116846426,144.277473589703,147.681422727657,142.88801031478,6,6,6
2000,8,4,2.10564713409089,2.41435133182949,3.16463242328434,69.9041860274132,81.381082334968,108.810255793626,3,4,5
2000,8,5,2.61106852599544,2.77603225866634,3.84716828110871,92.9582234251668,93.8679577393889,102.28591785874,4,4,4
2000,8,6,1.06055852114367,1.26396664922815,1.71464340015024,168.624992290398,179.459735291736,160.488095335278,7,7,6
2000,9,1,3.08470531447543,3.12610328624567,4.58511610766933,103.893854215455,101.758832556521,108.406480103009,4,4,5
2000,9,2,3.02377758006174,3.08877021160114,4.54343864634508,77.0723350775946,80.1799663977011,100.872045795142,4,4,4
2000,9,3,1.17543533030082,1.42301374861355,1.92538018797835,195.908132691423,188.019725011424,154.713079041133,8,7,6
2000,9,4,1.31672824558559,1.45226139506476,2.43653266411751,215.670868349277,217.107587351734,228.072503242831,8,8,9
2000,9,5,3.45631303125129,3.75620073142006,5.17392751923019,107.023158830451,102.881249566904,139.381687591596,5,4,6
2000,9,6,3.81807370788848,3.89806917446561,4.96328283268863,93.5538673078737,94.4077237134536,138.626253014547,4,4,6
2000,10,1,1.52561176962049,1.93316046925615,2.09285581487817,115.395380016228,115.285042838401,138.550704500352,5,5,6
2000,10,2,4.12061072095432,4.28593100539573,6.60469781425592,135.551601634691,135.764364215248,163.189189123971,6,6,6
2000,10,3,3.43353183671244,3.39895640125883,4.39540626199988,68.0445730222236,68.9004950829943,82.2724986733996,3,3,4
2000,10,4,2.48597140170061,2.73669162648826,3.41914377105439,129.36849061085,132.364231693106,158.715094514844,5,5,6
2000,10,5,3.16278820057368,3.54444856867559,4.07983749109733,82.2549406674754,83.0206569258133,124.819403970408,4,4,5
2000,10,6,2.88752160427005,3.09868296735038,3.53566394719501,116.717778232486,112.600980891701,153.416529212346,5,5,6
2000,11,1,1.78348923979962,2.18094952838732,3.17562480484006,224.361745061744,146.434362348706,232.913036053228,8,6,9
2000,11,2,3.95748959755407,4.09530356882007,5.32930768740888,94.9170066624855,97.6967757208218,120.300285903436,4,4,5
2000,11,3,2.39947917342676,2.80071665698986,3.59756463839422,97.9427305444893,100.474896587148,103.909977931959,4,4,4
2000,11,4,3.75313745492816,4.36913631462924,5.40944033432766,116.53126862573,117.329650284725,129.27676774208,5,5,5
2000,11,5,1.41602820418502,1.81732603726458,2.6486304581974,94.455832341332,104.660641592987,181.896428726962,4,4,7
2000,11,6,2.97655237972559,3.76710468155798,3.92621923562507,71.108324460521,75.8357618255278,105.067587823615,3,4,5
2000,12,1,2.59159705026737,3.085248415331,3.78813906424022,150.799935782046,155.425234602798,142.379178366206,6,6,6
2000,12,2,2.05526498630456,2.40854287415491,3.42269713077602,184.378393493064,80.9153198910057,114.498088633878,7,4,5
2000,12,3,2.30561441994614,2.56200178720549,3.33633499955014,182.133757631517,169.58442293637,121.897309064933,7,7,5
2000,12,4,2.29513006480068,2.5109123935415,3.69737373454216,153.115045171825,141.936485184751,128.690259778314,6,6,5
2000,12,5,1.55628712181078,1.85017182446117,2.55242921541703,165.957803098928,177.984608800896,214.809106164684,7,7,8
2000,12,6,1.49281236011226,1.8560999038491,2.39824041780473,101.591391886726,93.6882736766625,121.784312650991,4,4,5
2001,1,1,2.13200049430495,2.68755940602569,3.88529108628086,108.554571790474,104.905756731205,132.806024069187,5,4,5
2001,1,2,2.30696516343578,2.62550535942362,3.46541100355221,143.192124331274,128.255976431943,177.973115017334,6,5,7
2001,1,3,1.49008945277423,1.73558692517704,2.44767653270846,136.040725886055,142.184433901688,162.696116237703,6,6,6
2001,1,4,1.50359646425401,2.13138900889119,2.35943403837179,148.983352665708,83.3509657522063,144.873803147334,6,4,6
2001,1,5,4.20150456101204,4.55481059296036,5.05542433701638,75.6754237366115,73.4572639409677,94.5551462831363,4,3,4
2001,1,6,2.12644064691261,2.63392473156,3.96615461904817,105.280061005177,109.170789341857,123.580838456582,5,5,5
2001,2,1,3.05087893110858,3.15065956898656,4.68666576086404,104.671302107992,104.061972173104,124.361332389253,4,4,5
2001,2,2,2.96450765696548,3.44806460628737,4.52795120546039,108.377340325921,111.534246890368,106.634343017914,5,5,5
2001,2,3,2.81370620023966,3.40121816003885,4.92504226900237,93.6795805100314,102.630764655062,107.235528866543,4,4,5
2001,2,4,2.52741202272561,3.07168794847814,4.02492396033942,107.647408765282,103.474438520911,145.189049113103,5,4,6
2001,2,5,3.73017671842989,4.0662001681914,5.15228206270798,99.0192462094735,99.474823531616,125.046766644461,4,4,5
2001,2,6,2.44475996081787,2.97290135978521,3.67434891996892,120.174881112611,122.196981556133,156.749176242299,5,5,6
2001,3,1,2.22615549136425,2.62432088071343,3.91321845768694,190.781645026429,195.108529553673,201.931892649063,7,8,8
2001,3,2,2.38901354644635,2.80961803472376,3.56828540886115,80.9417224422475,87.5809862621888,102.886231903343,4,4,4
2001,3,3,2.9804476713601,3.2301318084206,4.42038748966212,162.902466217613,159.921536021994,126.971542298983,6,6,5
2001,3,4,2.74649222811102,3.15490586001691,4.06832860370594,166.112197698113,94.5208834404432,98.9751530278706,7,4,4
2001,3,5,2.81676306620168,3.03037932275584,3.87407701251849,96.7301756186085,93.0790508621747,116.66104704727,4,4,5
