year,month,hou,本候灯下白背飞虱虫量（头）,本侯灯下褐飞虱虫量（头）,本候灯下稻飞虱合计
2001,4,3,0,0,0
2001,4,4,0,0,0
2001,4,5,0,0,0
2001,4,6,0,0,0
2001,5,1,8,0,8
2001,5,2,14,0,14
2001,5,3,0,0,0
2001,5,4,0,0,0
2001,5,5,74,3,77
2001,5,6,11,1,12
2001,6,1,1,2,3
2001,6,2,19,5,24
2001,6,3,1,0,1
2001,6,4,8,0,8
2001,6,5,492,3,495
2001,6,6,1081,28,1109
2001,7,1,695,6,701
2001,7,2,370,2,372
2001,7,3,55,3,58
2001,7,4,4,2,6
2001,7,5,41,18,59
2001,7,6,166,22,188
2001,8,1,17,4,21
2001,8,2,83,5,88
2001,8,3,49,24,73
2001,8,4,10,2,12
2001,8,5,0,0,0
2002,4,1,2,0,2
2002,4,2,0,0,0
2002,4,3,6,0,6
2002,4,4,0,0,0
2002,4,5,10,0,10
2002,4,6,18,0,18
2002,5,1,1,0,1
2002,5,2,1,0,1
2002,5,3,13,0,13
2002,5,4,0,0,0
2002,5,5,1,0,1
2002,5,6,2,0,2
2002,6,1,8,0,8
2002,6,2,1728,43,1771
2002,6,3,73,4,77
2002,6,4,311,16,327
2002,6,5,682,20,702
2002,6,6,469,0,469
2002,7,1,209,0,209
2002,7,2,147,8,155
2002,7,3,1421,50,1471
2002,7,4,374,33,407
2002,7,5,495,28,523
2002,7,6,0,0,0
2002,8,1,1,0,1
2002,8,2,5,2,7
2002,8,3,5888,40,5928
2002,8,4,1066,26,1092
2002,8,5,702,71,773
2002,8,6,1,8,9
2003,4,4,799,0,799
2003,4,5,0,0,0
2003,4,6,153,0,153
2003,5,1,352,9,361
2003,5,2,74,2,76
2003,5,3,28,1,29
2003,5,4,3,1,4
2003,5,5,0,0,0
2003,5,6,1,0,1
2003,6,1,13,3,16
2003,6,2,15,1,16
2003,6,3,5,1,6
2003,6,4,58,1,59
2003,6,5,182,8,190
2003,6,6,68,4,72
2003,7,1,4736,0,4736
2003,7,2,4191,8,4199
2003,7,3,119,11,130
2003,7,4,5,0,5
2003,7,5,395,34,429
2003,7,6,14,2,16
2003,8,1,1,0,1
2003,8,2,3,117,120
2003,8,3,4,2,6
2003,8,4,132,31,163
2003,8,5,14,3,17
2004,4,5,0,0,0
2004,5,1,0,0,0
2004,5,1,38,1,39
2004,5,2,100,0,100
2004,5,3,783,6,789
2004,5,4,1,0,1
2004,5,5,32,1,33
2004,5,6,365,3,368
2004,6,1,22,0,22
2004,6,2,11,0,11
2004,6,3,25,0,25
2004,6,4,418,0,418
2004,6,5,100,0,100
2004,6,6,89,0,89
2004,7,2,1286,0,1286
2004,7,2,7407,0,7407
2004,7,3,15108,0,15108
2004,7,4,3132,0,3132
2004,7,5,322,25,347
2004,7,6,26,8,34
2004,8,1,4,3,7
2004,8,2,55,0,55
2004,8,3,10,3,13
2004,8,4,0,0,0
2004,8,5,97,314,411
2005,4,3,25,0,25
2005,4,4,26,0,26
2005,4,5,0,0,0
2005,4,6,0,0,0
2005,5,1,233,4,237
2005,5,2,183,0,183
2005,5,3,25,0,25
2005,5,4,38,0,38
2005,5,5,1225,9,1234
2005,5,6,34,0,34
2005,6,1,201,0,201
2005,6,2,183,0,183
2005,6,3,21,0,21
2005,6,4,9,0,9
