year,month,hou,1000hPa_omega,925hPa_omega,850hPa_omega
2000,1,1,-0.0161020755767822,-0.0386019945144653,-0.0680020570755005
2000,1,2,-0.0554895401000977,-0.0802395820617676,-0.117564535140991
2000,1,3,-0.0502770900726318,-0.0705645084381104,-0.10813946723938
2000,1,4,-0.0628145694732666,-0.0618270635604858,-0.0482645988464355
2000,1,5,-0.0412020206451416,-0.057927131652832,-0.0743520498275757
2000,1,6,-0.0688041051228841,-0.063960333665212,-0.0309707125027974
2000,2,1,-0.068264627456665,-0.0728269815444946,-0.0510395288467407
2000,2,2,-0.0396894931793213,-0.040189528465271,-0.0201019763946533
2000,2,3,-0.0476895332336426,-0.0600395441055298,-0.0782520055770874
2000,2,4,-0.0551645755767822,-0.06710205078125,-0.0856269359588623
2000,2,5,-0.0461145401000977,-0.0424145221710205,-0.0235894680023193
2000,2,6,-0.0596426725387573,-0.0541114211082458,-0.00808018445968628
2000,3,1,-0.0478646278381348,-0.0524143934249878,-0.0420519828796387
2000,3,2,-0.0618894577026367,-0.0787395238876343,-0.107377004623413
2000,3,3,-0.0426020383834839,-0.0426395893096924,-0.0317019701004028
2000,3,4,-0.0544270753860474,-0.0608519315719604,-0.0685394048690796
2000,3,5,-0.0466144800186157,-0.0465770721435547,-0.0650520086288452
2000,3,6,-0.0108562310536702,-0.00988751649856567,-0.0029290517171224
2000,4,1,-0.0481144905090332,-0.0474770307540894,-0.0503896474838257
2000,4,2,-0.0550020694732666,-0.0595020055770874,-0.0601895570755005
2000,4,3,-0.0420270681381226,-0.0387519359588623,-0.0288395404815674
2000,4,4,-0.0491020679473877,-0.0514896154403687,-0.0571020603179932
2000,4,5,-0.06143958568573,-0.0619895219802856,-0.0709145784378052
2000,4,6,-0.0586520433425903,-0.0540519952774048,-0.0456894636154175
2000,5,1,-0.0155770063400269,-0.00466444492340088,0.0150479555130005
2000,5,2,-0.0453896284103394,-0.0457395315170288,-0.054664421081543
2000,5,3,-0.00686452388763428,-0.0028519868850708,-0.00225207805633545
2000,5,4,-0.0187269926071167,6.05583190917969e-05,0.00952308177947998
2000,5,5,-0.0345770120620728,-0.0310770511627197,-0.0194770336151123
2000,5,6,-0.0403667688369751,-0.0484812060991923,-0.0629604657491048
2000,6,1,-0.037164568901062,-0.0335645198822021,-0.0262645721435547
2000,6,2,-0.0564144372940063,-0.0589020490646362,-0.0709894180297852
2000,6,3,-0.0263644456863403,-0.0158395051956177,0.00907292366027832
2000,6,4,-0.028877067565918,-0.0236020565032959,-0.0131145477294922
2000,6,5,-0.0263770341873169,-0.0159020662307739,-0.0303894758224487
2000,6,6,-0.0185270547866821,-0.00383954048156738,0.0181730031967163
2000,7,1,-0.0313270330429077,-0.0282519817352295,-0.0230895280838013
2000,7,2,-0.0272145748138428,-0.0329020261764526,-0.0505271196365356
2000,7,3,0.00278546810150146,0.0173604249954224,0.0413604497909546
2000,7,4,-0.011614465713501,-0.00773959159851074,-0.00943953990936279
2000,7,5,0.000235462188720703,0.0115979433059692,0.0467730760574341
2000,7,6,0.011852224667867,0.0158417622248332,0.0163312753041585
2000,8,1,-0.048639440536499,-0.0593270063400269,-0.0761894464492798
2000,8,2,-0.0208645343780518,-0.0192394971847534,-0.0119896411895752
2000,8,3,-0.0166394710540771,-0.0189521312713623,-0.0286019325256348
2000,8,4,-0.0258270978927612,-0.0267895460128784,-0.0349769592285156
2000,8,5,-0.0192520380020142,-0.0212645292282104,-0.0212021112442017
2000,8,6,-0.0178249875704447,-0.0137000481287638,-0.00179374217987061
2000,9,1,-0.0261520147323608,-0.0304519891738892,-0.038064432144165
2000,9,2,-0.032239556312561,-0.0282770872116089,-0.0225520372390747
2000,9,3,-0.0233519792556763,-0.0228895664215088,-0.0166645526885986
2000,9,4,-0.0123394966125488,-0.00182700157165527,0.0117479562759399
2000,9,5,-0.0374269723892212,-0.0358895540237427,-0.0285271167755127
2000,9,6,-0.0475770711898804,-0.0588270425796509,-0.074314546585083
2000,10,1,-0.0499019622802734,-0.053514575958252,-0.0462520599365234
2000,10,2,-0.0454395055770874,-0.0462520360946655,-0.0277270793914795
2000,10,3,-0.0406394720077515,-0.0369895458221436,-0.0662644386291504
2000,10,4,-0.046914529800415,-0.0401020765304565,-0.0153520345687866
2000,10,5,-0.0624269723892212,-0.078852105140686,-0.109752035140991
2000,10,6,-0.0356479287147522,-0.0408979058265686,-0.033283273379008
2000,11,1,-0.0253895044326782,-0.0228520393371582,0.0121604204177856
2000,11,2,-0.0676895141601563,-0.0736770391464233,-0.0931769371032715
2000,11,3,-0.0534018754959106,-0.0421145439147949,-0.0165770053863525
2000,11,4,-0.0557020425796509,-0.0553769588470459,-0.0441269397735596
