year,month,hou,本候灯下白背飞虱虫量（头）,本侯灯下褐飞虱虫量（头）,本候灯下稻飞虱合计
2006,4,4,5,0,5.0
2006,4,5,9,6,15.0
2006,4,6,23,6,29.0
2006,5,1,107,42,149.0
2006,5,2,34,12,46.0
2006,5,3,10,2,12.0
2006,5,4,45,4,49.0
2006,5,5,52,2,54.0
2006,5,6,156,42,198.0
2006,6,1,638,62,700.0
2006,6,2,1312,104,1416.0
2006,6,3,532,40,572.0
2006,6,4,63,2,65.0
2006,6,5,52,2,54.0
2006,6,6,129,38,167.0
2006,7,1,1466,591,2057.0
2006,7,2,589,3283,3872.0
2006,7,3,103,109,212.0
2006,7,4,19,52,71.0
2006,7,5,55,68,123.0
2006,7,6,49,185,234.0
2006,8,1,229,27972,28201.0
2006,8,2,356,811,1167.0
2006,8,3,12,67,79.0
2006,8,4,12,11,23.0
2006,8,5,24,78,102.0
2006,8,6,0,2,2.0
2006,9,1,0,0,0.0
2006,9,2,0,0,0.0
2007,4,6,0,0,0.0
2007,4,6,0,0,0.0
2007,4,6,0,0,0.0
2007,4,6,3,0,3.0
2007,5,1,0,0,0.0
2007,5,1,0,0,0.0
2007,5,1,0,0,0.0
2007,5,1,0,0,0.0
2007,5,1,0,0,0.0
2007,5,2,0,0,0.0
2007,5,2,0,0,0.0
2007,5,2,0,0,0.0
2007,5,2,0,0,0.0
2007,5,2,31,9,40.0
2007,5,3,53,21,74.0
2007,5,3,24,6,30.0
2007,5,3,0,0,0.0
2007,5,3,0,0,0.0
2007,5,3,0,0,0.0
2007,5,4,0,0,0.0
2007,5,4,0,0,0.0
2007,5,4,1,0,1.0
2007,5,4,28,0,28.0
2007,5,4,258,10,268.0
2007,5,5,4,1,5.0
2007,5,5,0,0,0.0
2007,5,5,2,1,3.0
2007,5,5,0,0,0.0
2007,5,5,0,0,0.0
2007,5,6,9,4,13.0
2007,5,6,3296,21,3317.0
2007,5,6,123,8,131.0
2007,5,6,37,11,48.0
2007,5,6,22,4,26.0
2007,6,1,19,2,21.0
2007,6,1,14,4,18.0
2007,6,1,44,1,45.0
2007,6,1,406,21,427.0
2007,6,1,213,9,222.0
2007,6,2,109,9,118.0
2007,6,2,27,4,31.0
2007,6,2,34,6,40.0
2007,6,2,9,4,13.0
2007,6,2,11,5,16.0
2007,6,3,6,3,9.0
2007,6,3,21,7,28.0
2007,6,3,17,2,19.0
2007,6,3,24,9,33.0
2007,6,3,486,37,523.0
2007,6,4,73,12,85.0
2007,6,4,21,9,30.0
2007,6,4,26,9,35.0
2007,6,4,49,20,69.0
2007,6,4,197,7,204.0
2007,6,5,626,11,637.0
2007,6,5,3104,34,3138.0
2007,6,5,197,22,219.0
2007,6,5,216,9,225.0
2007,6,5,330,13,343.0
2007,6,6,321,21,342.0
2007,6,6,269,34,303.0
2007,6,6,303,24,327.0
2007,6,6,217,19,236.0
2007,6,6,98,31,129.0
2007,7,1,81,45,126.0
2007,7,1,23,24,47.0
2007,7,1,26,9,35.0
2007,7,1,19,16,35.0
2007,7,1,23,28,51.0
2007,7,2,34,27,61.0
2007,7,2,27,24,51.0
2007,7,2,36,26,62.0
2007,7,2,213,98,311.0
2007,7,2,461,224,685.0
2007,7,3,106,109,215.0
2007,7,3,87,131,218.0
2007,7,3,23,93,116.0
2007,7,3,9,116,125.0
2007,7,3,16,84,100.0
2007,7,4,11,87,98.0
2007,7,4,12,46,58.0
2007,7,4,14,17,31.0
2007,7,4,6,11,17.0
2007,7,4,0,9,9.0
2007,7,5,0,41,41.0
2007,7,5,6,48,54.0
2007,7,5,1,83,84.0
2007,7,5,2,54,56.0
2007,7,5,14,69,83.0
2007,7,6,27,1123,1150.0
2007,7,6,12,164,176.0
2007,7,6,9,107,116.0
2007,7,6,1,94,95.0
2007,7,6,2,76,78.0
2007,8,1,4,41,45.0
2007,8,1,6,553,559.0
2007,8,1,0,116,116.0
2007,8,1,0,87,87.0
2007,8,1,0,41,41.0
2007,8,2,0,37,37.0
2007,8,2,0,84,84.0
2007,8,2,0,91,91.0
2007,8,2,0,97,97.0
2007,8,2,0,169,169.0
2007,8,3,0,161,161.0
2007,8,3,0,183,183.0
2007,8,3,0,207,207.0
2007,8,3,0,413,413.0
2007,8,3,0,236,236.0
2007,8,4,1,128,129.0
2007,8,4,2,114,116.0
2007,8,4,0,97,97.0
2007,8,4,0,63,63.0
2007,8,4,0,41,41.0
2007,8,5,0,21,21.0
2007,8,5,0,74,74.0
2007,8,5,0,46,46.0
2007,8,5,0,31,31.0
2007,8,5,0,26,26.0
2007,8,6,0,27,27.0
2007,8,6,0,34,34.0
2007,8,6,0,97,97.0
2007,8,6,0,116,116.0
2008,5,1,0,0,0.0
2008,5,1,8,0,8.0
2008,5,1,913,0,913.0
2008,5,1,0,0,0.0
2008,5,1,0,0,0.0
2008,5,2,0,0,0.0
2008,5,2,61,3,64.0
2008,5,2,16,1,17.0
2008,5,2,0,0,0.0
2008,5,2,0,0,0.0
2008,5,3,0,0,0.0
2008,5,3,0,0,0.0
2008,5,3,0,0,0.0
2008,5,3,0,0,0.0
2008,5,3,0,0,0.0
2008,5,4,11,0,11.0
2008,5,4,42,0,42.0
2008,5,4,3,0,3.0
2008,5,4,0,0,0.0
2008,5,4,0,0,0.0
2008,5,5,0,0,0.0
2008,5,5,0,0,0.0
2008,5,5,6,0,6.0
2008,5,5,13,0,13.0
2008,5,5,21,4,25.0
2008,5,6,44,4,48.0
2008,5,6,63,9,72.0
2008,5,6,82,7,89.0
2008,5,6,161,42,203.0
2008,5,6,0,0,0.0
2008,5,6,0,0,0.0
2008,6,1,9,0,9.0
2008,6,1,11,0,11.0
2008,6,1,12,0,12.0
2008,6,1,7,0,7.0
2008,6,1,8,0,8.0
2008,6,2,18,2,20.0
2008,6,2,67,14,81.0
2008,6,2,2893,107,3000.0
2008,6,2,1048,73,1121.0
2008,6,2,336,31,367.0
2008,6,3,321,42,363.0
2008,6,3,41,3,44.0
2008,6,3,19,3,22.0
2008,6,3,11,1,12.0
2008,6,3,6,0,6.0
2008,6,4,9,0,9.0
2008,6,4,4,0,4.0
2008,6,4,16,0,16.0
2008,6,4,21,0,21.0
2008,6,4,10,0,10.0
2008,6,5,58,3,61.0
2008,6,5,29,0,29.0
2008,6,5,6,0,6.0
2008,6,5,4,0,4.0
2008,6,5,7,0,7.0
2008,6,6,9,0,9.0
2008,6,6,21,0,21.0
2008,6,6,24,3,27.0
2008,6,6,87,14,101.0
2008,6,6,66,11,77.0
2008,7,1,7,1,8.0
2008,7,1,6,4,10.0
2008,7,1,11,9,20.0
2008,7,1,71,9,80.0
2008,7,1,1176,215,1391.0
2008,7,2,2028,15693,17721.0
2008,7,2,13,113,126.0
2008,7,2,8136,36,8172.0
2008,7,2,187,24,211.0
2008,7,2,61,11,72.0
